,,1,2,3,4,5,6,7,8,9,10,11
,Cytisus arboreus (Desf.) DC. [sub],.,1,.,.,.,.,.,.,.,.,.
,Asphodelus fistulosus L.,.,+,.,.,.,.,.,.,.,.,.
,Allium roseum L.,.,+,.,.,.,.,.,.,.,.,.
,Juncus acutiflorus Ehrh. ex Hoffm. [sub],.,+,.,.,.,.,.,.,.,.,.
,Sanguisorba minor Scop.,.,+,.,.,.,.,.,.,.,.,.
,Digitalis purpurea L.,.,+,.,.,.,.,.,.,.,.,.
,Carex otrubae Podp. [sub],.,+,.,.,.,.,.,.,.,.,.
,Eryngium dilatatum Lam.,.,.,.,+,.,.,.,.,.,.,.
,Clinopodium vulgare L. subsp. arundanum (Boiss.) Nyman [sub],.,.,.,.,1,.,.,.,.,.,.
,Avenella stricta,.,.,.,.,+,.,.,.,.,.,.
,Prunella vulgaris L.,.,.,.,.,.,1,.,.,.,.,.
,Oenanthe pimpinelloides L.,.,.,.,.,.,+,.,.,.,.,.
,Achillea ageratum L.,.,.,.,.,.,+,.,.,.,.,.
,Cistus psilosepalus Sweet,.,.,.,.,.,+,.,.,.,.,.
,Solanum dulcamara L.,.,.,.,.,.,+,.,.,.,.,.
,Salvia sclareoides Brot.,.,.,.,.,.,+,.,.,.,.,.
,Carduncellus caeruleus (L.) C. Presl,.,.,.,.,.,.,+,.,.,.,.
,Arundo donax L.,.,.,.,.,.,.,+,.,.,.,.
,Populus alba L.,.,.,.,.,.,.,+,.,.,.,.
,Salix Xrubens Schrank [sub],.,.,.,.,.,.,+,.,.,.,.
,Dorycnopsis gerardi (L.) Boiss.,.,.,.,.,.,.,+,.,.,.,.
,Hypericum tomentosum L.,.,.,.,.,.,.,.,+,.,.,.
,Centaurea pullata L.,.,.,.,.,.,.,.,+,.,.,.
,Ornithogalum narbonense L.,.,.,.,.,.,.,.,+,.,.,.
,Bryonia dioica Jacq.,.,.,.,.,.,.,.,+,.,.,.
,Magydaris panacifolia (Vahl) Lange in Willk. & Lange,.,.,.,.,.,.,.,.,.,+,.
,Cistus populifolius L.,.,.,.,.,.,.,.,.,.,+,.
,Eleaeoselinum foetidum,.,.,.,.,.,.,.,.,.,+,.
,Phragmites australis (Cav.) Trin. ex Steud.,.,.,.,.,.,.,.,.,.,+,.
,Campanula alata Desf. [sub],.,.,.,.,.,.,.,.,.,.,+
,Pteridium aquilinum (L.) Kuhn in Kerst.,.,.,.,.,.,.,.,.,.,.,+
,Margotia gummifera (Desf.) Lange in Willk. & Lange [sub],.,.,.,.,.,.,.,.,.,.,+
,Narcissus calcicola Mendonça,.,.,.,.,.,.,.,.,.,.,+
,Smyrnium olusatrum L.,.,.,.,.,.,.,.,.,.,.,+
,Silene latifolia Poir.,.,.,.,.,.,.,.,.,.,.,+
,Picris spinifera Franco,.,.,.,.,.,.,.,.,.,.,+
,Vinca difformis Pourr.,.,.,.,.,.,.,.,.,.,.,+
,Calystegia sepium (L.) R. Br.,.,.,.,.,.,.,.,.,.,.,+
,,,,,,,,,,,,
,,,,,,,,,,,,
,"Vila-Viçosa, C.; Mendes, P.; del Rio, S.; Meireles, C.; Quinto-Canas, R.; Arsénio, P.; Pinto-Gomes, C. 2012 Temporihygrophilous Quercus broteroi forests in southern Portugal: Analysis and conservation. Plant Biosystems-An International Journal Dealing with all Aspects of Plant Biologys. Volume 146: T.002",,,,,,,,,,,
