,,1,2,3,4,5,6,7,8,9
,Agrostis stolonifera L.,.,.,.,.,.,+,.,.,.
,Simethis matiazzi,.,.,.,.,.,.,+,.,.
,Selaginella denticulate,.,.,.,.,.,.,+,.,.
,Sedum foresteranum,.,.,.,.,.,.,.,+,.
,Scrophularia scorodonia L.,.,.,.,.,.,.,.,.,+
,Polypodium vulgare L.,.,.,.,.,.,.,.,.,+
,Sedum album L.,.,.,.,.,.,.,.,.,+
,Teucrium fruticans L.,.,.,.,.,.,.,.,.,1
,Athyrium filix-femina (L.) Roth,.,.,.,.,.,.,.,.,+
,,,,,,,,,,
,,,,,,,,,,
