,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,,,,1,2,3,4,5,6
,Clinopodium vulgare L.,1,.,+,1,+,.,+,1,1,1,.,2,1,.,,,,Aristolochia paucinervis Pomel,.,2,1,+,+,2
,Asphodelus albus Mill.,+,1,.,2,.,+,.,1,1,2,.,+,1,.,,,,Digitalis thapsi L.,+,+,.,.,.,+
,Dactylis glomerata L. subsp. lusitanica Stebbins & Zohary [sub],1,1,1,2,.,.,.,1,+,1,.,+,.,.,,,,Urginea fugax (Moris) Steinh. [sub],+,2,+,.,.,.
,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],+,2,2,1,1,.,.,.,2,3,.,.,1,.,,,,Thapsia villosa L.,1,.,+,.,.,+
,Thapsia villosa L.,1,.,1,1,.,+,.,.,+,.,1,.,+,1,,,,Bryonia dioica Jacq.,+,.,1,1,.,.
,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,+,+,+,+,.,.,.,.,+,.,.,+,.,.,,,,Cytisus grandiflorus (Brot.) DC.,+,.,.,.,+,1
,Pteridium aquilinum (L.) Kuhn in Kerst.,.,.,.,.,+,1,.,1,.,2,1,1,.,.,,,,Cistus psilosepalus Sweet,+,.,.,1,1,.
,Linaria triornithophora (L.) Willd.,.,.,.,1,.,.,+,.,+,.,1,+,1,.,,,,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens [sub],+,.,.,.,+,1
,Aristolochia paucinervis Pomel,.,.,.,.,+,1,1,1,.,.,.,2,2,.,,,,Malva tournefortiana L.,.,+,+,.,.,+
,Hypericum perforatum L.,.,.,.,.,.,+,+,+,.,+,1,+,.,.,,,,Brachypodium phoenicoides (L.) Roem. & Schult.,.,.,+,.,+,+
,Digitalis thapsi L.,1,.,.,+,+,.,.,.,+,.,.,+,.,.,,,,Linaria triornithophora (L.) Willd.,.,.,+,.,+,1
,Silene latifolia Poir.,+,+,+,.,.,.,.,.,+,.,.,1,.,.,,,,Origanum virens Hoffmanns. & Link,.,.,.,+,+,1
,Urginea fugax (Moris) Steinh. [sub],+,.,+,.,.,+,+,.,.,.,.,2,.,.,,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],.,.,.,1,2,1
,Bryonia dioica Jacq. [sub],.,+,1,.,.,1,1,.,.,.,.,+,.,.,,,,Hypericum linariifolium Vahl [sub],+,+,.,.,.,.
,Silene nutans L.,2,.,+,+,.,.,.,.,+,.,.,.,.,.,,,,Cytisus striatus (Hill) Rothm. [sub],.,+,.,.,.,+
,Cytisus grandiflorus (Brot.) DC.,+,.,.,.,.,.,.,.,+,.,1,.,1,.,,,,Cytisus multiflorus (L'Hér.) Sweet,+,.,+,.,.,.
,Brachypodium phoenicoides (L.) Roem. & Schult.,.,.,.,.,.,+,.,1,.,2,.,.,+,.,,,,Cytisus striatus (Hill) Rothm.,+,.,+,.,.,.
,Tamus communis L.,.,.,.,.,+,.,1,.,.,.,.,1,1,.,,,,Silene coutinhoi Rothm. & Pinto da Silva,+,.,.,.,+,.
,Hypericum linariifolium Vahl [sub],1,+,+,.,.,.,.,.,.,.,.,.,.,.,,,,Dactylis glomerata L. subsp. lusitanica Stebbins & Zohary [sub],+,.,.,.,+,.
,Cytisus multiflorus (L'Hér.) Sweet,+,.,+,.,.,.,+,.,.,.,.,.,.,.,,,,Torilis arvensis (Huds.) Link subsp. purpurea (Ten.) Hayek,.,+,1,.,.,.
,Asplenium adiantum-nigrum L.,+,.,.,+,.,.,.,.,1,.,.,.,.,.,,,,Clinopodium vulgare L.,.,.,1,.,1,.
,Asplenium trichomanes L.,+,.,.,+,.,.,.,.,+,.,.,.,.,.,,,,Holcus annuus C.A. Mey subsp. setiglumis (Boiss. & Reut.) M. Seq. & Castrov. [sub],.,.,1,.,.,1
,Origanum virens Hoffmanns. & Link,.,.,.,.,+,.,.,1,.,.,.,.,1,.,,,,Brachypodium sylvaticum (Huds.) P. Beauv.,.,.,+,+,.,.
,Geranium purpureum Vill.,.,.,.,.,+,.,.,+,.,.,.,1,.,.,,,,Calamintha nepeta (L.) Savi,.,.,+,1,.,.
,Holcus annuus C.A. Mey subsp. setiglumis (Boiss. & Reut.) M. Seq. & Castrov. [sub],.,.,.,.,.,1,+,.,.,.,.,.,1,.,,,,"Echinospartum ibericum Rivas Mart., Sánchez Mata & Sancho",+,.,.,.,.,.
,Brachypodium sylvaticum (Huds.) P. Beauv.,.,.,.,.,.,+,.,+,.,1,.,.,.,.,,,,Coincya monensis (L.) Greuter & Burdet,+,.,.,.,.,.
