,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Campanula erinus L.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Brachypodium pinnatum (L.) P. Beauv. subsp. rupestre (Host) Schübl. & G.Martens [sub],.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Asphodelus sp.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Stellaria media (L.) Vill.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Cytisus striatus (Hill) Rothm.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Cistus salviifolius L.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Cardamine hirsuta L.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Ononis gr. spinosa L. [sub],.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Prunus mahaleb L.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Poa bulbosa L.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Orchis mascula (L.) L.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Cynosurus effusus Schrad.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,,,,,,,,,,,,,
