,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Erica arborea L. [sub],2,2,.,.,,,,Pistacia terebinthus L.,.,.,.,r,1,.,.,.,.,+,1,.,+,.,.,.,,,,Melica minuta L. [sub],.,.,+,.,.,.,.,.,.
,,,,,Tamus communis L.,.,1,3,.,,,,Epipactis tremolsii Pau,.,.,+,1,.,+,.,.,.,.,.,.,.,.,.,+,,,,Euphorbia characias L.,.,.,.,.,.,.,+,.,.
,,,,,Pinus pinaster Aiton,2,.,.,1,,,,Asparagus acutifolius L.,.,.,.,r,.,.,.,.,.,+,1,.,.,.,.,.,,,,Quercus faginea Lam.,.,.,.,.,+,1,+,3,2
,,,,,Genista falcata Brot.,+,.,.,1,,,,Lotus corniculatus L. subsp. carpetanus (Lacaita) Rivas Mart. [sub],+,.,+,.,+,+,.,+,.,.,.,.,.,.,.,r,,,,Epipactis tremolsii Pau,.,.,.,.,.,+,1,.,+
,,,,,Pteridium aquilinum (L.) Kuhn in Kerst. [sub],.,1,.,+,,,,Hedera helix L.,.,.,.,.,2,.,+,.,1,.,.,.,.,.,.,.,,,,Pistacia terebinthus L.,.,.,.,.,.,.,+,1,.
,,,,,Ranunculus ollissiponensis Pers. subsp. ollissiponensis,+,1,.,.,,,,Quercus pyrenaica Willd.,.,.,.,.,+,+,1,1,.,.,.,.,.,.,.,.,,,,Asparagus acutifolius L.,.,.,.,.,.,.,+,.,.
,,,,,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens,+,.,.,+,,,,Quercus Xwelwitschii Samp.,.,.,.,.,1,1,.,.,.,.,.,.,.,.,.,.,,,,Cytisus scoparius (L.) Link,.,+,1,2,+,1,3,+,2
,,,,,Cytisus multiflorus (L'Hér.) Sweet,+,+,.,.,,,,Juniperus oxycedrus L.,.,.,.,.,.,.,.,.,.,1,+,2,1,+,1,(+),,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],.,.,1,+,1,+,1,+,1
,,,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman,.,+,.,+,,,,Cytisus scoparius (L.) Link,+,r,1,2,+,1,+,1,1,2,2,+,2,1,1,.,,,,Clinopodium vulgare L. subsp. arundanum (Boiss.) Nyman [sub],+,1,.,.,.,+,1,+,1
,,,,,Geranium purpureum Vill.,+,.,+,.,,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],1,+,+,1,+,1,.,1,+,1,2,1,1,1,.,.,,,,Lavandula pedunculata Cav. [sub],+,.,+,.,+,.,1,.,+
,,,,,Polypodium cambricum L. subsp. cambricum,+,.,.,+,,,,Cistus ladanifer L. [sub],2,1,1,.,.,.,.,.,.,1,1,+,2,1,.,1,,,,Silene coutinhoi Rothm. & Pinto da Silva,.,+,1,+,+,+,.,.,.
,,,,,Silene coutinhoi Rothm. & Pinto da Silva,.,+,+,.,,,,Cistus salviifolius L.,.,+,.,.,.,.,.,1,1,1,1,+,1,.,+,+,,,,Hypochaeris radicata L.,+,.,.,.,+,+,1,.,+
,,,,,Teucrium scorodonia L. subsp. scorodonia,+,.,.,+,,,,Cytisus multiflorus (L'Hér.) Sweet,2,+,1,.,.,.,.,1,.,1,.,+,2,+,1,.,,,,Anarrhinum duriminium (Brot.) Pers.,+,+,+,+,+,.,.,.,.
,,,,,Crataegus monogyna Jacq. [sub],.,.,2,.,,,,Silene coutinhoi Rothm. & Pinto da Silva,+,.,+,.,.,.,+,1,+,+,1,1,+,.,.,.,,,,Teucrium scorodonia L.,2,+,.,1,.,.,.,2,.
,,,,,Quercus pyrenaica Willd.,.,.,.,2,,,,Cynosurus echinatus L.,1,.,1,1,.,.,.,.,.,+,2,1,1,.,1,.,,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,.,1,.,1,.,.,.,+,1
,,,,,Cytisus striatus (Hill) Rothm. [sub],.,.,.,1,,,,Lavandula pedunculata Cav. [sub],+,+,.,1,.,+,.,+,.,+,1,+,1,.,.,.,,,,Tamus communis L.,1,1,.,.,.,.,.,1,+
,,,,a,Quercus pyrenaica Willd.,1,.,.,.,,,,Clinopodium arundanun,.,.,+,1,+,1,1,.,.,+,.,.,+,.,.,+,,,,Cistus psilosepalus Sweet,+,.,.,.,1,+,.,1,.
,,,,,Ulex europaeus L. subsp. latebracteatus (Mariz) Rothm.,1,.,.,.,,,,Pimpinella villosa Schousb.,.,.,+,.,+,.,.,+,+,.,+,.,+,+,.,.,,,,Sedum forsterianum Sm. in Sowerby,+,.,+,.,.,.,1,.,1
,,,,,Vicia angustifolia L.,.,.,.,1,,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],.,+,+,.,.,.,+,.,.,1,.,+,.,.,2,1,,,,Thapsia villosa L.,+,+,.,.,.,+,.,.,+
,,,,,Anthoxanthum amarum Brot.,+,.,.,.,,,,Luzula gr. forsteri (Sm.) DC. in Lam. & DC. [sub],.,.,.,.,+,1,1,.,1,+,.,.,.,1,1,+,,,,Pimpinella villosa Schousb.,.,.,+,+,.,+,.,+,.
,,,,,Arenaria montana L. subsp. montana,+,.,.,.,,,,Andryala integrifolia L.,1,.,.,1,.,+,.,.,.,1,1,.,1,.,+,.,,,,Cistus ladanifer L. [sub],1,.,.,.,3,1,.,.,.
,,,,,Bromus madritensis L.,.,.,+,.,,,,Geranium purpureum Vill.,.,.,.,1,+,1,.,.,.,.,+,.,+,.,+,1,,,,Cytisus multiflorus (L'Hér.) Sweet,.,.,1,.,2,2,.,.,.
,,,,,Clinopodium vulgare L. subsp. arundanum (Boiss.) Nyman,+,.,.,.,,,,Thapsia villosa L.,.,1,+,.,.,+,+,.,.,.,.,+,+,.,+,.,,,,Cistus salviifolius L.,+,.,2,1,.,.,.,.,.
,,,,,Cytisus grandiflorus (Brot.) DC. subsp. grandiflorus,.,+,.,.,,,,Cistus psilosepalus Sweet,1,.,+,.,1,.,.,.,.,1,.,1,.,.,+,.,,,,Geranium purpureum Vill.,.,.,.,.,.,.,1,+,1
,,,,,Digitalis purpurea L. subsp. purpurea,+,.,.,.,,,,Conopodium majus (Gouan) Loret in Loret & Barrandon subsp. marizianum (Samp.) López Udias & Mateo [sub],.,+,+,.,.,1,.,.,.,.,.,+,+,.,.,+,,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],+,.,.,.,.,.,1,+,.
,,,,,Euphorbia oxyphylla Boiss.,.,.,.,+,,,,Halimium umbellatum (L.) Spach subsp. viscosum (Willk.) O. Bolòs & Vigo [sub],.,+,.,.,.,1,.,+,.,.,.,.,1,+,+,.,,,,Sanguisorba verrucosa (Link ex G. Don) Ces.,.,.,+,.,.,.,1,+,.
,,,,,Euphorbia segetalis L.,.,.,.,+,,,,Hypochaeris radicata L.,+,.,+,1,.,+,.,.,.,.,.,.,.,1,1,.,,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],+,+,.,.,.,+,.,.,.
,,,,,Festuca arundinacea Schreb. subsp. arundinacea,+,.,.,.,,,,Sedum forsterianum Sm. in Sowerby,.,.,.,1,.,1,.,+,.,1,.,.,.,2,.,+,,,,Origanum virens Hoffmanns. & Link,+,.,.,.,.,.,.,+,+
,,,,,Galium mollugo L. subsp. erectum (Huds.) Syme,.,.,+,.,,,,Anarrhinum duriminium (Brot.) Pers.,+,.,.,.,.,.,+,+,+,1,.,.,.,.,.,.,,,,Brachypodium sylvaticum (Huds.) P. Beauv.,.,.,.,+,.,+,.,+,.
,,,,,Hypochaeris radicata L.,+,.,.,.,,,,Ranunculus ollissiponensis Pers.,+,.,.,1,.,.,.,.,.,.,.,.,+,1,1,.,,,,Pteridium aquilinum (L.) Kuhn in Kerst.,1,.,.,.,.,1,.,.,.
