,,1,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,,,50,51,52,53,54,55,56,57,58,59,60,,,,1,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,Urginea fugax (Moris) Steinh. [sub],1,,,Hyacinthoides hispanica (Mill.) Rothm.,.,.,.,.,.,.,.,.,2,.,.,.,.,1,1,.,.,,,Juniperus phoenicea L. subsp. turbinata (Guss.) Nyman [sub],.,.,.,.,.,.,.,.,.,.,.,,,Asparagus aphyllus L.,1,,a,Asparagus acutifolius L.,1,+,+,+,+,r,r,+,.,.,1,.,+,.,.,.,.,1,.,.,.,.,+,+,+,.,+
,Cistus albidus L.,2,,,Anemone palmata L.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,Corema album (L.) D. Don,.,.,.,.,.,.,.,.,.,.,.,,,Chamaerops humilis L.,+,,a,Asparagus albus L.,.,.,.,.,.,1,.,2,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,+,.
,Pulicaria odora (L.) Rchb.,1,,,Juniperus phoenicea L. subsp. turbinata (Guss.) Nyman [sub],+,+,1,2,.,1,2,.,.,.,.,.,2,+,+,.,.,,,Calicotome villosa (Poir.) Link,.,.,.,.,.,.,.,.,.,.,.,,,Rosa sempervirens L.,+,,a,Asparagus aphyllus L.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],1,,,Paeonia broteri Boiss. & Reut. [sub],1,.,1,.,1,2,.,.,.,.,.,.,1,1,1,1,.,,,Osyris quadripartita Salzm. ex Decne. [sub],+,1,2,1,.,.,1,.,1,.,.,,,Clematis flammula L.,+,,a,Asparagus horridus L. fil.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.
,,,,,Quercus faginea Lam.,.,.,.,.,.,.,.,.,.,.,.,1,.,2,1,2,1,,,Asparagus albus L.,.,1,2,.,2,1,.,+,.,.,.,,,Piptatherum miliaceum (L.) Coss.,2,,a,Asperula hirsuta Desf.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,Quercus Xjahandiezii A. Camus,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,+,,,Aristolochia baetica L.,.,.,.,.,+,.,.,.,.,.,.,,,Ulex baeticus Boiss. subsp. scaber (Kunze) Cubas [sub],1,,h,Asphodelus ramosus L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,+,.,+,.
,,,,,Viburnum tinus L.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,2,.,.,,,Clematis cirrhosa L.,.,.,.,.,.,.,.,.,.,.,.,,,Cistus albidus L.,1,,h,Asteriscus aquaticus (L.) Less.,.,.,.,.,.,r,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,Quercus faginea Lam.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,,,Prasium majus L.,.,.,.,.,.,.,.,.,.,.,.,,,Geranium purpureum Vill.,1,,h,Asterolinon linum-stellatum (L.) Duby in A. DC.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,Quercus Xjahandiezii A. Camus [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,,,Sanguisorba hybrida (L.) Font Quer,.,.,.,.,.,.,.,.,.,.,.,,,Thymbra capitata (L.) Cav.,+,,h,Erophaca baetica (L.) Boiss. [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,.,.,.
,,,,,Pistacia lentiscus L.,+,1,+,.,+,+,+,+,+,1,1,+,+,+,+,2,+,,,Doronicum plantagineum L.,.,.,.,.,.,.,.,.,.,.,.,,,Retama sphaerocarpa (L.) Boiss.,+,,a,Ballota hirsuta Benth. subsp. hirsuta,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.
