,,1,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,,,50,51,52,53,54,55,56,57,58,59,60,,,,1,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,,,,,,,,,,,,,,,,Rhamnus alaternus L.,1,2,2,1,.,3,3,2,.,.,.,,,,,,h,Euphorbia pterococca Brot.,.,.,.,.,.,.,(+),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Erica arborea L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Ferula communis L. subsp. catalaunica (Pau ex C. Vicioso) Sánchez Cuxart & Bernal,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Osyris alba L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Foeniculum vulgare Mill.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Melica minuta L. [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Fraxinus angustifolia Vahl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,Coronilla valentina L. subsp. glauca (L.) Batt. in Batt. & Trab. [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,A,Fraxinus angustifolia Vahl,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
,,,,,,,,,,,,,,,,,,,,,,,,,Teucrium pseudo-scorodonia Desf. [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Gastridium ventricosum (Gouan) Schinz & Thell.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Picris gr. spinifera Franco [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Genista haenseleri Boiss.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Ulex argenteus Welw. ex Webb,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Genista hirsuta Vahl,.,.,.,.,.,(+),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,Nepa boivinii (Webb) Webb [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Genista spartioides Spach [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Cheirolophus sempervirens (L.) Pomel,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Genista umbellata (L'Hér.) Dum. Cours.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Rhododendron ponticum L. subsp. baeticum (Boiss. & Reut.) Hand.-Mazz. [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Geranium lucidum L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,Senecio lopezii Boiss.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Geranium purpureum Vill.,.,.,.,.,.,.,.,.,2,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,+,+,+
,,,,,,,,,,,,,,,,,,,,,,,,,Ulex australis Clemente subsp. welwitschianus (Planch.) Espírito Santo & al. [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Geranium rotundifolium L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Stauracanthus genistoides (Brot.) Samp. [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Gladiolus communis L. subsp. byzantinus (Mill.) A.P.Ham.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Malcolmia gracilima,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Gladiolus communis L. [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Armeria rouyana Daveau,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Gladiolus sp.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Halimium halimifolium (L.) Willk. in Willk. & Lange,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Gynandriris sisyrinchium (L.) Parl.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Thymus capitellatus Hoffmanns. & Link,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Halimium halimifolium (L.) Willk. in Willk. & Lange,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Iberis ciliata All. subsp. welwitschii (Boiss.) Moreno [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Onobrychis humilis (Loefl.) G. López [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Cytisus grandiflorus (Brot.) DC.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Helianthemum salicifolium (L.) Mill.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Helichrysum stoechas (L.) Moench,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Cistus monspeliensis L.,1,+,1,.,+,1,2,.,1,1,.,,,,,,a,Helichrysum stoechas (L.) Moench,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Ruta chalepensis L.,.,.,.,.,.,.,.,.,.,1,+,,,,,,h,Hypericum perfoliatum L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.
,,,,,,,,,,,,,,,,,,,,,,,,,Euphorbia nicaeensis All. [sub],.,.,.,.,.,.,1,.,1,1,+,,,,,,h,Hypericum perforatum L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,Cistus albidus L.,.,.,.,1,1,.,2,.,1,1,2,,,,,,h,Iberis pectinata Boiss. & Reut. in Boiss.,.,.,.,.,.,r,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Teucrium lusitanicum Schreb.,.,.,.,.,.,.,.,.,1,+,.,,,,,,a,Jasminum fruticans L.,.,.,.,.,.,2,2,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Brachypodium phoenicoides (L.) Roem. & Schult.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Juniperus oxycedrus L.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,3,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Salvia sclareoides Brot.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Juniperus oxycedrus L. subsp. oxycedrus,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Teucrium scorodonia L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Lapiedra martinezii Lag.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Lathyrus tingitanus L.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Quercus pyrenaica Willd.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Launaea fragilis (Asso) Pau,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Cytisus borgaei,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Lavandula stoechas L.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Retama sphaerocarpa (L.) Boiss.,.,.,.,.,1,.,.,.,+,.,1,,,,,,a,Lavandula stoechas L. [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Halimium ocymoides (Lam.) Willk. in Willk. & Lange,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Cistus gr. populifolius L. [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Lavandula pedunculata Cav. [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Tamus communis L.,1,2,2,.,.,.,.,+,.,+,+,,,,,,a,Lavatera oblongifolia Boiss.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Crataegus monogyna Jacq. [sub],3,2,3,.,.,.,1,+,.,.,.,,,,,,h,Linum strictum L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Urginea fugax (Moris) Steinh. [sub],.,+,+,+,.,1,1,2,+,+,.,,,,,,a,Lonicera etrusca G. Santi,.,.,.,.,.,.,.,.,2,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Calamintha nepeta (L.) Savi subsp. nepeta [sub],1,+,1,.,.,.,1,2,.,.,.,,,,,,a,Lonicera implexa Aiton,.,+,+,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,+,(+),1,.,1
,,,,,,,,,,,,,,,,,,,,,,,,,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,+,+,1,+,+,1,.,.,+,.,.,,,,,,a,Lonicera periclymenum L.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],.,.,.,.,.,.,+,2,.,.,.,,,,,,a,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,2,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Thapsia villosa L.,.,.,.,+,.,+,.,.,.,.,.,,,,,,h,Lotus parviflorus Desf.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Rubus ulmifolius Schott,.,.,.,.,.,.,+,+,.,.,.,,,,,,h,Magydaris panacifolia (Vahl) Lange in Willk. & Lange,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,Aristolochia paucinervis Pomel,+,+,.,.,.,+,.,+,+,+,.,,,,,,h,Malva hispanica L.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Geranium purpureum Vill.,.,.,.,1,.,+,.,.,.,.,.,,,,,,h,Melica minuta L.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,(+),.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Brachypodium sylvaticum (Huds.) P. Beauv.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Mercurialis annua L.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Origanum virens Hoffmanns. & Link,+,1,+,.,.,.,.,.,+,+,.,,,,,,a,Micromeria graeca (L.) Rchb.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Pteridium aquilinum (L.) Kuhn in Kerst.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Myrtus communis L.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,(+),3,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,Dactylis glomerata L. subsp. lusitanica Stebbins & Zohary [sub],+,1,+,.,.,+,.,.,.,.,.,,,,,,h,Narcissus papyraceus Ker. Gawl. [sub],.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Sedum forsterianum Sm. in Sowerby [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,A,Olea europaea L.,.,.,.,.,.,(+),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Vicia angustifolia L. [sub],+,1,.,.,.,.,.,.,.,.,.,,,,,,a,Olea europaea L.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Genista hirsuta Vahl,1,+,.,1,+,.,.,.,+,.,.,,,,,,A,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],.,.,2,+,.,.,.,1,.,2,+,+,+,.,.,.,.,.,.,.,.,.,1,2,(+),1,1
,,,,,,,,,,,,,,,,,,,,,,,,,Hedera canariensis Willd.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],.,.,.,.,(+),.,.,3,.,2,.,.,.,.,.,.,.,1,1,.,.,.,+,2,+,4,2
,,,,,,,,,,,,,,,,,,,,,,,,,Vinca difformis Pourr.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Ophrys tenthredinifera Willd.,.,.,.,.,.,.,.,(+),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Cistus salviifolius L. [sub],.,.,.,.,.,.,.,+,.,.,.,,,,,,h,Orchis mascula (L.) L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Bryonia dioica Jacq.,.,.,.,.,.,+,.,.,.,.,.,,,,,,a,Origanum virens Hoffmanns. & Link,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Clinopodium vulgare L. subsp. arundanum (Boiss.) Nyman [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Origanum sp.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Pulicaria odora (L.) Rchb.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Ornithogalum narbonense L.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Phagnalon saxatile (L.) Cass.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Ornithogalum orthophyllum Ten. subsp. baeticum (Boiss.) Zahar. [sub],.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Ferula communis L.,+,.,.,.,.,.,.,.,.,.,.,,,,,,h,Orobanche sp.,.,.,.,.,(+),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Polypodium cambricum L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Osyris alba L.,1,+,1,1,.,.,.,.,.,+,.,.,1,.,.,.,.,+,.,.,.,.,.,.,1,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,Arum italicum Mill.,.,.,.,.,.,.,.,+,+,1,.,,,,,,a,Osyris quadripartita Salzm. ex Decne. [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,+,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Asphodelus ramosus L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Phagnalon saxatile (L.) Cass.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Dianthus lusitanus Brot. [sub],+,.,.,.,.,.,.,.,.,.,.,,,,,,a,Phagnalon saxatile (L.) Cass.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Vicia angustifolia L. [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Phillyrea angustifolia L.,.,.,.,.,2,(+),(+),.,.,.,.,.,.,+,.,(+),.,.,.,.,.,.,+,r,+,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Lathyrus angulatus L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Phillyrea latifolia L.,1,.,1,.,+,.,.,.,.,.,.,.,1,.,2,.,1,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Hypericum perforatum L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Phlomis purpurea L.,.,.,.,+,2,1,1,(+),.,+,1,2,.,.,.,1,1,.,.,.,2,1,+,+,+,+,+
,,,,,,,,,,,,,,,,,,,,,,,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Phlomis purpurea L. [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,3,1,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Bituminaria bituminosa (L.) C.H. Stirt. [sub],.,.,.,.,.,.,+,+,.,+,+,,,,,,a,Phonus arborescens (L.) G. López,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Epipactis tremolsii Pau,.,.,.,.,.,.,.,.,.,.,.,,,,,,A,Pinus halepensis Mill.,+,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Genista triacanthos Brot.,.,.,.,.,.,.,.,.,.,.,.,,,,,,A,Pinus pinaster Aiton,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Saxifraga granulata L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Piptatherum miliaceum (L.) Coss.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Lathyrus sylvestris L.,.,.,.,.,.,.,.,+,.,.,.,,,,,,a,Pistacia lentiscus L.,2,+,3,+,2,3,3,1,.,.,+,3,3,2,.,3,3,.,.,.,1,.,2,2,3,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,Cardamine hirsuta L.,.,.,.,.,.,.,+,.,.,+,.,,,,,,a,Pistacia terebinthus L.,.,.,+,.,.,1,r,1,.,1,.,.,.,.,+,(+),.,.,.,.,.,.,+,.,.,+,.
,,,,,,,,,,,,,,,,,,,,,,,,,Ranunculus ollissiponensis Pers.,.,.,.,.,.,.,.,.,+,.,.,,,,,,h,Plantago afra L.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Lonicera etrusca G. Santi,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Polycarpon tetraphyllum (L.) L.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Agrimonia eupatoria L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,A,Prunus dulcis (Mill.) D.A. Webb,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Margotia gummifera (Desf.) Lange in Willk. & Lange [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Ptilostemon hispanicus (Lam.) Greuter,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Cephalanthera longifolia (L.) Fritsch,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Pulicaria odora (L.) Rchb.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,m,Homalothecium sp.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Quercus coccifera L.,.,+,.,1,.,2,(+),+,.,3,+,.,.,.,1,.,2,2,.,.,.,.,1,.,1,.,2
,,,,,,,,,,,,,,,,,,,,,,,,,Rosmarinus officinalis L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,A,Quercus faginea Lam.,5,.,2,+,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Anogramma leptophylla (L.) Link,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Quercus rotundifolia Lam. [sub],.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,2,.,.,.,1,2,2,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,Aristolochia pistolochia L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,A,Quercus rotundifolia Lam. [sub],.,5,+,4,4,3,4,3,.,4,.,.,.,1,4,3,4,2,.,+,5,4,4,3,4,3,4
,,,,,,,,,,,,,,,,,,,,,,,,,Geranium sanguineum L.,.,.,.,.,.,.,.,.,+,.,.,,,,,,A,Quercus rotundifolia Lam.,.,.,.,.,.,.,.,.,3,.,4,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Hyparrhenia hirta (L.) Stapf in Prain subsp. pubescens (Vis.) Paunero [sub],.,.,.,.,.,.,.,.,.,.,+,,,,,,A,Quercus suber L.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Prunus spinosa L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Ranunculus bullatus L.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Celtis australis L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Retama sphaerocarpa (L.) Boiss.,.,.,.,.,.,(+),.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Iris foetidissima L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Rhamnus alaternus L.,1,2,.,1,.,r,(+),.,.,.,1,+,.,.,.,.,.,.,.,.,1,1,+,.,+,+,+
,,,,,,,,,,,,,,,,,,,,,,,,,Calluna vulgaris (L.) Hull,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Rhamnus alaternus L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Bellis perennis L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Rhamnus alaternus L. subsp. alaternus,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Campanula rapunculus L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Rhamnus lycioides L. subsp. lycioides,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Oeosporangium acrosticum (Balb.) L. Sáez & P. Aymerich [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Rhamnus lycioides L. subsp. oleoides (L.) Maire in Jahand. & Maire,.,1,+,.,(+),1,r,3,.,2,+,.,+,1,2,.,.,.,.,4,.,.,(+),.,.,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,Cytisus striatus (Hill) Rothm. [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Rhamnus lycioides L. subsp. oleoides (L.) Maire in Jahand. & Maire [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Luzula campestris (L.) DC.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Rosa canina L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,Ornithogalum orthophyllum Ten. subsp. baeticum (Boiss.) Zahar. [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Rosa pouzinii Tratt.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.
