,,1,2,3,,,,,1,2,3,4,5,6,7,8
,,,,,,,,Aristolochia paucinervis Pomel,+,.,1,.,+,.,.,+
,,,,,,,,Sedum forsterianum Sm. in Sowerby,.,+,1,.,.,+,.,+
,,,,,,,,Agrostis castellana Boiss. & Reut.,.,.,+,.,.,1,+,1
,,,,,,,,Erica scoparia L.,.,.,.,.,+,1,1,+
,,,,,,,,Ulex minor Roth,.,.,.,.,+,+,+,1
,,,,,,,,Pittosporum undulatum Vent.,2,1,2,.,.,.,.,.
,,,,,,,,Bryonia dioica Jacq.,+,+,+,.,.,.,.,.
,,,,,,,,Calamintha nepeta (L.) Savi subsp. nepeta [sub],1,.,+,.,.,.,.,+
,,,,,,,,Calluna vulgaris (L.) Hull,.,+,1,.,.,+,.,.
,,,,,,,,Daphne gnidium L.,.,.,.,.,.,1,1,1
,,,,,,,,Heracleum sphondylium L.,1,+,.,.,.,.,.,.
,,,,,,,,Silene latifolia Poir.,+,.,+,.,.,.,.,.
,,,,,,,,Ulmus minor Mill.,+,.,.,.,+,.,.,.
,,,,,,,,Carex halleriana Asso,.,+,+,.,.,.,.,.
,,,,,,,,Carex depressa Link,.,.,.,+,.,.,+,.
,,,,,,,,Pyrus communis L.,.,.,.,+,.,.,+,.
,,,,,,,,Scilla monophyllos Link,.,.,.,+,.,.,+,.
,,,,,,,,Linaria triornithophora (L.) Willd.,.,.,.,.,+,+,.,.
,,,,,,,,Carex distachya Desf.,.,.,.,.,+,.,.,+
,,,,,,,,Erica arborea L.,.,.,.,.,.,1,+,.
,,,,,,,,Tradescantia fluminensis Vell.,2,.,.,.,.,.,.,.
,,,,,,,,Urtica membranacea Poir. in Lam.,+,.,.,.,.,.,.,.
,,,,,,,,Quercus Xauzandrii Gren. & Godr. [sub],.,.,1,.,.,.,.,.
,,,,,,,,Ulex europaeus L. subsp. latebracteatus (Mariz) Rothm. [sub],.,.,+,.,.,.,.,.
,,,,,,,,Asphodelus albus Mill.,.,.,.,+,.,.,.,.
,,,,,,,,Avenella flexuosa (L.) Drejer [sub],.,.,.,+,.,.,.,.
,,,,,,,,Simethis mattiazzii (Vand.) G. López & Ch.E. Jarvis,.,.,.,+,.,.,.,.
,,,,,,,,Erica cinerea L.,.,.,.,.,+,.,.,.
,,,,,,,,Erica umbellata Loefl. ex L.,.,.,.,.,.,+,.,.
,,,,,,,,Myrtus communis L.,.,.,.,.,.,.,2,.
,,,,,,,,Lithodora prostrata (Loisel.) Griseb.,.,.,.,.,.,.,+,.
,,,,,,,,Clinopodium vulgare L. subsp. arundanum (Boiss.) Nyman [sub],.,.,.,.,.,.,.,+
