,,1,2,3,,,,1,2,3,4,5,6,7,8,,,,1,,,,1,,,,,,,,1,2,3,4,5,6,7,8,9,,,,1,2,3,4,5,6,,,,1,2,3,4,5,6,7,,,,1
,Rubus sp.,+,+,+,,,Arbutus unedo L.,.,.,.,x,2,2,2,.,,,Melica minuta L. [sub],1,,,Smilax aspera L.,2,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],+,,,Quercus rotundifolia Lam.,.,.,.,.,.,.,.,2,3,,,Rosa sempervirens L.,.,1,.,1,.,.,,,Bupleurum rigidum L. subsp. paniculatum (Brot.) H. Wolff in Engl.,+,+,.,.,.,1,+,,,Phillyrea latifolia L.,1
,Lonicera etrusca G. Santi,+,.,.,,,Viburnum tinus L.,.,.,.,.,3,3,2,.,,,Luzula forsteri (Sm.) DC. subsp. baetica P. Monts.,1,,,Coronilla valentina L. subsp. glauca (L.) Batt. in Batt. & Trab.,+,,,Phillyrea angustifolia L.,+,,,Osyris alba L.,.,.,+,.,3,.,.,.,.,,,Pistacia lentiscus L.,.,.,2,.,.,.,,,Arisarum vulgare Targ.-Tozz.,+,+,.,.,+,.,+,,,Pistacia lentiscus L.,1
,Jasminum fruticans L.,.,+,.,,p,Viburnum tinus L.,.,.,.,.,+,.,.,.,,,Polygonatum odoratum (Mill.) Druce,1,,,Vinca difformis Pourr.,3,,,Pistacia lentiscus L.,+,,,Pistacia lentiscus L.,.,.,.,.,.,.,.,2,.,,,Pulicaria odora (L.) Rchb.,.,.,+,.,.,.,,,Arbutus unedo L.,1,2,.,1,.,.,.,,,Bupleurum fruticosum L.,1
,Ruscus aculeatus L.,+,+,.,,,Teucrium scorodonia L.,.,.,.,.,.,.,2,1,,,Asplenium onopteris L.,+,,,Rosa sempervirens L.,2,,,Viburnum tinus L.,+,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],.,.,.,.,.,.,+,.,.,,,Polygonatum odoratum (Mill.) Druce,.,.,2,.,.,.,,,Phillyrea latifolia L.,2,1,.,.,.,+,.,,,Arisarum simorrhinum Durieu,2
,Arisarum vulgare Targ.-Tozz.,2,2,3,,,Cistus psilosepalus Sweet [sub],.,.,.,.,.,.,+,2,,,Carex distachya Desf.,+,,,Iris foetidissima L.,1,,,Ruscus aculeatus L.,+,,,Rubus ulmifolius Schott,4,2,3,.,5,.,.,+,2,,,Geum sylvaticum Pourr.,+,1,+,.,+,1,,,Phillyrea angustifolia L.,.,.,1,.,+,1,.,,,Jasminum fruticans L.,+
,Paeonia broteri Boiss. & Reut. [sub],+,.,.,,,Pteridium aquilinum (L.) Kuhn in Kerst.,.,.,.,.,.,.,+,1,,,Arisarum simorrhinum Durieu,+,,,Arisarum simorrhinum Durieu,+,,,Hedera maderensis K. Koch ex A. Rutherf. subsp. iberica McAllister,+,,,Crataegus monogyna Jacq. [sub],.,+,2,.,3,3,2,+,.,,,Aristolochia paucinervis Pomel,+,1,.,1,.,1,,,Cephalanthera longifolia (L.) Fritsch,+,+,.,.,.,.,1,,,Smilax aspera L. [sub],+
,Rubia peregrina L.,+,.,.,,,Ulex minor Roth,.,.,.,.,.,.,.,2,,,Cephalanthera longifolia (L.) Fritsch,+,,,Rubia peregrina L.,1,,,Rubia peregrina L.,+,,,Calamintha nepeta (L.) Savi subsp. nepeta [sub],1,+,.,1,.,.,.,.,.,,,Rubus ulmifolius Schott,.,2,+,.,2,2,,,Hedera maderensis K. Koch ex A. Rutherf. subsp. iberica McAllister,1,.,.,.,.,+,.,,,Ruscus aculeatus L.,+
,Arum italicum Mill.,2,+,.,,,Erica scoparia L.,.,.,.,.,.,.,.,2,,,Biarum arundanum Boiss. & Reut.,+,,,Asparagus aphyllus L.,1,,,Euphorbia characias L.,+,,,Smyrnium perfoliatum L.,+,+,.,.,.,.,.,.,1,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,+,+,.,+,.,2,,,Hyacinthoides hispanica (Mill.) Rothm.,+,+,.,.,.,.,.,,,Gennaria diphylla (Link) Parl.,+
,Teucrium scorodonia L.,+,.,.,,,Ilex aquifolium L.,.,.,.,.,.,.,.,(+),,,Crataegus monogyna Jacq. [sub],2,,,Luzula forsteri (Sm.) DC. subsp. baetica P. Monts.,1,,,Iris foetidissima L.,#ERROR!,,,Asplenium trichomanes L.,+,.,1,+,.,.,.,.,.,,,Tamus communis L.,+,+,.,.,.,r,,,Iris foetidissima L.,+,.,.,.,.,.,.,,,Asplenium onopteris L.,+
,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,+,.,.,,,Smilax aspera L. [sub],4,1,2,x,3,2,2,2,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],2,,,Crataegus monogyna Jacq. [sub],+,,,Arisarum vulgare Targ.-Tozz.,+,,,Sedum album L.,.,.,+,.,.,.,1,+,.,,,Hedera canariensis Willd. [sub],+,.,.,3,.,.,,,Anemone palmata L.,.,+,.,.,.,.,.,,,Teucrium scorodonia L.,1
,Calendula arvensis L.,+,.,.,,p,Smilax aspera L. [sub],.,.,.,.,+,.,.,.,,,Rosa canina L.,+,,,Euphorbia characias L.,1,,,Crataegus monogyna Jacq. [sub],1,,,Asphodelus aestivus Brot.,1,.,1,.,.,.,.,.,.,,,Arum italicum Mill.,+,+,.,.,.,.,,,Ulex airensis Espírito Santo & al.,1,1,1,+,+,1,+,,,Aristolochia paucinervis Pomel,+
,Geranium purpureum Vill.,1,.,.,,,Arisarum simorrhinum Durieu [sub],+,1,+,.,1,+,+,.,,,Aristolochia paucinervis Pomel,+,,,Orobanche hederae Vaucher ex Duby,+,,,Rubus ulmifolius Schott,1,,,Tamus communis L.,1,.,.,.,.,.,.,.,1,,,Cephalanthera longifolia (L.) Fritsch,+,+,.,.,.,.,,,Salvia sclareoides Brot.,+,+,+,+,+,+,+,,,Tamus communis L.,2
,Hyacinthoides italica (L.) Rothm.,2,.,.,,,Hedera canariensis Willd. [sub],x,+,+,.,.,.,.,2,,,Rubus ulmifolius Schott,+,,,Brachypodium sylvaticum (Huds.) P. Beauv.,1,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman,1,,,Dactylis glomerata L.,.,.,.,1,.,.,2,.,.,,,Asplenium onopteris L.,+,.,.,.,.,.,,,Cistus salviifolius L.,1,+,.,+,+,+,+,,,Geranium purpureum Vill.,+
,Iris foetidissima L.,.,+,.,,,Cheirolophus sempervirens (L.) Pomel [sub],.,2,2,.,(+),.,(+),.,,,Thapsia villosa L.,1,,,Pteridium aquilinum (L.) Kuhn in Kerst.,1,,,Polypodium cambricum L. subsp. cambricum [sub],1,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],.,.,.,.,.,1,2,.,.,,,Ulmus minor Mill.,.,1,.,.,.,.,,,Tamus communis L.,+,+,.,+,+,+,+,,,Rubus ulmifolius Schott,+
,Scrophularia scoradonia,.,+,.,,,Sanguisorba hybrida (L.) Font Quer [sub],1.1,.,.,.,.,.,.,+,,,Ferula communis L.,1,,,,,,,Brachypodium sylvaticum (Huds.) P. Beauv.,1,,,Agrimonia eupatoria L.,.,.,.,+,.,.,.,+,.,,,Helleborus foetidus L.,.,+,.,.,.,.,,,Quercus coccifera L.,1,1,+,.,.,+,1,,,Oxalis pes-caprae L.,+
