,,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,1,2,3,4,5,6,7,8,,,,1,2,3,4,5,,,,1,2,3,4,5,,,,1,2,3,4,5,6,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,1,2,3,4,5,6,7,8
,Mercurialis perennis L.,.,.,.,+,.,.,2,2,.,.,.,.,.,,,Erica australis L. [sub],.,+,+,.,.,.,.,.,,,Sambucus nigra L. subsp. nigra,.,.,.,+,.,,,Narcissus triandrus L. subsp. pallidulus (Graells) D.A.Webb,.,+,+,.,.,,,,,,,,,,,,Trifolium pratense L.,.,.,+,.,.,+,+,.,.,.,.,.,,,Lamium maculatum L.,+,+,.,.,2,+,.,.
,Ruscus aculeatus L.,.,.,2,+,.,.,.,.,2,.,.,.,.,,,Conopodium pyrenaeum (Loisel.) Miégev. [sub],.,+,+,.,.,.,.,.,,,Saxifraga fragosoi Sennen,.,+,.,.,.,,,Nardus stricta L.,.,.,1,.,1,,,,,,,,,,,,Festuca rubra L.,.,.,.,.,1,+,+,.,.,.,.,.,,,Cardamine hirsuta L.,+,.,+,.,1,+,.,.
,Stellaria holostea L.,.,.,+,.,.,.,.,.,.,.,r,.,.,,,Achillea millefolium L.,.,.,.,+,.,+,.,.,,,Scilla verna Huds.,.,.,.,.,+,,,Potentilla erecta (L.) Raeusch.,.,.,+,.,+,,,,,,,,,,,,Phleum pratense L.,.,.,.,.,+,+,2,.,.,.,.,.,,,Hedera helix L.,.,.,+,2,.,.,.,2
,Avenella flexuosa (L.) Drejer [sub],2,.,.,.,.,.,.,.,.,.,.,.,2,,,Sedum rupestre L. [sub],.,.,.,.,+,+,.,.,,,Senecio jacobaea L.,.,.,.,+,.,,,Romulea bulbocodium (L.) Sebast. & Mauri,.,.,+,.,+,,,,,,,,,,,,Cynosurus echinatus L.,.,+,.,2,.,.,.,.,.,.,.,.,,,Potentilla erecta (L.) Raeusch.,.,.,.,+,.,.,1,1
,Digitalis purpurea L.,+,.,.,.,.,.,.,.,.,+,.,.,.,,,Laserpitium latifolium L.,.,.,.,.,.,+,.,.,,,Silene nutans L. subsp. nutans,.,+,.,.,.,,,Holcus lanatus L.,.,.,+,.,+,,,,,,,,,,,,Anthoxanthum odoratum L.,.,+,2,.,.,.,.,.,.,.,.,.,,,Pseudarrhenatherum longifolium (Thore) Rouy [sub],.,.,+,2,.,.,.,+
,Potentilla erecta (L.) Raeusch.,.,.,.,.,+,.,.,+,.,.,.,.,.,,,Galium mollugo L.,.,+,.,.,.,.,.,.,,,Stellaria media (L.) Vill.,.,.,.,+,.,,,Erica arborea L.,.,.,.,+,+,,,,,,,,,,,,Conopodium majus (Gouan) Loret in Loret & Barrandon,.,2,.,.,.,.,+,.,.,.,.,.,,,Carex spicata Huds. [sub],2,.,.,.,2,2,.,.
,Cruciata glabra (L.) Ehrend.,.,.,.,.,.,.,2,1,.,.,.,.,.,,,Ranunculus platanifolius L.,.,.,.,.,.,+,.,.,,,Celtica gigantea (Link) J.M. Vázquez & Barkworth [sub],.,+,.,.,.,,,Frangula alnus Mill.,.,.,.,1,+,,,,,,,,,,,,Ranunculus acris L. subsp. acris,.,.,+,2,.,.,.,.,.,.,.,.,,,Polygala vulgaris L.,.,.,+,1,.,.,.,+
,Conopodium pyrenaeum (Loisel.) Miégev. [sub],1,+,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,Filipendula ulmaria (L.) Maxim.,1,.,.,.,.,,,,,,,,,,,,Arabis alpina L.,.,.,2,.,.,.,.,.,.,2,.,.,,,Saxifraga granulata L.,+,+,.,.,+,.,.,.
,Andryala integrifolia L.,+,+,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,Trisetum flavescens (L.) P. Beauv.,+,.,.,.,.,,,,,,,,,,,,Stachys officinalis (L.) Trevis.,.,.,.,+,.,.,+,.,.,.,.,.,,,Luzula multiflora (Retz.) Lej. subsp. multiflora [sub],.,.,.,+,+,.,+,.
,Galium gr. rivulare Boiss. & Reut. [sub],.,1,2,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,Digitalis purpurea L.,.,+,.,.,.,,,,,,,,,,,,Jasione montana L.,.,.,.,.,2,.,.,.,.,.,.,+,,,Viola tricolor L.,.,r,.,.,+,+,.,.
,Hieracium sabaudum L.,.,.,.,.,.,.,.,.,+,.,+,.,.,,,,,,,,,,,,,,,,,,,,,,Genista anglica L.,.,+,.,.,.,,,,,,,,,,,,Cirsium arvense (L.) Scop.,.,.,.,.,.,+,.,.,(+),.,.,.,,,Cytisus multiflorus (L'Hér.) Sweet,.,.,+,.,(+),+,.,.
,Polygonatum odoratum (Mill.) Druce,.,.,.,.,.,.,+,.,.,.,.,+,.,,,,,,,,,,,,,,,,,,,,,,Festuca elegans Boiss.,.,2,.,.,.,,,,,,,,,,,,Lamium purpureum L.,.,.,.,.,.,.,.,.,+,2,.,.,,,Anthoxanthum odoratum L.,+,.,(+),+,.,.,.,.
,Ornithogalum pyrenaicum L.,.,.,r,.,.,1,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,Calluna vulgaris (L.) Hull,.,.,+,.,.,,,,,,,,,,,,Chaerophyllum hirsutum L.,.,.,.,.,.,.,.,.,.,+,+,.,,,Asplenium adiantum-nigrum L. subsp. adiantum-nigrum,+,.,+,(+),.,.,.,.
,Fragaria vesca L.,.,.,2,2,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,Juncus squarrosus L.,.,.,+,.,.,,,,,,,,,,,,Ranunculus repens L.,.,.,.,.,.,+,.,.,.,+,.,.,,,Crataegus monogyna Jacq.,+,.,(+),.,.,.,+,.
,Campanula lusitanica L. in Loefl.,.,+,.,.,.,.,.,.,.,.,.,r,.,,,,,,,,,,,,,,,,,,,,,,Danthonia decumbens (L.) DC. in Lam. & DC.,.,.,+,.,.,,,,,,,,,,,,Ligusticum lucidum Mill.,.,.,.,.,.,.,.,.,.,+,.,2,,,Hypericum linariifolium Vahl [sub],(+),+,.,.,.,(+),.,.
,Prunella grandiflora (L.) Scholler,.,.,.,.,2,.,.,1,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,Polygala vulgaris L.,.,.,+,.,.,,,,,,,,,,,,Potentilla reptans L.,.,.,.,.,.,.,.,.,.,.,+,+,,,Primula acaulis (L.) L. [sub],.,.,(+),1,.,.,(+),.
,Helleborus foetidus L.,.,.,.,.,.,r,.,.,r,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,Erica tetralix L.,.,.,.,+,.,,,,,,,,,,,,Campanula rapunculus L.,+,.,.,.,.,.,.,.,.,.,+,.,,,Conopodium majus (Gouan) Loret in Loret & Barrandon,.,.,.,.,2,1,.,.
,Erica cinerea L.,+,+,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,Campanula rapunculus L.,.,.,.,.,1,,,,,,,,,,,,Santolina chamaecyparissus L.,.,.,.,.,.,.,.,.,.,.,(+),+,,,"Ranunculus paludosus Poir. subsp. gregarius (Brot.) Z. Díaz, comb. nova [sub]",.,.,.,.,1,1,.,.
,Luzula campestris (L.) DC.,+,.,.,.,.,r,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,Gladiolus communis L. [sub],.,.,.,.,+,,,,,,,,,,,,Vicia cracca L.,.,.,.,.,.,.,.,.,.,.,+,+,,,Asphodelus albus Mill.,.,.,.,2,.,.,.,r
,¿ Senecio lividus L. [sub],+,+,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,Cistus laurifolius L.,.,.,.,.,+,,,,,,,,,,,,Knautia arvensis (L.) Coulter [sub],.,.,.,.,.,.,.,.,2,.,.,+,,,Silene latifolia Poir. [sub],+,2,.,.,.,.,.,.
,Vicia sativa L.,.,.,+,.,.,2,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,Agrostis curtisii Kerguélen,.,.,.,.,+,,,,,,,,,,,,Malva moschata L.,.,.,.,.,.,.,.,.,.,+,.,+,,,Cytisus scoparius (L.) Link [sub],2,.,.,r,.,.,.,.
,Epipactis helleborine (L.) Crantz,.,.,.,+,.,.,.,.,.,.,.,1,.,,,,,,,,,,,,,,,,,,,,,,Cota triumfetti (L.) J.Gay [sub],.,.,.,.,+,,,,,,,,,,,,Avenochloa filifolia subsp. cantabrica,.,.,.,.,.,.,.,.,.,.,1,+,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,1,.,(+),.,.,.,.,.
,Campanula rapunculus L.,.,.,.,+,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galeopsis ladanum L. subsp. angustifolia (Hoffm.) Celak [sub],.,.,.,+,.,.,.,.,.,.,+,+,,,Asphodelus lusitanicus Cout.,.,.,+,.,.,.,1,.
,Laserpitium nestleri Soy.-Will.,.,.,.,.,.,.,1,.,.,.,.,+,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daucus carota L. subsp. carota,.,+,.,.,.,.,.,.,.,.,.,.,,,Stellaria media (L.) Vill.,.,.,.,.,2,2,.,.
,Filipendula vulgaris Moench,.,.,.,.,+,1,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sedum album L.,.,.,.,+,.,.,.,.,.,.,.,.,,,Galium aparine L.,.,.,.,.,2,2,.,.
,Scabiosa columbaria L.,.,.,.,.,.,r,+,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plantago lanceolata L.,.,.,.,2,.,.,.,.,.,.,.,.,,,Orchis mascula (L.) L.,.,.,+,.,.,.,+,.
,Galium saxatile L.,.,.,.,.,.,.,.,.,.,2,2,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cerastium glomeratum Thuill.,.,.,.,.,+,.,.,.,.,.,.,.,,,Prunus avium L.,+,.,.,.,.,.,.,+
,Achillea millefolium L.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geum urbanum L.,.,.,.,.,.,.,.,.,.,+,.,.,,,Rumex papillaris Boiss. & Reut.,+,.,.,+,.,.,.,.
,Agrostis truncatula subsp. conmista,2,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thymus mastichina L.,.,.,.,.,.,.,.,.,.,.,+,.,,,Draba muralis L.,.,.,.,.,+,+,.,.
,Bellis perennis L.,.,.,.,.,.,r,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bryonia dioica Jacq.,.,.,.,.,.,.,.,.,.,.,+,.,,,Sedum forsterianum Sm. in Sowerby,+,+,.,.,.,.,.,.
,Carex caryophyllea Latourr.,.,.,.,+,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achillea millefolium L. subsp. millefolium,.,.,.,.,.,.,.,.,.,.,.,+,,,Frangula alnus Mill.,+,.,+,.,.,.,.,.
,Carex muricata L.,.,.,+,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Berberis vulgaris L.,.,.,.,.,.,.,.,.,.,+,.,.,,,Hieracium sabaudum L. [sub],.,.,+,+,.,.,.,.
,Centaurium erythraea Raf.,.,.,.,+,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arctium minus (Hill) Bernh.,.,.,.,.,.,.,.,.,.,2,.,.,,,Veronica arvensis L.,.,.,.,.,+,+,.,.
,Clematis vitalba L.,.,.,.,.,.,.,.,.,.,.,.,2,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scabiosa columbaria L. subsp. columbaria,.,.,.,.,.,.,.,.,.,.,+,.,,,Teesdalia nudicaulis (L.) R. Br. in W.T. Aiton,.,.,+,.,.,+,.,.
,Crepis capillaris (L.) Wallr.,r,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galium mollugo L.,.,.,.,.,+,+,.,.
,Crepis lampsanoides (Gouan) Tausch,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legouzia castellana,.,.,.,.,+,+,.,.
,Cruciata laevipes Opiz,.,.,.,.,1,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hypochaeris radicata L.,.,+,.,.,.,+,.,.
,Festuca elegans Boiss.,.,.,.,.,.,.,.,.,.,.,2,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cerastium fontanum Baumg. [sub],.,+,.,(+),.,.,.,.
,Festuca gr. rubra L. [sub],.,.,.,.,.,2,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ulex minor Roth,.,.,+,.,.,.,(+),.
p,Fraxinus excelsior L.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jasione montana L.,.,+,.,(+),.,.,.,.
,Geranium columbinum L.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,Scleropodium purum,2,.,+,2,+,.,3,2
,Geranium robertianum L.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,Hypnum cupressiforme,2,.,+,.,.,.,.,(+)
,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,Hylocomium splendens,.,.,.,+,.,.,.,2
,Hypericum montanum L.,.,.,.,.,.,.,.,r,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,Dicranum scoparium,2,.,.,2,.,.,.,.
,Lathyrus linifolius (Reichard) Bässler [sub],.,.,.,.,.,.,.,.,.,.,r,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achillea millefolium L.,.,.,.,.,.,+,.,.
,Lathyrus sphaericus Retz.,.,.,.,.,.,r,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agrostis curtisii Kerguélen [sub],.,.,.,.,.,.,.,+
,Leucanthemum vulgare Lam.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabis hirsuta var. stenocarpa,.,+,.,.,.,.,.,.
,Lilium martagon L.,.,.,.,.,.,.,.,.,.,.,.,+,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bellis sylvestris Cirillo,.,.,.,.,.,.,+,.
,Lonicera periclymenum L.,.,.,.,.,.,.,.,.,r,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carex caryophyllea Latourr.,.,.,.,.,.,+,.,.
,Medicago lupulina L.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centranthus calcitrapae (L.) Dufr.,.,.,.,.,.,+,.,.
,Myosotis arvensis (L.) Hill,.,.,.,.,.,r,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cerastium brachypetalum N.H.F. Desp. ex Pers.,.,+,.,.,.,.,.,.
,Pseudarrhenatherum longifolium (Thore) Rouy,.,.,.,.,.,.,.,.,.,.,+,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cerastium sp.,.,.,+,.,.,.,.,.
,Pulicaria odora (L.) Rchb.,.,.,.,+,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conopodium pyrenaeum (Loisel.) Miégev. [sub],.,+,.,.,.,.,.,.
,Ranunculus tuberosus Lapeyr. [sub],.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corylus avellana L.,.,.,.,.,.,.,+,.
,Sanguisorba minor Scop.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crocus carpetanus Boiss. & Reut.,.,.,.,.,.,+,.,.
,¿ Senecio jacobaea L. [sub],.,.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crucianella angustifolia L.,.,+,.,.,.,.,.,.
,Silene vulgaris (Moench) Garcke,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daboecia cantabrica (Huds.) K. Koch,.,.,.,.,.,.,.,2
,Simethis mattiazzii (Vand.) G. López & Ch.E. Jarvis,.,.,.,.,.,.,.,.,.,.,.,.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erica sp.,.,.,.,.,.,.,.,2
,Sonchus asper (L.) Hill,.,.,.,.,r,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erysimum nevadense Reut. [sub],.,+,.,.,.,.,.,.
,Stellaria graminea L.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Festuca elegans Boiss.,.,+,.,.,.,.,.,.
,Teucrium pyrenaicum L.,.,.,.,.,.,.,2,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Festuca rubra L.,.,.,.,.,+,.,.,.
,Thapsia villosa L.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruciata glabra (L.) Ehrend. [sub],.,.,.,+,.,.,.,.
,Teucrium pyrenaicum L.,.,.,.,.,.,.,2,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galium sp.,.,.,.,+,.,.,.,+
,Thapsia villosa L.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genista ancistrocarpa Spach,.,.,.,.,.,.,+,.
,Trifolium pratense L.,.,.,.,.,.,.,.,.,.,.,.,2,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genista polygalaefolia,.,.,.,.,.,.,+,.
,Vaccinium myrtillus L.,.,.,.,.,.,.,.,.,.,.,r,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geranium lucidum L.,.,+,.,.,.,.,.,.
,Vicia hirsuta (L.) Gray,.,.,.,.,.,2,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geranium purpureum Vill. [sub],+,.,.,.,.,.,.,.
,Vicia cracca L. subsp. incana (Gouan) Rouy [sub],.,.,.,.,.,.,.,2,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geranium pyrenaicum Burm. fil.,.,.,.,.,.,+,.,.
,Vicia orobus DC. in Lam. & DC.,.,.,.,.,.,.,.,.,.,.,.,2,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilosella pseudopilosella (Ten.) Soják [sub],.,+,.,.,.,.,.,.
,Vincetoxicum nigrum (L.) Moench,.,.,.,+,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hieracium castellanum Boiss. & Reut.,.,.,+,.,.,.,.,.
,Euphorbia amygdaloides L.,.,.,.,.,.,.,.,.,1,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hieracium sp.,+,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactuca saligna L.,.,+,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lotus corniculatus L.,+,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luzula lactea (Link) E.Mey.,.,.,.,+,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malva sp.,.,+,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Myosotis discolor Pers. in L. [sub],+,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peucedanum lancifolium Hoffmanns. & Link ex Lange,.,.,1,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poa bulbosa L.,.,.,.,.,+,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polygala serpyllifolia Hose [sub],.,.,.,.,.,.,+,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polypodium vulgare L.,+,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pyrus malis var. sylvestris,+,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cytisus striatus (Hill) Rothm. [sub],.,.,.,.,.,+,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sarothamnus sp.,.,.,.,.,.,.,1,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scilla monophyllos Link,.,.,.,+,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serratula tinctoria L.,.,.,.,.,.,.,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simethis mattiazzii (Vand.) G. López & Ch.E. Jarvis [sub],.,.,+,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solidago virgaurea L. [sub],.,.,.,.,.,.,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taraxacum nordstedtii Dahlst.,.,.,.,.,+,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thesium humifusum DC. in Lam. & DC. [sub],.,.,.,.,.,.,+,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ulex europaeus L. subsp. europaeus,.,.,.,.,.,.,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vicia angustifolia L.,.,+,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,Hypnum schreheri,.,.,.,.,.,.,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,Hypnum triquetrum,.,.,.,.,.,.,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,Peltigera canina,+,.,.,.,.,.,.,.
