,,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,1,2,3,4,5,6,7,8,,,,1,2,3,4,5,,,,1,2,3,4,5,,,,1,2,3,4,5,6,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,1,2,3,4,5,6,7,8
p,Quercus pyrenaica Willd.,3,2,1,2,.,.,2,2,1,2,3,.,4,,,Primula acaulis (L.) L. [sub],1,1,.,+,1,+,+,+,,,Crepis lampsanoides (Gouan) Tausch,.,.,.,.,+,,,Aquilegia vulgaris L. subsp. dichroa (Freyn) T.E. Díaz [sub],.,.,2,2,.,,,Euphorbia angulata Jacq.,+,+,+,.,.,.,,,Silene nutans L. subsp. nutans,.,.,.,.,.,.,.,.,.,.,2,.,,,Genista falcata Brot.,2,.,+,.,.,.,.,.
,Physospermum cornubiense (L.) DC.,.,.,1,1,.,+,1,+,.,.,1,+,.,,,Lathyrus niger (L.) Bernh.,+,+,.,+,+,+,+,+,,,Hedera hibernica (G. Kirchn.) Bean,.,.,.,.,+,,,Melittis melissophyllum L.,.,2,.,.,.,,,Stellaria holostea L.,.,+,+,2,.,.,,,Cytisus scoparius (L.) Link,2,.,2,.,2,+,+,2,2,.,2,+,,,Galium broterianum Boiss. & Reut.,.,+,.,.,.,.,.,.
,Omphalodes nitida (Willd.) Hoffmanns & Link,.,.,.,.,1,+,.,+,.,.,.,.,.,,,Allium victorialis L.,.,1,3,4,2,1,2,2,,,Physospermum cornubiense (L.) DC.,.,.,+,.,.,,,Holcus mollis L.,1,+,2,+,2,,,Aquilegia vulgaris L. subsp. dichroa (Freyn) T.E. Díaz,.,+,+,.,.,.,,,Ajuga reptans L.,2,.,2,+,.,.,+,.,+,.,.,.,,,Linaria triornithophora (L.) Willd.,.,.,.,(+),.,.,.,.
,Linaria triornithophora (L.) Willd.,+,+,.,.,.,.,.,.,.,.,.,.,.,,,Hedera helix L.,.,.,2,1,1,+,+,1,,,Pteridium aquilinum (L.) Kuhn in Kerst. [sub],3,.,1,1,1,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman,2,+,2,1,2,,,Castanea sativa Mill.,.,.,.,.,.,+,,,Linaria triornithophora (L.) Willd.,1,.,+,1,.,.,+,+,.,.,.,.,,,Clinopodium vulgare L. [sub],+,2,+,+,2,2,.,.
,Teucrium scorodonia L.,1,1,2,1,+,1,1,1,1,+,+,1,.,,,Luzula sylvatica (Huds.) Gaudin subsp. henriquesii (Degen) P.Silva,.,.,.,+,1,1,1,1,,,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens,.,2,1,+,1,,,Melampyrum pratense L.,1,1,1,+,1,,,Festuca elegans Boiss.,2,1,1,1,+,2,,,Mercurialis perennis L.,.,.,.,+,.,.,2,.,2,1,.,.,,,Crepis lampsanoides (Gouan) Tausch,1,+,+,1,.,.,1,.
,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],.,.,1,1,1,2,.,2,+,.,.,+,.,,,Potentilla sterilis (L.) Garcke,1,+,1,.,+,+,.,.,,,Cytisus striatus (Hill) Rothm. [sub],.,+,2,1,1,,,Lathyrus linifolius (Reichard) Bässler [sub],2,1,+,2,2,,,Cytisus scoparius (L.) Link,2,+,+,+,+,3,,,Avenella flexuosa (L.) Drejer [sub],2,.,.,.,+,.,.,+,.,.,.,.,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],+,r,1,+,.,.,1,.
,Melampyrum pratense L.,.,.,.,.,3,2,.,1,.,.,2,.,1,,,Oxalis acetosella L.,.,.,.,1,1,2,+,1,,,Rubus sp.,2,.,1,1,+,,,Ranunculus ficaria L.,+,1,+,.,1,,,Clinopodium vulgare L.,1,+,+,+,1,+,,,Pteridium aquilinum (L.) Kuhn in Kerst.,2,.,.,2,.,.,2,.,.,.,.,.,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],.,2,2,(+),2,.,2,.
,Euphorbia angulata Jacq.,.,.,.,+,1,1,.,.,.,.,.,+,.,,,Aquilegia vulgaris L. subsp. dichroa (Freyn) T.E. Díaz [sub],+,+,+,+,.,.,+,.,,,Conopodium majus (Gouan) Loret in Loret & Barrandon subsp. marizianum (Samp.) López Udias & Mateo,.,+,+,+,+,,,Teucrium scorodonia L.,1,2,.,.,2,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],+,+,+,+,+,.,,,Teucrium scorodonia L. subsp. scorodonia,.,2,.,.,.,2,.,+,.,.,.,.,,,Silene nutans L.,+,+,(+),+,.,2,.,.
,Hypericum pulchrum L.,.,.,.,1,+,.,1,.,.,.,.,.,.,,,Blechnum spicant (L.) Roth,.,.,.,2,1,+,1,2,,,Digitalis purpurea L. subsp. purpurea,.,+,+,+,+,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,+,.,+,1,.,,,Anthoxanthum odoratum L.,+,1,2,1,.,+,,,Prunella vulgaris L.,.,.,.,+,.,.,+,+,.,.,.,.,,,Quercus robur L.,(+),+,.,.,.,.,1,1
,Anemone nemorosa L.,.,.,.,.,.,.,.,+,.,.,+,.,.,,,Polygonatum odoratum (Mill.) Druce,1,1,+,.,+,.,.,.,,,Ulex minor Roth,+,.,+,+,+,,,Geum sylvaticum Pourr.,1,1,.,+,.,,,Melittis melisophyllum,1,1,1,.,+,+,,,Vaccinium myrtillus L.,.,.,.,.,2,.,+,2,.,.,.,.,,,Stellaria holostea L.,1,.,2,.,.,2,.,.
