,,1,2,3,4,5,6,7,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,1,2,,,,1,2,3,4,5,6,7,8,9
,Brachypodium sylvaticum (Huds.) P. Beauv.,.,2,.,.,.,.,.,,,,Fraxinus angustifolia Vahl,r,.,.,.,.,.,.,.,+,.,.,.,.,+,.,.,.,.,.,,Frangula alnus Mill.,1,.,,,Euphorbia amygdaloides L.,+,.,+,.,.,.,.,.,.
,Smilax aspera L.,1,.,.,.,.,.,.,,,,Linaria triornithophora (L.) Willd.,.,.,.,.,.,.,+,+,.,.,.,.,.,+,.,.,.,.,.,,Cytisus striatus (Hill) Rothm.,1,r,,,Scilla verna Huds.,.,.,.,+,.,.,.,.,.
,Betula pubescens Ehrh. [sub],.,.,1,.,.,.,.,,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],+,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],+,r,,,Silene nutans L.,.,.,+,.,.,.,.,.,.
,Ajuga reptans L.,.,.,1,.,.,.,.,,,,Pyrus cordata Desv.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,,Potentilla erecta (L.) Raeusch. [sub],+,.,,,Euphorbia dulcis L.,.,+,.,.,.,.,.,.,.
,Holcus mollis L.,.,.,.,1,.,.,.,,,,Clinopodium vulgare L.,.,.,.,+,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,,Viola sp.,+,.,,,Galium rotundifolium L.,.,.,.,.,.,.,.,+,.
,Lythrum salicaria L.,.,.,.,.,.,.,2,,,,Arbutus unedo L.,+,3,+,1,3,3,1,3,.,+,3,2,1,1,2,4,3,2,2,,Dryopteris sp.,.,.,,,Veronica chamaedrys L.,.,.,.,(+),.,.,.,.,.
,Carex paniculata L. subsp. lusitanica (Schkuhr) Maire [sub],.,.,.,.,.,.,1,,,,Quercus suber L.,.,.,.,.,.,.,.,.,1,1,r,r,2,+,3,1,+,1,3,,Prunella grandiflora (L.) Scholler,.,.,,,Pteridium aquilinum (L.) Kuhn in Kerst.,1,2,+,+,2,.,1,+,1
,Phalaris arundinacea L.,.,.,.,.,.,.,1,,,,Rubia peregrina L.,1,.,.,.,.,.,.,.,1,.,+,+,.,.,.,+,1,2,2,,Blechnum spicant (L.) Roth,.,.,,,Lonicera periclymenum L.,+,2,2,2,+,1,2,.,.
,Polypodium vulgare L.,+,.,.,.,.,.,.,,,,Osyris alba L.,.,.,.,.,.,.,+,.,.,.,.,.,.,1,.,.,.,+,1,,Cruciata glabra (L.) Ehrend.,.,.,,,Teucrium scorodonia L.,+,2,2,2,2,+,2,.,.
,Osmunda regalis L.,.,.,+,.,.,.,.,,,,Daphne gnidium L.,.,.,.,.,.,.,.,.,+,.,.,+,r,.,.,.,.,.,.,,Veronica montana L.,.,.,,,Castanea sativa Mill.,+,+,.,+,.,.,+,2,.
,Pulmonaria longifolia (Bast.) Boreau,.,.,+,.,.,.,.,,,,Carex distachya Desf.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,+,,Melampyrum pratense L.,.,.,,,Hypericum pulchrum L.,+,.,+,1,.,.,.,.,.
,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],.,.,.,+,.,.,.,,,,Pteridium aquilinum (L.) Kuhn in Kerst.,1,3,3,2,1,2,4,2,1,4,1,3,4,1,3,3,1,.,1,,Cirsium filipendulum Lange,.,.,,,Holcus mollis L.,+,.,.,2,.,.,.,.,.
,Carex remota L.,.,.,.,.,.,.,+,,,,Rubus sp.,+,2,3,4,.,+,2,.,3,.,.,.,1,1,1,2,r,1,.,,Polypodium interjectum Shivas,.,.,,,Hieracium sabaudum subsp. obliquum,.,1,.,.,.,+,.,.,.
,Iris pseudacorus L.,.,.,.,.,.,.,+,,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],.,.,+,1,+,.,1,+,+,1,.,1,.,1,1,.,+,.,+,,Rumex acetosa L.,.,.,,,Veronica officinalis L.,.,.,.,.,.,(+),.,+,.
,Peucedanum lancifolium Hoffmanns. & Link ex Lange,.,.,.,.,.,.,+,,,,Polypodium gr. vulgare L. [sub],.,.,.,.,1,+,.,1,1,+,+,+,.,1,.,1,1,.,+,,Silene vulgaris (Moench) Garcke subsp. vulgaris [sub],.,.,,m,Mnium hornum,.,3,.,.,.,.,.,.,.
,Athyrium filix-femina (L.) Roth,.,.,.,.,.,.,+,,,,Brachypodium pinnatum (L.) P. Beauv. subsp. rupestre (Host) Schübl. & G.Martens [sub],2,+,1,.,.,.,.,.,3,+,1,+,3,1,.,.,.,+,2,,Oxalis acetosella L.,.,.,,,Melampyrum pratense L.,.,.,.,1,.,.,.,.,.
,Eupatorium cannabinum L.,.,.,.,.,.,.,+,,,,Lithodora prostrata (Loisel.) Griseb.,.,.,+,.,+,.,.,+,+,1,.,+,1,1,1,.,.,+,.,,Genista florida L. [sub],r,.,,,Avenella flexuosa (L.) Drejer [sub],.,.,.,.,.,2,.,.,.
,Lycopus europaeus L.,.,.,.,.,.,.,+,,,,Digitalis purpurea L.,+,1,+,+,+,.,.,.,.,+,.,.,.,+,.,.,+,.,.,,Luzula campestris (L.) DC.,r,.,,,Carex pilulifera L.,.,.,.,2,.,.,.,.,.
,Brachypodium pinnatum (L.) P. Beauv. subsp. rupestre (Host) Schübl. & G.Martens [sub],1,r,1,2,+,1,3,,,,Anthoxanthum odoratum L.,+,1,.,.,.,.,1,+,.,.,1,+,1,1,.,.,.,.,.,,Ulex europaeus L.,r,.,,,Hieracium vulgatum Fr.,.,.,+,.,.,.,.,.,.
,Parietaria judaica L.,1,.,.,.,+,.,.,,,,Erica arborea L.,.,+,.,.,1,.,.,1,.,+,r,.,.,.,.,.,r,+,.,,Orobanche sp.,r,.,,,Ceratocapnos claviculata (L.) Lidén [sub],.,(+),.,.,.,.,.,.,.
,Rumex acetosa L. subsp. biformis (Lange) Castrov. & Valdés Berm.,.,.,.,+,1,+,+,,,,Pseudarrhenatherum longifolium (Thore) Rouy,.,.,.,.,.,.,.,+,+,2,.,.,+,.,4,.,+,.,1,,Pinus radiata D. Don [sub],r,.,,,Dactylis glomerata L. subsp. glomerata,2,2,.,(+),2,.,.,.,.
,Atriplex prostrata Boucher ex DC. in Lam. & DC.,.,.,.,.,+,.,+,,,,Rumex acetosa L.,.,+,.,+,+,.,.,+,.,.,.,+,.,+,.,.,r,.,.,,Anthoxanthum amarum Brot.,.,1,,,Pseudarrhenatherum longifolium (Thore) Rouy [sub],+,(+),+,.,2,.,.,.,.
,Asparagus aphyllus L.,.,.,.,+,.,1,.,,,,Cytisus scoparius (L.) Link,.,+,1,+,.,.,1,.,+,1,.,.,.,.,.,.,.,.,.,,Picris hieracioides L.,.,r,,,Anthoxanthum odoratum L.,2,.,.,1,1,.,.,.,.
,Festuca rubra L. subsp. pruinosa (Hack.) Piper,1,.,.,.,.,r,.,,,,Asphodelus albus Mill.,.,.,2,.,.,+,.,.,2,.,.,.,3,.,.,.,.,.,+,,Jasione montana L.,.,r,,,Bellis perennis L.,+,+,+,.,.,.,.,.,.
,Pulicaria odora (L.) Rchb.,.,.,.,1,.,.,.,,,,Simethis mattiazzii (Vand.) G. López & Ch.E. Jarvis,.,.,.,.,.,.,.,+,+,.,.,.,1,.,.,.,.,.,.,,Euphorbia hyberna L. [sub],.,+,,,Picris hieracioides L.,+,+,+,.,.,.,.,.,.
,Silene uniflora Roth,.,.,.,.,.,1,.,,,,Daboecia cantabrica (Huds.) K. Koch,.,.,.,.,.,.,.,+,.,.,.,.,.,+,+,.,.,.,.,,Dryopteris filix-mas (L.) Schott,.,r,,,Viburnum tinus L.,.,.,.,.,.,+,2,2,1
,Halimione portulacoides (L.) Aellen,+,.,.,.,.,.,.,,,,Calluna vulgaris (L.) Hull,.,.,.,.,.,.,.,+,.,.,.,.,.,+,.,.,.,.,.,,,,,,,Arbutus unedo L.,.,.,.,.,.,2,.,2,1
,Leucanthemum vulgare Lam. subsp. crassifolium (Lange) Rouy [sub],.,.,.,+,.,.,.,,,,¿ Ulex minor Roth [sub],.,.,.,.,.,.,.,.,.,.,.,.,r,.,2,.,.,.,.,,,,,,,Phillyrea latifolia L. [sub],.,.,.,.,.,+,+,.,(+)
,Crithmum maritimum L.,.,.,.,.,.,+,.,,,,Rosa canina L.,.,.,.,.,.,.,.,.,+,.,.,.,.,+,.,.,.,.,.,,,,,,,Rubia peregrina L.,.,.,.,.,.,(+),r,(+),.
,Armeria pubigera (Desf.) Boiss.,.,.,.,.,.,.,+,,,,Hieracium gr. umbellatum L. [sub],.,.,.,+,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,Laurus nobilis L.,.,.,.,.,.,(+),.,+,.
,Beta maritima L.,.,.,.,.,.,.,+,,,,Pinus pinaster Aiton,.,.,.,+,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,,,,,,,Ruscus aculeatus L.,2,2,2,.,r,2,2,2,2
,Pteridium aquilinum (L.) Kuhn in Kerst.,1,1,+,1,1,1,.,,,,Euphorbia hyberna L.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,Hedera canariensis Willd. [sub],2,.,2,2,2,2,2,2,.
,Rubus sp.,.,1,1,1,+,.,1,,,,Primula acaulis (L.) L. [sub],r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,Agrostis castellana Boiss. & Reut.,2,2,2,.,2,.,(+),2,2
,Dactylis glomerata L.,.,+,1,1,+,+,+,,,,Euphorbia dulcis L.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,Digitalis purpurea L.,.,.,+,(+),+,+,+,+,+
,Asplenium onopteris L.,+,+,1,.,.,+,.,,,,Polystichum setiferum (Forssk.) Woyn.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,Rubus sp.,.,2,.,2,2,.,2,2,2
,Anarrhinum bellidifolium (L.) Willd.,.,.,.,1,+,+,.,,,,Corylus avellana L.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,Daphne gnidium L.,+,.,+,.,+,.,+,.,+
,Asplenium adiantum-nigrum L.,.,.,.,+,1,1,.,,,,Fragaria vesca L.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,Asplenium onopteris L. [sub],.,2,2,.,(+),2,2,2,.
,Angelica sylvestris L.,.,.,.,.,+,.,1,,,,Omphalodes nitida (Willd.) Hoffmanns & Link,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,Pinus pinaster Aiton,1,.,r,.,+,.,r,r,1
,Calystegia sepium (L.) R. Br.,.,.,.,.,1,.,+,,,,Dryopteris affinis (Lowe) Fraser-Jenk.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,+,2,+,.,.,(+),(+),(+),.
,Helichrysum foetidum (L.) Cass.,.,.,.,+,.,.,+,,,,Crepis lampsanoides (Gouan) Tausch,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,,,,,,,Ulex minor Roth,+,+,+,.,2,.,(+),.,.
,Silene latifolia Poir.,.,.,.,+,+,.,.,,,,¿ Rosa deseglisei Boreau [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,,,,,,,Polypodium cambricum L. subsp. cambricum [sub],.,+,(+),.,.,+,(+),+,.
,Picris hieracioides L.,.,.,.,+,.,.,+,,,,Picris hieracioides L.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,Cytisus grandiflorus (Brot.) DC. [sub],.,+,2,1,.,.,+,.,.
,Geranium robertianum L.,.,.,.,.,.,+,+,,,,Eupatorium cannabinum L.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,Tamus communis L.,+,1,+,.,.,+,.,.,.
,Rhamnus alaternus L.,1,.,.,.,.,.,.,,,,Robinia pseudoacacia L.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,Simethis mattiazzii (Vand.) G. López & Ch.E. Jarvis [sub],+,.,.,+,2,r,.,.,.
p,Prunus spinosa L.,.,+,.,.,.,.,.,,,,¿ Carex pilulifera L. [sub],.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,Jasione montana L.,.,+,+,.,+,.,.,.,+
,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,.,.,+,.,.,.,.,,,,Cytisus striatus (Hill) Rothm.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,Rumex papillaris Boiss. & Reut.,+,1,+,.,.,.,(+),.,.
,Pyrus cordata Desv.,.,.,.,+,.,.,.,,,,Prunella vulgaris L.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,Andryala integrifolia L.,.,+,(+),.,+,.,.,.,+
,Erica arborea L.,.,.,.,+,.,.,.,,,,Dactylis glomerata L.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,Frangula alnus Mill.,+,.,.,1,.,.,+,.,.
,Cytisus scoparius (L.) Link,.,.,.,+,.,.,.,,,,Agrostis capillaris L.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,Calluna vulgaris (L.) Hull,.,.,+,.,+,.,.,.,2
,Canna indica L.,.,.,.,.,1,.,.,,,,Genista florida L. [sub],.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,,,,,,,Crataegus monogyna Jacq.,.,.,+,.,.,.,2,.,+
,Linaria triornithophora (L.) Willd.,.,.,.,.,1,.,.,,,,Agrostis curtisii Kerguélen,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,,,,,,,Hypochaeris radicata L.,.,+,2,.,.,+,.,.,.
,Circaea lutetiana L.,.,.,.,.,1,.,.,,,,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,,,,,,,Potentilla erecta (L.) Raeusch.,+,.,.,1,+,.,.,.,.
,Danthonia decumbens (L.) DC. in Lam. & DC.,.,.,.,.,1,.,.,,,,Ulex europaeus L.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,,,,,,,Polystichum setiferum (Forssk.) Woyn.,.,+,.,.,.,.,+,+,.
,Digitalis purpurea L.,.,.,.,.,1,.,.,,,,Erica scoparia L.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,,,,,,,Lithodora diffusa (Lag.) I. M. Johnston [sub],.,.,.,r,+,.,.,.,+
