,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,,,,1,2,3,4,5,6,7,8,,,,1,2,3,,,,1,,,,1,2,3,4,,,,1,2,3,4,5,6,7,8,9,10
,Epipactis tremolsii Pau,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Sorbus aucuparia L.,.,.,+,.,,,Rumex acetosa L.,.,.,r,.,+,.,.,.,.,.
,Euphorbia angulata Jacq.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Tamus communis L.,.,.,r,.,,,Sedum amplexicaule DC. [sub],.,.,.,r,.,r,.,.,.,.
,Lathyrus niger (L.) Bernh.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Tanacetum corymbosum (L.) Sch. Bip.,.,.,.,+,,,Tamus communis L.,.,.,.,r,.,.,+,.,.,.
,Sorbus torminalis (L.) Crantz,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Thalictrum minus L.,.,2,.,.,,,Trisetum flavescens (L.) P. Beauv.,.,.,+,+,.,.,.,.,.,.
,Galium rotundifolium L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Trifolium pratense L.,.,.,+,.,,,Vicia tenuifolia Roth,2,+,.,.,.,.,.,.,.,.
,Lathyrus linifolius (Reichard) Bässler,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Trisetum flavescens (L.) P. Beauv.,.,.,+,.,,,Galium aparine L.,+,.,.,.,.,.,.,.,.,.
,Pulmonaria longifolia (Bast.) Boreau,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Valerianella locusta (L.) Laterr. subsp. locusta [sub],.,.,+,.,,,Senecio lividus L.,+,.,.,.,.,.,.,.,.,.
,Achillea millefolium L. subsp. millefolium,+,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Vicia sativa L.,.,.,+,.,,,Melica uniflora Retz.,.,2,.,.,.,.,.,.,.,.
,Vicia angustifolia L.,+,+,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Vicia sepium L.,.,1,.,.,,,Leucanthemum vulgare Lam.,.,r,.,.,.,.,.,.,.,.
,Myosotis arvensis (L.) Hill subsp. arvensis,.,.,+,.,.,.,+,.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Vincetoxicum nigrum (L.) Moench,.,.,.,r,,,¿ Hieracium smidtii [sub],.,r,.,.,.,.,.,.,.,.
,Orobanche rapum-genistae Thuill.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,+,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thalictrum minus L.,.,2,.,.,.,.,.,.,.,.
,Heracleum sphondylium L. subsp. granatense (Boiss.) Briq.,.,.,+,.,.,.,.,+,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epilobium lanceolatum Sebast. & Mauri,.,+,.,.,.,.,.,.,.,.
,Trifolium pratense L. subsp. pratense,.,.,+,.,.,.,.,+,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silene vulgaris (Moench) Garcke,.,r,.,.,.,.,.,.,.,.
,Pentaglottis sempervirens (L.) L. H. Bailey,.,.,.,+,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sonchus asper (L.) Hill,.,.,.,+,.,.,.,.,.,.
,Rosa corymbifera Borkh.,.,.,.,.,+,.,.,+,.,.,.,.,.,.,.,.,.,.,.,+,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sorbus aucuparia L.,.,.,.,+,.,.,.,.,.,.
,Vicia sativa L. subsp. sativa,.,.,.,.,+,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aristolochia paucinervis Pomel [sub],.,.,.,+,.,.,.,.,.,.
,Phalacrocarpum oppositifolium (Brot.) Willk. subsp. oppositifolium,.,.,.,.,.,+,.,.,.,.,.,.,.,+,.,.,.,1,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valerianella locusta (L.) Laterr. subsp. locusta [sub],.,.,.,r,.,.,.,.,.,.
,Moehringia pentandra J. Gay,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,+,+,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¿ Hieracium mixtum Froel. [sub],.,.,.,+,.,.,.,.,.,.
,Pteridium aquilinum (L.) Kuhn in Kerst. [sub],.,.,.,.,.,.,.,1,.,.,.,.,.,.,3,.,.,.,.,.,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cistus psilosepalus Sweet,.,.,.,r,.,.,.,.,.,.
,Asphodelus macrocarpus Parl. [sub],.,.,.,.,.,.,.,+,.,.,.,.,.,.,+,.,.,.,.,.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trifolium pratense L.,.,.,.,+,.,.,.,.,.,.
,Narcissus triandrus L. subsp. triandrus,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cerastium fontanum Baumg. subsp. triviale (Link) Jalas,.,.,.,.,.,+,.,.,.,.
,Quercus rotundifolia Lam.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,+,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vicia hirsuta (L.) Gray,.,.,.,.,.,+,.,.,.,.
,Lathyrus pratensis L.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Festuca gr. rubra L. [sub],.,.,.,.,.,.,.,+,.,.
,Veronica chamaedrys L. subsp. chamaedrys,+,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odontites verna (Bellardi) Dumort. [sub],.,.,.,.,.,.,.,+,.,.
,Fragaria vesca L. subsp. vesca,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Campanula glomerata L.,.,.,.,.,.,.,.,.,2,.
,Agrostis capillaris L.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luzula lactea (Link) E.Mey.,.,.,.,.,.,.,.,.,+,.
,Vicia hirsuta (L.) Gray,.,+,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanguisorba verrucosa (Link ex G. Don) Ces. [sub],.,.,.,.,.,.,.,.,+,.
,Lotus corniculatus L. subsp. carpetanus (Lacaita) Rivas Mart.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inula salicina L.,.,.,.,.,.,.,.,.,+,.
,Galium pumilum Murray subsp. papillosum (Lapeyr.) O. Bolòs [sub],.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vincetoxicum nigrum (L.) Moench,.,.,.,.,.,.,.,.,r,.
,Rubus praecox Bertol.,.,.,+,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens,.,.,.,.,.,.,.,.,.,+
,Silene vulgaris (Moench) Garcke [sub],.,.,+,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frangula alnus Mill.,.,.,.,.,.,.,.,.,.,r
,Peucedanum gallicum Latourr.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lamium maculatum L.,.,.,.,.,.,.,.,.,.,r
,Galium papillosum subsp. papillosum var. hirsu,.,.,.,+,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fraxinus gr. angustifolia Vahl [sub],.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eryngium tenue Lam.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galium gr. mollugo L. [sub],.,.,.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Draba muralis L.,.,.,.,.,.,.,+,.,.,.,.,+,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cystopteris fragilis (L.) Bernh. in Schrad. [sub],.,.,.,.,.,.,+,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arabis stenocarpa Boiss. & Reut.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Luzula lactea (Link) E.Mey.,.,.,.,.,.,.,.,+,.,.,.,.,+,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cruciata laevipes Opiz,.,.,.,.,.,.,.,+,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Silene latifolia Poir.,.,.,.,.,.,.,.,+,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lotus pedunculatus Cav.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasione sessiliflora Boiss. & Reut. [sub],.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,+,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galium parisiense L. subsp. parisiense,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dactylis glomerata L. subsp. glomerata,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aristolochia paucinervis Pomel,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geranium robertianum L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,+,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Festuca iberica (Hack.) K.Richt.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lavandula pedunculata Cav. [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,1,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geranium purpureum Vill.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,+,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ligusticum lucidum Mill. subsp. lucidum,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,+,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anarrhinum bellidifolium (L.) Willd.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galium aparine L. subsp. spurium (L.) Hartm.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Myosotis decumbens Host subsp. teresiana (Sennen) Grau,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Festuca rothmaleri (Litard.) Markgr.-Dann.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ranunculus bulbosus L. subsp. bulbosus,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geranium pyrenaicum Burm. fil. [sub],+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vicia disperma DC.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Conopodium subcarneum (Boiss. & Reut.) Boiss. & Reut. in Boiss.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avenula pubescens (Huds.) Dumort. subsp. pubescens,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hypericum perforatum L. subsp. perforatum,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geum hispidum Fr.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malva sylvestris L.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galium pumilum Murray subsp. papillosum (Lapeyr.) O. Bolòs [sub],.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Helictochloa marginata (Lowe) Romero Zarco [sub],.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Viola canina L.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Poa trivialis L.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Poa trivialis L. subsp. trivialis,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus unedo L.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galium estebanii Sennen,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alliaria petiolata (M. Bieb.) Cavara & Grande,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Laserpitium eliasii Sennen & Pau,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geranium lucidum L.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stellaria alsine Grimm.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cornus sanguinea L. subsp. sanguinea,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Silene dioica (L.) Clairv.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Valerianella locusta (L.) Laterr. subsp. lusitanica (Pau ex Font Quer) M. Laínz,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Torilis arvensis (Huds.) Link subsp. purpurea (Ten.) Hayek,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Laserpitium eliasii Sennen & Pau subsp. thalictrifolium (Samp.) P. Monts.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bromus diandrus Roth,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vicia tenuifolia Roth,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agrostis Xcapillaris_X_A._castellana [sub],.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rosa coriifolia Fr.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geum sylvaticum Pourr.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carex divulsa Stokes in With. subsp. leersii (Kneuck.) W. Koch,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cerastium brachypetalum N.H.F. Desp. ex Pers. [sub],.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anthriscus caucalis M. Bieb.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cynosurus effusus Schrad. [sub],.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Veronica hederifolia L.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prunus spinosa L.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geum urbanum L.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bryonia dioica Jacq.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaccinium myrtillus L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frangula alnus Mill.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Briza media L. [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rubus castellarnaui Pau,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galium aparine subsp. aparine var. aparine,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Polypodium vulgare L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asterolinon linum-stellatum (L.) Duby in A. DC.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asplenium trichomanes L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Erysimum linifolium (Pourr. ex Pers.) J. Gay,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Senecio lividus L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Centranthus calcitrapae (L.) Dufr.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asplenium onopteris L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Veronica arvensis L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asplenium trichomanes L. subsp. trichomanes,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Misopates orontium (L.) Raf.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Daphne gnidium L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Halimium umbellatum (L.) Spach,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genista hystrix Lange,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Origanum vulgare L. subsp. virens (Hoffmanns. & Link) Ietsw.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cota triumfetti (L.) J.Gay [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iris latifolia (Mill.) Voss [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
