,,1,2,3,4,5,6,7,8,9,10,11,,,1,2,3,4,5,6,7,8,9
,Rubia peregrina L.,+,3,1,1,3,3,+,1,1,2,1,,Sambucus nigra L. subsp. nigra,.,.,.,.,.,.,.,.,+
,Daphne gnidium L.,.,1,+,1,+,+,+,1,+,+,1,,Silene latifolia Poir.,.,.,.,.,.,+,.,.,.
,Osyris alba L.,.,1,1,4,+,+,+,.,1,.,1,,Rubus ulmifolius Schott,2,.,.,+,3,2,+,2,2
,Quercus rotundifolia Lam.,+,.,2,.,.,+,+,.,2,2,2,,Erica arborea L. [sub],1,1,+,+,.,+,.,.,1
,Erica arborea L.,+,1,1,+,.,.,1,+,.,+,.,,Cistus salviifolius L.,+,.,+,+,.,2,+,.,.
,Asplenium onopteris L.,2,1,2,.,2,.,+,.,.,+,.,,Geranium purpureum Vill.,+,.,1,+,1,+,.,.,.
,Phillyrea angustifolia L.,.,.,.,1,1,.,2,.,+,.,2,,Rhus coriaria L.,.,.,.,2,+,.,3,3,.
,Pistacia terebinthus L.,2,1,1,.,.,.,+,.,2,.,.,,Cytisus grandiflorus (Brot.) DC. subsp. grandiflorus,.,.,.,2,.,2,1,+,.
,Asparagus acutifolius L.,.,.,.,2,+,1,.,.,1,.,.,,Melica ciliata L. subsp. magnolii (Gren. & Godr.) Husnot,.,1,.,+,.,2,.,.,.
,Ruscus aculeatus L.,.,3,3,.,.,.,.,.,.,+,+,,Cytisus striatus (Hill) Rothm. [sub],+,.,.,.,.,.,1,+,.
,Asparagus aphyllus L.,.,.,.,1,.,.,+,.,.,.,.,,Pteridium aquilinum (L.) Kuhn in Kerst.,+,.,.,.,+,.,1,.,.
,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],+,.,.,+,.,.,.,.,.,.,.,,Sanguisorba verrucosa (Link ex G. Don) Ces.,+,+,.,.,.,+,.,.,.
,Rubus ulmifolius Schott,.,.,2,+,3,+,2,2,2,+,.,,Thapsia villosa L.,+,.,.,.,+,+,.,.,.
,Geranium purpureum Vill.,1,.,+,+,1,.,.,+,.,.,+,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman,.,.,.,1,.,.,+,.,.
,Cistus salviifolius L.,+,.,+,+,.,+,.,2,.,.,.,,Lavandula pedunculata Cav. [sub],.,.,.,+,.,1,.,.,.
