,,1,2,3,4,5,6,,,,1,2,3,,,,1,2,3,4,5,,,,1,2,3,4,5,6,7,8,9,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,,,,88,89,90,91,92,93
,Erica scoparia L.,3,3,2,2,4,3,,,Pinus pinaster Aiton,4,3,3,,,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira [sub],2,2,1,1,2,,,Pterospartum tridentatum (L.) Willk. in Willk. & Lange [sub],.,1,1,+,1,1,1,2,.,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],.,.,.,+,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,+,.,,,Aristolochia baetica L.,.,.,.,.,.,.
,Cistus salviifolius L. [sub],+,+,+,+,.,+,,,Calluna vulgaris (L.) Hull,1,1,+,,,Cistus salviifolius L.,2,2,2,2,3,,,Genista triacanthos Brot.,.,1,2,1,1,.,+,+,1,,,Quercus coccifera L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,2,.,2,.,.,.,.,.,.,.,.,,,Pistacia terebinthus L.,.,.,.,.,.,.
,Ulex australis Clemente subsp. welwitschianus (Planch.) Espírito Santo & al. [sub],1,2,+,.,2,+,,,Lithodora prostrata (Loisel.) Griseb. subsp. prostrata,1,1,+,,,Jasione montana L.,+,1,1,1,1,,,Simethis mattiazzii (Vand.) G. López & Ch.E. Jarvis,.,1,.,+,+,+,1,+,.,,,Osyris alba L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,1,,,Coronilla juncea L.,.,.,.,.,.,.
,Celtica gigantea (Link) J.M. Vázquez & Barkworth [sub],1,.,1,.,.,.,,,Cistus salviifolius L.,+,+,1,,,Calluna vulgaris (L.) Hull,2,1,.,2,2,,,Lithodora prostrata (Loisel.) Griseb.,+,.,1,+,+,+,+,.,.,,,Carex oedipostyla Duval-Jouve,.,.,.,.,.,.,.,.,+,.,+,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,Biarum arundanum Boiss. & Reut.,.,.,.,.,.,.
,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],+,.,.,.,.,.,,,Stachys officinalis (L.) Trevis. [sub],1,+,.,,,Holcus mollis L.,1,1,.,1,1,,,Agrostis curtisii Kerguélen,.,1,.,1,.,.,1,2,2,,,Carex distachya Desf.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,1,.,.,.,.,,,Melica minuta L. [sub],.,.,.,.,+,+
,Sanguisorba verrucosa (Link ex G. Don) Ces. [sub],+,.,.,.,.,.,,,Asphodelus aestivus Brot.,1,.,+,,,Crucianella angustifolia L.,1,1,1,.,1,,,Thymus villosus L.,+,.,1,+,2,.,.,.,+,,,Erica arborea L.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,,,Bupleurum rigidum L. subsp. paniculatum (Brot.) H. Wolff in Engl. [sub],.,.,.,.,.,.
,Dittrichia viscosa (L.) Greuter,+,.,.,.,.,.,,,Quercus suber L.,.,1,+,,,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens [sub],1,1,.,1,1,,,Urginea fugax (Moris) Steinh. [sub],+,.,+,.,.,.,.,+,+,,,Rhaponticoides africana (Lam.) M.V.Agab. & Greuter [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,1,.,,,Euphorbia transtagana Boiss.,.,+,1,1,.,1
,Pteridium aquilinum (L.) Kuhn in Kerst.,.,1,.,.,.,1,,,Urginea fugax (Moris) Steinh. [sub],+,+,.,,,Thapsia villosa L.,1,1,.,2,1,,,Pteridium aquilinum (L.) Kuhn in Kerst.,1,2,.,.,.,3,.,.,.,,,Danthonia decumbens (L.) DC. in Lam. & DC.,.,.,.,.,.,.,.,.,.,.,1,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,Rhaponticoides fraylensis (Sch. Bip. ex Nyman) M.V. Agab. & Greuter [sub],.,.,.,.,.,.
,Rosmarinus officinalis L.,.,.,.,.,+,.,,,Tuberaria lignosa (Sweet) Samp. [sub],+,.,+,,,Micropyrum tenellum (L.) Link,1,2,2,.,.,,,Pseudarrhenatherum longifolium (Thore) Rouy,.,.,.,.,.,+,.,1,+,,,Serratula alcalae Coss.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,+,,,Rhaponticoides africana (Lam.) M.V.Agab. & Greuter [sub],.,.,.,1,+,.
,Rubus ulmifolius Schott,.,.,.,.,.,+,,,Halimium ocymoides (Lam.) Willk. in Willk. & Lange,.,+,+,,,Holcus annuus C.A. Mey,+,1,1,.,.,,,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira [sub],.,.,1,.,.,+,.,+,.,,,Selaginella denticulata (L.) Spring,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,Centaurea crocata Franco,.,.,.,.,.,.
