,,1,2,3,4,,,,1,2,3,4,5
,Ulex minor Roth,.,+,.,+,,,Veronica officinalis L.,.,+,.,.,.
,Orobanche rapum-genistae Thuill.,+,.,.,.,,,Hypericum pulchrum L.,.,+,.,.,.
,Lithodora diffusa (Lag.) I. M. Johnston [sub],.,.,.,+,,,Blechnum spicant (L.) Roth,.,.,.,2,.
,Simethis mattiazzii (Vand.) G. López & Ch.E. Jarvis [sub],.,.,.,r,,,Prunus avium L.,.,.,.,2,.
,Erica cinerea L.,.,.,.,r,,,Allium victorialis L.,3,.,.,.,.
,Festuca sp.,3,.,.,.,,,Viburnum opulus L.,r,.,.,.,.
m,Brachythecium rivulare,3,.,.,.,,,Sedum forsterianum Sm. in Sowerby [sub],3,.,.,.,.
,Linaria triornithophora (L.) Willd.,(+),.,.,.,,,Ranunculus platanifolius L.,3,.,.,.,.
,Cirsium palustre (L.) Scop.,(+),.,.,.,,,Luzula sylvatica (Huds.) Gaudin subsp. henriquesii (Degen) P.Silva,3,.,.,.,.
,Vicia angustifolia L.,+,.,.,.,,,Jasione montana L.,+,.,.,.,.
,Brachypodium pinnatum (L.) P. Beauv.,2,.,.,.,,,Hypericum undulatum Schousb. ex Willd.,3,.,.,.,.
,Dactylis glomerata L. subsp. glomerata,2,.,.,.,,,Digitalis purpurea L.,+,.,.,.,.
,Hieracium sp.,+,.,.,.,,,Centaurea nigra L.,.,r,.,.,.
,¿ Hieracium praecox subsp. bounophyllum [sub],+,.,.,.,,,Amelanchier ovalis Medik.,.,.,.,+,.
,Digitalis purpurea L.,.,4,.,.,,,Salix atrocinerea Brot.,.,.,.,2,.
,Pseudoscleropodium purum,.,+,.,.,,,Dryopteris affinis (Lowe) Fraser-Jenk.,.,.,.,+,.
,Danthonia decumbens (L.) DC. in Lam. & DC. subsp. decumbens [sub],.,.,+,.,,,Calluna vulgaris (L.) Hull,.,.,.,r,.
,Polygala serpyllifolia Hose,.,.,+,.,,,Cruciata glabra (L.) Ehrend.,.,.,.,.,2
,Agrostis castellana Boiss. & Reut.,.,.,+,.,,,Rumex acetosa L.,.,.,.,.,+
,Lotus corniculatus L.,.,.,+,.,,,,,,,,
,Festuca elegans Boiss.,.,.,.,(+),,,,,,,,
,Luzula lactea (Link) E.Mey.,.,.,.,r,,,,,,,,
,¿ Pilosella officinarum F.W.Schultz & Sch. Bip. [sub],.,.,.,+,,,,,,,,
,Hieracium sp.,.,.,.,+,,,,,,,,
