,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,,,1
,Cytisus arboreus (Desf.) DC. [sub],+,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,
,Erica scoparia L. subsp. scoparia,.,.,.,.,.,2,.,.,.,.,.,2,.,.,.,.,.,.,.,,,,,
,Rosmarinus officinalis L.,.,.,.,.,.,3,.,.,.,.,.,2,.,.,.,.,.,.,.,,,,,
,Urginea fugax (Moris) Steinh. [sub],.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,+,.,,,,,
,Andryala integrifolia L.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,,,,,
,Asphodelus aestivus Brot.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,
,Cistus X_hybridus,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,,,
,Jasione montana L.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,,,,,
,Genista triacanthos Brot.,.,.,1,+,.,.,1,.,1,.,.,.,3,.,2,.,(+),.,+,,,,,
,Calluna vulgaris (L.) Hull,.,.,.,(+),.,.,.,.,.,.,.,.,.,.,1,.,2,.,3,,,,,
,Erica australis L.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,1,,,,,
,Erica umbellata Loefl. ex L.,.,.,.,.,.,.,.,.,.,.,.,.,.,(+),.,.,.,.,.,,,,,
,Halimium ocymoides (Lam.) Willk. in Willk. & Lange,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,,,,,
,Briza maxima L.,.,+,.,.,+,.,.,1,+,.,1,+,+,.,.,.,.,.,.,,,,,
,Coronilla repanda (Poir.) Guss. subsp. dura (Cav.) Cout.,.,+,.,.,.,.,+,+,+,.,.,.,.,.,.,.,.,+,.,,,,,
,Logfia gallica (L.) Coss. & Germ.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,.,,,,,
,Asterolinon linum-stellatum (L.) Duby in A. DC.,.,.,.,.,.,.,+,+,.,.,.,.,.,.,.,+,+,.,.,,,,,
,Leontodon taraxacoides (Vill.) Mérat subsp. hispidus (Roth) Kerguélen [sub],.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,+,.,,,,,
,Campanula lusitanica L. in Loefl. subsp. lusitanica,.,.,.,.,.,.,+,+,.,.,.,.,+,.,.,.,.,.,.,,,,,
,Tolpis umbellata Bertol. [sub],.,.,.,.,.,.,.,+,.,.,+,.,+,.,.,.,.,.,.,,,,,
,Pimpinella villosa Schousb.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,
,Tuberaria guttata (L.) Fourr.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,.,1,.,,,,,
,Vulpia myuros (L.) C.C. Gmel. subsp. sciuroides (Roth) Rouy [sub],+,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,,,
,Linum bienne Mill.,.,.,.,.,+,.,.,.,.,.,1,.,.,.,.,.,.,.,.,,,,,
,Lupinus angustifolius L.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,
,Lotus castellanus Boiss. & Reut. [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,,,,,
,Cynosurus echinatus L.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,
,Vicia disperma DC.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,
,Ornithopus compressus L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,,,
,Aira cupaniana Guss.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,,,,,
,Gaudinia fragilis (L.) P. Beauv.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,,,
,Erodium cicutarium (L.) L'Her. in Aiton subsp. bipinnatum (Desf.) Tourlet,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,
,Vulpia ciliata Dumort. subsp. ciliata,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,,,
,Centaurea melitensis L.,.,.,.,.,1,1,.,.,.,.,+,+,.,.,.,.,.,+,.,,,,,
,Galium parisiense L.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,+,.,,,,,
,Trifolium angustifolium L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,,,,,
,Euphorbia exigua L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,,,,,
,Centranthus calcitrapae (L.) Dufr. subsp. calcitrapae,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,,,
,Scorpiurus vermiculatus L.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,
,Plantago lagopus L.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,,,,,
,Allium paniculatum L. subsp. paniculatum,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,,,,,
,Gladiolus italicus Mill.,+,+,(+),+,+,.,.,.,.,.,.,+,.,.,.,.,+,.,.,,,,,
,Anagallis arvensis L.,.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,+,.,,,,,
,Coleostephus myconis (L.) Rchb. fil.,.,.,.,.,.,.,.,+,+,.,+,.,.,.,.,.,.,.,.,,,,,
,Cerastium glomeratum Thuill.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,+,.,.,.,,,,,
,Cardamine hirsuta L.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,2,.,.,.,,,,,
,Aphanes microcarpa (Boiss. & Reut.) Rothm.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,,,,,
,Briza minor L.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,,,,,
,Sherardia arvensis L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,,,
,Carduus tenuiflorus Curtis,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,
,Sonchus asper (L.) Hill subsp. glaucescens (Jord.) Ball,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,
,Scilla monophyllos Link,.,.,+,+,.,.,+,1,.,.,2,+,+,1,.,2,.,1,1,,,,,
,Pinus pinea L.,+,2,3,3,.,.,.,.,.,.,.,.,1,+,.,.,(+),.,.,,,,,
,Dactylis glomerata L. subsp. hispanica (Roth) Nyman,.,+,2,(+),2,.,.,.,.,.,2,.,+,.,.,+,.,.,.,,,,,
,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens,.,.,1,.,+,.,.,.,.,.,1,1,+,.,.,.,+,.,.,,,,,
,Anemone palmata L.,.,.,.,(+),2,+,.,.,.,.,.,1,.,.,.,.,.,.,+,,,,,
,Conopodium marianum Lange [sub],.,.,.,(+),.,+,.,.,.,.,.,1,.,+,.,.,.,.,.,,,,,
,Picris echioides L.,.,1,.,.,.,.,.,.,.,.,.,+,.,+,.,.,.,.,.,,,,,
,Hypericum perforatum L.,.,.,.,.,.,.,.,+,+,.,+,.,.,.,.,.,.,.,.,,,,,
,Sanguisorba verrucosa (Link ex G. Don) Ces. [sub],.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,+,.,,,,,
,Carlina corymbosa L.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,,,,,
,Tamus communis L.,.,.,+,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,
,Limodorum abortivum (L.) Sw.,.,.,2,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,
,Fritillaria lusitanica Wikstr.,.,.,.,(+),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,
,Pinus pinaster Aiton,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,4,,,,,
,Anarrhinum bellidifolium (L.) Willd.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,,,,,
,Anthoxanthum ovatum Lag. aristatum (Boiss.) Litard. 020851 [sub],.,.,.,.,+,.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,,,
,"Ranunculus paludosus Poir. subsp. gregarius (Brot.) Z. Díaz, comb. nova [sub]",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,,,,,
,Asphodelus sp.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,+,,,,,
,Sonchus bulbosus (L.) N.Kilian & Greuter [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,,,,,
,Dorycnopsis gerardi (L.) Boiss. [sub],.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,
,Aristolochia pistolochia L.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,
