,,1,2,3,4,,,,1,2,3,4,5,6,7,8,9,10,11,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,,,1,2,3,4,5,6,7,8,9,10,11,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,1,2,3,4,5,,,,1,2,3,4,5,6,7,8,9,10,11,12
,Poa bulbosa L.,+,.,.,.,,,Margotia gummifera (Desf.) Lange in Willk. & Lange [sub],.,+,.,.,.,.,.,.,.,.,.,,,Moehringia pentandra J. Gay,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,,,Anthoxanthum odoratum L.,.,+,.,.,.,.,.,.,.,.,.,,,Laserpitium nestleri Soy.-Will.,.,.,.,+,.,.,.,.,.,.,.,.,r,.,.,.,.,.,2,.,,,Cistus psilosepalus Sweet,.,.,2,.,.,,,Cephalanthera longifolia (L.) Fritsch,1,.,2,.,.,.,.,.,.,.,.,.
,Rumex bucephalophurus,+,.,.,.,,,Pimpinella villosa Schousb.,.,+,.,.,.,.,.,.,.,.,.,,,Polypodium vulgare L.,+,+,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,Arisarum vulgare Targ.-Tozz.,.,.,.,.,.,+,.,.,.,.,.,,,Genista falcata Brot.,.,.,.,.,r,+,.,.,.,.,.,2,.,.,.,.,.,.,.,.,,,"Xolantha globulariifolia (Lam.) Gallego, Muñoz Garm. & C. Navarro [sub]",.,.,1,.,.,,,Orchis sp.,+,.,+,.,.,.,.,.,.,.,.,.
,Ornithogalum concinum,+,.,.,.,,,Erica scoparia L.,.,.,+,.,.,.,.,.,.,.,.,,,Sedum amplexicaule DC. subsp. amplexicaule,+,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,,,Aristolochia paucinervis Pomel [sub],.,.,.,.,.,.,+,.,.,.,.,,,Galium mollugo L.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,+,1,.,.,,,Lavandula pedunculata Cav. [sub],.,.,+,.,.,,,Thapsia villosa L.,+,.,.,.,.,.,.,.,r,.,.,.
,Geranium molle L.,+,.,.,.,,,Silene latifolia Poir. [sub],.,.,+,.,.,.,.,.,.,.,.,,,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,.,+,+,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,Brachypodium pinnatum (L.) P. Beauv.,.,.,.,.,2,.,.,.,.,.,.,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,+,+,.,.,,,Erica umbellata Loefl. ex L.,.,.,1,.,.,,,Carex muricata L. subsp. pairaei (F. Schultz) Asch. & Graebn. [sub],.,.,.,.,+,.,+,.,.,.,.,.
,Silene scabriflora Brot.,+,.,.,.,,,Ruta montana (L.) L.,.,.,+,.,.,.,.,.,.,.,.,,,Leontodon taraxacoides (Vill.) Mérat subsp. hispidus (Roth) Kerguélen [sub],.,.,+,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,,,Brachypodium sylvaticum (Huds.) P. Beauv.,.,1,.,.,.,.,.,.,.,.,.,,,Asplenium ceterach L. [sub],.,.,.,.,.,.,.,.,.,.,.,r,+,2,.,.,.,.,.,.,,,Adenocarpus complicatus (L.) J. Gay in Durieu,.,.,+,.,.,,,Trifolium arvense L.,.,.,.,.,.,r,r,.,.,.,.,.
,Anthyllis vulneraria L. subsp. gandogeri (Sagorski) W. Becker ex Maire [sub],.,.,1,.,,,Cistus populifolius L.,.,.,.,+,.,.,.,.,.,.,.,,,Campanula rapunculus L.,.,.,.,+,.,.,.,.,.,.,.,.,+,+,.,.,.,.,,,Briza maxima L.,.,.,.,.,.,.,.,.,.,.,2,,,Acacia dealbata Link,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,Thymus mastichina L.,.,.,+,.,.,,,Asterolinon linum-stellatum (L.) Duby in A. DC.,.,.,.,.,.,+,.,2,.,.,.,.
,Lupinus angustifolius L.,.,.,+,.,,,Erica umbellata Loefl. ex L.,.,.,.,+,.,.,.,.,.,.,.,,,Asterolinon linum-stellatum (L.) Duby in A. DC.,.,.,.,.,+,.,.,+,.,.,.,.,.,+,.,.,.,.,,,Calamintha nepeta (L.) Savi subsp. nepeta [sub],.,r,.,.,.,.,.,.,.,.,.,,,Andryala integrifolia L.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,Umbilicus heylandianus Webb & Berth.,.,.,.,1,.,,,Stellaria media (L.) Vill.,.,.,.,.,.,r,.,2,.,.,.,.
,Bituminaria bituminosa (L.) C.H. Stirt. [sub],.,.,1,.,,,Castanea sativa Mill.,.,.,.,.,+,.,.,.,.,.,.,,,Cardamine hirsuta L.,.,.,.,.,+,.,.,.,.,+,.,+,.,.,.,.,.,.,,p,Castanea sativa Mill.,.,.,.,.,.,.,.,.,.,.,+,,,Anogramma leptophylla (L.) Link,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,Senecio lividus L.,.,.,.,+,.,,,Sanguisorba verrucosa (Link ex G. Don) Ces. [sub],.,.,.,.,.,r,.,+,.,.,.,.
,Tamus communis L.,.,.,.,+,,,Pteridium aquilinum (L.) Kuhn in Kerst.,.,.,.,.,+,.,.,.,.,.,.,,,Campanula lusitanica L. in Loefl. subsp. lusitanica,.,.,.,.,.,.,.,+,.,.,.,.,.,+,.,.,.,+,,,Pterospartum tridentatum (L.) Willk. in Willk. & Lange subsp. tridentatum [sub],.,.,.,.,.,.,.,.,.,.,3,,,Anthoxanthum odoratum L.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,Eryngium tenue Lam.,.,.,.,+,.,,,Hypericum linariifolium Vahl [sub],.,.,.,.,.,.,.,r,.,.,r,.
,Vicia lutea L.,.,.,.,+,,,Lithodora diffusa (Lag.) I. M. Johnston,.,.,.,.,.,.,.,+,.,.,.,,,Micropyrum tenellum (L.) Link,.,.,.,.,.,.,.,.,.,.,+,+,.,+,.,.,.,.,,,Conopodium sp.,.,.,.,.,.,.,+,.,.,.,.,,,Arisarum vulgare Targ.-Tozz.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,,,Lonicera periclymenum L.,.,.,.,1,.,,,Campanula rapunculus L.,.,.,.,.,.,.,.,.,+,.,r,.
,,,,,,,,Erythronium dens-canis L.,.,.,.,.,.,.,.,+,.,.,.,,,Quercus pyrenaica Willd.,.,.,.,.,.,.,.,.,.,.,+,+,.,+,.,.,.,.,,,Daboecia cantabrica (Huds.) K. Koch,.,+,.,.,.,.,.,.,.,.,.,,,Aristolochia paucinervis Pomel [sub],.,.,.,+,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,,,Prunus spinosa L.,.,.,.,+,.,,,Orchis anthropophora (L.) All. [sub],+,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,Agrostis castellana Boiss. & Reut.,.,.,.,.,.,.,.,.,1,.,.,,,Phalacrocarpum oppositifolium (Brot.) Willk. subsp. oppositifolium,.,.,.,.,.,.,.,.,.,.,+,.,.,+,+,.,.,.,,,Digitalis purpurea L.,.,.,+,.,.,.,.,.,.,.,.,,,Asperula cynanchica L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,,,Centranthus calcitrapae (L.) Dufr.,.,.,.,+,.,,,Agrostis castellana Boiss. & Reut.,.,.,.,.,.,.,.,.,.,.,+,.
,,,,,,,,Agrimonia eupatoria L.,.,.,.,.,.,.,.,.,.,.,+,,,Thymus zygis Loefl. ex L. subsp. zygis,.,.,.,.,.,.,.,.,.,.,.,+,+,.,+,.,.,.,,,Erica australis L. [sub],.,.,.,.,.,.,.,.,.,.,r,,,Asplenium trichomanes L. subsp. quadrivalens D.E. Mey.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,+,.,.,.,,,Genista florida L. [sub],.,.,.,+,.,,,Anarrhinum bellidifolium (L.) Willd.,.,.,.,.,.,.,.,.,.,+,.,.
,,,,,,,,Primula acaulis (L.) L. [sub],.,.,.,.,.,.,.,.,.,.,+,,,Tamus communis L.,1,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,,,Erica scoparia L.,.,.,.,.,.,.,.,.,.,2,.,,,Brachypodium sylvaticum (Huds.) P. Beauv.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,,,Carex humilis Leyss.,.,.,.,.,+,,,Aphanes microcarpa (Boiss. & Reut.) Rothm.,.,.,.,.,.,.,.,r,.,.,.,.
,,,,,,,,Euphorbia hyberna L.,.,.,.,.,.,.,.,.,.,.,+,,,Trifolium arvense L.,+,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,Euphorbia amygdaloides L.,+,.,.,.,.,.,.,.,.,.,.,,,Briza maxima L.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,,,Erica scoparia L.,.,.,.,.,2,,,Arabis stenocarpa Boiss. & Reut.,.,.,.,.,.,.,.,.,.,+,.,.
,,,,,,,,Cytisus striatus (Hill) Rothm.,.,.,.,.,.,.,.,.,.,.,+,,,Hypericum linariifolium Vahl,.,+,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,Genista hystrix Lange,.,.,.,.,.,.,.,+,.,.,.,,,Calamintha nepeta (L.) Savi subsp. nepeta [sub],.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,Geum sylvaticum Pourr.,.,.,.,.,2,,,Arisarum vulgare Targ.-Tozz.,.,.,.,.,1,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Vicia angustifolia L.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,Anogramma leptophylla (L.) Link,.,.,.,.,.,.,+,.,.,.,.,,p,Castanea sativa Mill.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,,,Festuca paniculata (L.) Schinz & Thell. subsp. durandoi (Clauson) Emb. & Maire [sub],.,.,.,.,+,,,Arum italicum Mill.,.,.,.,.,r,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Halimium lasianthum (Lam.) Spach subsp. alyssoides (Lam.) Greuter,.,.,+,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,Holcus lanatus L.,.,+,.,.,.,.,.,.,.,.,.,,,Centaurea langei Nyman subsp. langei [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,,,Sanguisorba minor Scop.,.,.,.,.,+,,,Briza maxima L.,.,.,.,.,.,.,.,r,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Pterospartum tridentatum (L.) Willk. in Willk. & Lange subsp. lasianthum (Spach) Talavera & Gibbs,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,Holcus mollis L.,.,.,+,.,.,.,.,.,.,.,.,,,Centranthus calcitrapae (L.) Dufr.,.,.,.,r,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman,.,.,.,.,+,,,Cardamine flexuosa With.,.,.,.,.,.,.,.,+,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Rubus ulmifolius Schott,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,+,.,,,Hypericum pulchrum L.,.,+,.,.,.,.,.,.,.,.,.,,,Pterospartum tridentatum (L.) Willk. in Willk. & Lange subsp. tridentatum [sub],.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,,,Potentilla montana Brot.,.,.,.,.,+,,,Centaurium erythraea Raf.,.,.,.,.,.,r,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Genista falcata Brot.,.,.,.,.,.,1,.,.,+,.,.,.,.,.,.,.,.,.,,,Ilex aquifolium L.,.,+,.,.,.,.,.,.,.,.,.,,,Cistus populifolius L.,.,.,.,.,.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,,,,,,,,,,,Conopodium arvense (Coss.) Calest. [sub],+,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Agrostis castellana Boiss. & Reut.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,+,.,.,,,¿ Laserpitium nestleri Soy.-Will. [sub],.,.,.,.,.,.,+,.,.,.,.,,,Clematis vitalba L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,,,,,,,,,,,Conopodium pyrenaeum (Loisel.) Miégev.,.,.,.,.,.,.,.,.,+,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Galium aparine L. subsp. aparine,.,.,.,.,.,.,+,.,.,+,.,.,.,.,.,.,.,.,,,Orchis sp.,.,.,.,.,.,.,.,.,+,.,.,,,Conopodium sp.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,Cynosurus echinatus L.,.,.,.,.,r,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Geranium purpureum Vill.,.,.,.,.,.,.,+,.,.,1,.,.,.,.,.,.,.,.,,,Origanum virens Hoffmanns. & Link,.,+,.,.,.,.,.,.,.,.,.,,,Cornus sanguinea L.,.,+,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,,,,,,,,,Epipactis helleborine (L.) Crantz,1,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Epipactis tremolsii Pau,.,.,.,.,.,.,.,+,.,.,.,+,.,.,.,.,.,.,,,¿ Peucedanum gallicum Latourr. [sub],.,.,1,.,.,.,.,.,.,.,.,,,Daboecia cantabrica (Huds.) K. Koch,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,Erica scoparia L.,.,.,.,2,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Crucianella angustifolia L.,.,.,.,.,.,.,.,+,.,.,.,.,+,.,.,.,.,.,,,Pinus pinaster Aiton,.,.,.,.,.,.,.,.,.,.,1,,,Daphne laureola L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,,,,,,,,,,,Fumaria reuteri Boiss.,.,.,.,.,.,.,r,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Geranium robertianum L.,.,.,.,.,.,.,.,+,.,.,.,.,.,+,.,.,.,.,,,Pyrus communis L. [sub],1,.,.,.,.,.,.,.,.,.,.,,,Digitalis purpurea L.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,Galium parisiense L.,.,.,.,.,.,.,.,+,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Geranium lucidum L.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,.,.,.,,,Quercus robur L.,.,+,.,.,.,.,.,.,.,.,.,,,Doronicum sp.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,,,,,,,,,Genista florida L. [sub],.,.,1,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Ranunculus ollissiponensis Pers. subsp. ollissiponensis,.,.,.,.,.,.,.,.,.,1,.,+,.,.,.,.,.,.,,,Rosa sp.,.,.,.,.,.,.,.,.,.,.,+,,,Epipactis helleborine (L.) Crantz,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,,,,,,,,,,,Geranium rotunditolium,.,.,.,.,.,.,.,r,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Saxifraga granulata L.,.,.,.,.,.,.,.,.,.,+,.,+,.,.,.,.,.,.,,,Scrophularia scorodonia L.,r,.,.,.,.,.,.,.,.,.,.,,,Erica australis L. [sub],.,.,.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,,,,,,,,,,,Hedera helix L.,.,.,.,.,r,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Sedum forsterianum Sm. in Sowerby,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,+,.,.,,,Sedum forsterianum Sm. in Sowerby [sub],.,.,.,.,.,.,r,.,.,.,.,,,Erica scoparia L.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,Hieracium gr. murorum L. [sub],.,.,.,.,.,.,.,.,.,.,+,.
,,,,,,,,,,,,,,,,,,,,,,Dorycnium pentaphyllum Scop.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,.,.,,,Trifolium ligusticum Balb. ex Loisel.,.,+,.,.,.,.,.,.,.,.,.,,,Euphorbia amygdaloides L.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,Holcus mollis L.,.,.,.,.,.,.,.,.,.,.,3,.
,,,,,,,,,,,,,,,,,,,,,,Pimpinella villosa Schousb.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,.,.,,,Ulex europaeus L.,.,.,.,.,.,.,.,.,.,.,r,,,Euphorbia sp.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,,,,,,,,,,,Hypericum pulchrum L.,.,.,.,.,.,.,.,.,.,.,2,.
,,,,,,,,,,,,,,,,,,,,,,Leucanthemum ircutianum DC. subsp. pseudosylvalticum Vogt,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,.,.,,,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,.,.,.,.,2,.,.,.,.,.,.,,,Festuca elegans Boiss.,.,.,3,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,Hypochaeris glabra L. [sub],.,.,.,.,.,r,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Melica ciliata L. subsp. magnolii (Gren. & Godr.) Husnot,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,+,.,,,Vincetoxicum nigrum (L.) Moench,.,.,.,.,.,.,.,.,r,.,.,,,Galium rotundifolium L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,,,,,,,,,,,Lathyrus sphaericus Retz.,.,.,.,.,.,+,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,+,.,,,,,,,,,,,,,,,,,Genista florida L. [sub],.,.,.,.,.,1,.,.,.,2,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,Lithodora diffusa (Lag.) I. M. Johnston,.,+,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Sanguisorba verrucosa (Link ex G. Don) Ces.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,,,,,,,,,,,,,,,,,Genista hystrix Lange,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,Melica uniflora Retz.,.,.,.,.,r,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Linaria aeruginea (Gouan) Cav. [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,,,,,,,,,,,,,,,,,Geum sylvaticum Pourr.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,,,,,,,,,Origanum virens Hoffmanns. & Link,.,.,.,.,.,.,.,.,.,2,.,.
,,,,,,,,,,,,,,,,,,,,,,Arenaria serpyllifolia L.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,+,,,,,,,,,,,,,,,,,Hieracium murorum L.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,+,,,,,,,,,,,Prunella vulgaris L.,.,.,.,.,.,r,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Orobanche rapum-genistae+,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,+,,,,,,,,,,,,,,,,,Holcus lanatus L.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,Quercus pyrenaica Willd.,.,r,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Hypericum perforatum L. subsp. angustifolium (DC.) A. Fröhl.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,,,,,,,,,,,,,,,,,Holcus mollis L.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,Rosa sp.,.,.,.,.,.,.,.,.,+,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Centaurea langei Nyman subsp. langei,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,,,,,,,,,,,,,,,,,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,.,.,.,.,.,.,.,.,.,.,.,.,+,1,.,.,.,.,.,.,,,,,,,,,,,Sedum album L.,.,.,.,.,.,.,.,.,+,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Cistus populifolius L. subsp. populifolius,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Hypericum pulchrum L.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,Sedum brevifolium DC.,.,.,.,.,.,.,.,.,.,2,.,.
,,,,,,,,,,,,,,,,,,,,,,Senecio gallicus Chaix in Vill.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Ilex aquifolium L.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,Silene latifolia Poir.,.,.,.,.,.,r,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Silene gallica L.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Jasminum fruticans L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,,,,,,,,,,,Sonchus asper (L.) Hill,.,.,.,.,.,r,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Petrorhagia prolifera (L.) P.W. Ball & Heywood,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Leucanthemum vulgare Lam.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,+,,,,,,,,,,,Thymus mastichina L.,.,.,.,.,.,.,.,2,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Capsella bursa-pastoris (L.) Medik.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Melittis melissophyllum L.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,+,.,,,,,,,,,,,Trifolium campestre Schreb. in Sturm,.,.,.,.,.,r,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Bryonia dioica Jacq.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Orchis morio L.,.,.,.,.,.,+,.,.,.,.,.,.,+,.,+,.,.,.,.,.,,,,,,,,,,,Trifolium ligusticum Balb. ex Loisel.,.,.,.,.,.,.,.,2,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Anthoxanthum aristatum subsp. aristatum var. w,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Orchis simia Lam.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,Vicia disperma DC.,.,.,.,.,.,.,.,.,+,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Galium aparine subsp. spurium var. vaillantii,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,¿ Peucedanum gallicum Latourr. [sub],.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,Vicia parviflora Cav. [sub],.,.,.,.,.,r,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Geranium molle L.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Pinus pinaster Aiton,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,,,,,,,,,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],.,.,.,.,.,r,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,Vicia disperma DC.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Polygala vulgaris L.,.,.,.,.,.,.,.,.,.,.,.,r,.,.,.,+,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lathyrus angulatus L.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Polygonatum odoratum (Mill.) Druce,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lathyrus latifolius L.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Primula acaulis (L.) L. [sub],.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Trifolium dubium Sibth.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Prunus mahaleb L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Cerastium glomeratum Thuill.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Prunus spinosa L.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Vulpia myuros (L.) C.C. Gmel.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Pyrus communis L. [sub],1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Erica australis L. [sub],.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Quercus robur L.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Cytisus striatus (Hill) Rothm.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Rosa canina L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Adenocarpus complicatus (L.) J. Gay in Durieu,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Rosa blondaeana Ripart ex Déségl. [sub],.,.,.,.,.,.,.,.,.,.,.,1,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,
