,,1,2,3,4,,,,1,2,3,4,5,6,7,8,9,10,11,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,,,1,2,3,4,5,6,7,8,9,10,11,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,1,2,3,4,5,,,,1,2,3,4,5,6,7,8,9,10,11,12
,Ornithopus compressus L.,1,1,1,+,,,Jasminum fruticans L.,.,.,3,.,+,+,.,.,.,.,.,,,Cytisus scoparius (L.) Link,+,.,2,+,.,.,1,1,.,+,1,1,+,+,1,.,+,2,,,Phillyraea angustifolia,.,.,.,.,.,2,r,.,.,.,.,,,Piptatherum paradoxum (L.) P. Beauv.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,1,.,+,r,+,,,Plantago holosteum Scop.,+,.,+,.,.,,,Lonicera etrusca G. Santi,.,1,r,2,.,.,.,.,.,.,.,.
,Tuberaria guttata (L.) Fourr.,1,+,2,1,,,Genista hystrix Lange,.,.,.,.,2,.,.,.,1,.,.,,,Asplenium adiantum-nigrum L.,1,+,.,.,.,+,.,+,+,+,.,+,+,+,.,+,+,.,,,Erica arborea L.,.,2,1,2,2,1,r,2,1,.,r,,,Asparagus acutifolius L.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,r,.,.,.,,,Aira caryophyllea L.,1,1,.,.,.,,,Pistacia terebinthus L.,.,2,.,+,.,r,.,.,.,.,.,.
,Genista hystrix Lange,2,2,.,1,,,Paeonia broteri Boiss. & Reut. [sub],.,.,.,.,.,.,.,.,.,.,+,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],+,.,+,+,+,.,.,.,.,+,+,+,+,+,+,.,.,1,,,Crataegus monogyna Jacq.,1,1,.,2,+,.,+,.,.,1,+,,,Quercus pyrenaica Willd.,2,+,1,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,Cistus ladanifer L.,+,.,.,3,.,,,Osyris alba L.,.,r,.,.,.,.,.,.,.,.,.,.
,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,+,1,.,+,,,Quercus suber L.,.,.,.,.,.,.,2,3,1,2,3,,,Silene nutans L.,.,+,+,.,.,.,1,.,.,+,+,.,+,+,+,+,+,.,,,Dactylis glomerata L.,.,+,1,.,1,.,2,.,2,+,1,,,Quercus suber L.,.,.,.,.,.,.,.,2,3,.,3,.,.,.,.,.,.,.,.,.,,,Agrostis capillaris L.,.,2,1,.,.,,,Vincetoxicum nigrum (L.) Moench,.,.,r,.,.,.,.,.,.,.,.,.
,Vulpia myuros (L.) C.C. Gmel. subsp. sciuroides (Roth) Rouy [sub],2,1,.,+,,,Lonicera periclymenum L.,1,1,1,1,.,1,+,2,1,2,2,,,Clinopodium gr. vulgare L. [sub],.,.,.,.,.,+,.,2,+,+,.,+,+,+,.,+,+,.,,,Teucrium scorodonia L.,1,.,+,1,1,.,+,1,.,.,.,,,Brachypodium pinnatum (L.) P. Beauv. subsp. rupestre (Host) Schübl. & G.Martens,.,.,.,.,.,.,.,.,2,.,.,+,2,.,.,+,1,r,+,.,,,Halimium lasianthum (Lam.) Spach subsp. alyssoides (Lam.) Greuter [sub],.,.,+,.,1,,,Erica arborea L.,r,2,1,.,.,r,r,1,+,1,+,1
,Senecio lividus L.,+,1,.,+,,,Hedera helix L.,.,1,1,1,.,2,.,2,2,1,2,,,Anarrhinum bellidifolium (L.) Willd.,+,+,.,+,.,.,.,.,.,.,+,.,+,+,+,+,.,.,,,Hedera helix L.,3,2,2,2,2,1,.,.,.,.,.,,,Helleborus foetidus L.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,+,.,.,.,.,,,Hieracium castellanum Boiss. & Reut.,.,.,+,.,+,,,Clinopodium vulgare L.,+,.,+,.,1,+,r,1,.,+,+,2
,Sedum arenarium Brot.,1,+,.,+,,,Teucrium scorodonia L.,1,2,.,1,.,1,1,1,+,+,.,,,Thymus mastichina L.,+,.,.,.,.,.,.,.,.,.,.,+,+,+,+,+,+,+,,,Tamus communis L.,2,+,+,1,.,.,.,r,.,+,.,,,Lithodora diffusa (Lag.) I. M. Johnston,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,2,+,.,.,.,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],1,.,.,.,.,,,Geranium robertianum L.,+,.,.,1,1,2,1,+,2,2,.,r
,Coronilla repanda (Poir.) Guss. subsp. dura (Cav.) Cout. [sub],+,+,1,.,,,Erica arborea L.,.,2,.,1,1,2,+,.,.,+,+,,,Festuca elegans Boiss. [sub],.,1,.,.,.,.,.,.,.,.,+,+,+,+,.,+,+,+,,,Rubus sp.,2,+,.,2,2,.,.,.,.,+,.,,,Crataegus monogyna Jacq.,1,1,.,+,.,.,1,2,+,.,+,1,+,1,1,1,+,1,.,1,,,Linaria amethystea (Vent.) Hoffmanns. & Link [sub],+,.,.,.,.,,,Teucrium scorodonia L.,+,1,.,.,r,2,.,.,2,2,1,2
,Micropyrum tenellum (L.) Link,+,.,+,+,,,Lavandula pedunculata Cav. [sub],.,+,+,+,+,+,+,.,+,.,.,,,Centranthus calcitrapae (L.) Dufr.,.,.,+,.,+,.,+,+,.,+,+,+,.,+,.,.,.,.,,,Cytisus scoparius (L.) Link,.,1,1,.,.,.,r,.,+,.,r,,,Tamus communis L.,2,+,+,.,r,.,+,1,.,.,.,1,1,+,r,+,2,.,.,2,,,Trifolium arvense L.,+,.,.,.,.,,,Dactylis glomerata L.,.,2,+,+,r,.,.,.,.,+,+,.
,Arrhenatherum album (Vahl) W. D. Clayton,+,+,.,.,,,Tamus communis L.,+,1,.,+,.,1,+,1,.,.,.,,,Senecio lividus L.,.,.,+,.,+,.,+,+,.,+,.,+,+,+,.,.,.,.,,,Lithodora prostrata (Loisel.) Griseb.,.,2,+,+,1,.,.,+,.,.,.,,,Cytisus scoparius (L.) Link,.,1,1,r,.,+,.,.,.,.,r,1,+,.,+,1,.,.,+,+,,,Trifolium dubium Sibth.,+,.,.,.,.,,,Tamus communis L.,.,.,.,+,2,2,1,r,+,.,.,1
,Arnoseris minima (L.) Schweigg. & Körte,1,+,.,.,,,Clinopodium vulgare L.,.,1,.,+,.,1,.,+,+,1,.,,,Crataegus monogyna Jacq.,.,.,.,+,+,+,.,.,.,.,.,.,+,+,+,.,+,.,,,Quercus pyrenaica Willd.,2,+,1,.,.,.,.,r,.,.,.,,,Teucrium scorodonia L.,1,.,+,+,1,.,.,1,1,.,.,.,1,.,.,.,+,+,+,1,,,Vicia hirsuta (L.) Gray,1,.,.,.,.,,,Brachypodium pinnatum (L.) P. Beauv. subsp. rupestre (Host) Schübl. & G.Martens,.,.,.,.,.,+,2,2,1,2,2,+
,Cistus ladanifer L.,.,+,1,.,,,Cistus salviifolius L. [sub],.,.,+,+,+,.,+,+,.,.,+,,,Teucrium scorodonia L.,1,1,.,.,.,.,.,.,1,.,+,.,.,.,+,.,+,.,,,Pteridium aquilinum (L.) Kuhn in Kerst.,+,+,2,.,2,.,.,.,.,.,.,,,Erica arborea L.,.,2,1,r,2,1,.,2,2,1,r,.,.,.,.,.,.,.,.,.,,,Festuca gr. rubra L. [sub],1,.,.,.,.,,,Crataegus monogyna Jacq. [sub],+,.,.,1,+,1,+,r,.,.,.,+
,Briza maxima L.,+,.,+,.,,,Erica cinerea L.,.,+,.,+,.,+,+,.,.,+,+,,,Asplenium trichomanes L.,+,+,.,.,.,.,.,+,+,+,.,+,.,.,.,.,.,.,,,Erica cinerea L.,.,2,.,.,3,.,.,2,.,2,.,,,Hedera helix L.,3,2,2,.,.,.,.,2,2,1,.,3,4,.,+,.,+,.,.,.,,,Asterolinon linum-stellatum (L.) Duby in A. DC.,1,.,.,.,.,,,Silene nutans L.,+,.,1,.,r,.,.,.,2,1,2,.
,Campanula erinus L.,.,1,#ERROR!,.,,,Brachypodium sylvaticum (Huds.) P. Beauv.,.,+,1,+,.,+,.,.,+,.,.,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],1,.,.,.,+,.,.,.,.,.,.,+,+,.,.,.,+,+,,,Lavandula pedunculata Cav. [sub],.,.,.,.,(+),.,1,(+),+,.,(+),,,Cistus salviifolius L. [sub],.,.,.,2,1,+,.,.,.,.,2,.,.,1,2,2,2,.,+,.,,,Thymus zygis Loefl. ex L.,1,.,.,.,.,,,Anogramma leptophylla (L.) Link,r,.,.,.,+,+,r,r,.,+,.,.
,Conopodium majus (Gouan) Loret in Loret & Barrandon,.,1,.,1,,,Cytisus multiflorus (L'Hér.) Sweet,1,+,.,+,.,+,.,.,+,.,.,,,Jasione montana L.,+,.,.,.,.,.,.,.,.,.,.,+,+,+,.,+,.,.,,,Geranium robertianum L.,+,.,.,.,1,.,+,.,.,1,.,,,Dactylis glomerata L.,.,+,1,2,.,2,+,.,1,.,1,.,.,.,.,.,.,.,.,.,,,Galium divaricatum Pourr. ex Lam.,+,.,.,.,.,,,Asplenium trichomanes L.,.,.,.,.,+,.,r,+,+,+,+,.
,Tolpis umbellata Bertol. [sub],1,.,1,.,,,Genista falcata Brot.,.,.,.,.,.,.,.,2,2,+,1,,,Sedum album L.,.,+,.,.,.,.,.,.,.,.,.,.,+,+,+,.,+,.,,,Clinopodium vulgare L.,.,+,.,.,+,.,+,.,+,.,.,,,Lavandula pedunculata Cav. [sub],.,.,.,1,+,+,.,.,+,.,+,.,.,+,r,.,.,.,.,.,,,Koeleria crassipes Lange,1,.,.,.,.,,,Lavandula pedunculata Cav. [sub],1,+,+,.,.,.,.,r,+,.,.,.
,Trifolium arvense L.,+,.,+,.,,,Crataegus monogyna Jacq.,.,.,.,.,+,1,+,.,.,+,.,,,Andryala integrifolia L.,.,+,.,.,.,.,.,+,.,.,.,.,+,+,+,.,.,.,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],.,.,.,+,.,.,+,+,+,.,.,,,Origanum virens Hoffmanns. & Link,.,+,.,.,.,.,.,.,.,.,.,+,r,.,.,+,+,+,.,+,,,Micropyrum tenellum (L.) Link,1,.,.,.,.,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],+,+,+,.,.,.,.,.,+,.,+,.
,Evax carpetana Lange,+,.,+,.,,,Prunus spinosa L.,.,.,1,.,.,.,+,.,+,.,+,,,Lapsana communis L.,.,.,.,.,.,.,.,1,1,1,.,.,+,+,.,.,.,.,,,Silene nutans L.,.,.,+,.,.,.,+,.,1,.,2,,,Clinopodium vulgare L.,.,+,.,+,.,+,.,.,+,.,.,.,.,.,.,.,.,.,+,+,,,Ornithopus perpusillus L.,+,.,.,.,.,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,.,.,.,.,+,+,2,+,.,.,1,.
,Galium aparine L.,.,1,.,2,,,Dactylis glomerata L.,1,.,+,.,1,.,.,.,+,.,.,,,Hedera hibernica (G. Kirchn.) Bean,1,.,.,.,.,+,.,.,.,.,.,+,.,.,.,+,.,.,,,Cistus salviifolius L. [sub],.,.,.,.,.,.,1,1,+,.,2,,,¿ Rubus sp. [sub],2,+,.,.,.,.,+,2,2,.,.,.,+,.,.,.,.,.,.,.,,,Arnoseris minima (L.) Schweigg. & Körte,+,.,.,.,.,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman,.,.,.,.,+,+,+,+,.,.,.,+
,Geranium lucidum L.,.,+,.,+,,,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl,1,.,.,.,+,.,+,.,+,.,.,,,Helichrysum stoechas (L.) Moench,+,.,.,.,.,.,.,.,.,.,.,+,+,.,+,.,.,.,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman,2,.,2,+,.,r,.,.,.,.,.,,,Lithodora prostrata (Loisel.) Griseb.,.,2,+,.,+,.,.,+,1,.,.,.,.,.,.,.,.,.,.,.,,,Logfia minima (Sm.) Dumort.,+,.,.,.,.,,,Cytisus scoparius (L.) Link,r,.,+,.,.,.,.,.,.,+,+,.
,Cytisus multiflorus (L'Hér.) Sweet,+,.,+,.,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],.,.,.,.,.,1,+,+,.,.,1,,,Genista florida L. [sub],.,1,2,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,,,Frangula alnus Mill.,.,.,+,1,1,.,.,.,.,.,.,,,Pteridium aquilinum (L.) Kuhn in Kerst.,+,+,2,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,r,,,Evax carpetana Lange,+,.,.,.,.,,,Vicia sativa L.,.,.,+,.,.,r,+,.,+,.,.,.
,Geranium purpureum Vill.,.,+,.,1,,,Festuca elegans Boiss.,.,.,1,1,.,1,.,.,+,.,.,,,Cistus salviifolius L.,.,.,+,1,+,+,.,.,.,.,.,.,.,.,.,.,.,.,,,¿ Galium pumilum Murray subsp. pinetorum (Ehrend.) Vigo [sub],.,.,.,.,.,.,+,+,2,.,.,,,Geranium robertianum L.,+,.,.,+,.,.,1,.,1,.,.,+,.,+,.,.,.,.,.,.,,,Vulpia myuros (L.) C.C. Gmel.,+,.,.,.,.,,,Rubus sp.,.,.,.,+,.,+,.,+,.,.,+,.
,Halimium umbellatum (L.) Spach subsp. viscosum (Willk.) O. Bolòs & Vigo [sub],+,.,+,.,,,Cistus psilosepalus Sweet,.,.,.,.,.,.,.,.,+,+,+,,,Dactylis glomerata L.,.,.,.,.,.,.,1,+,.,.,.,+,.,+,.,.,.,.,,,Cistus psilosepalus Sweet,.,1,.,2,(+),.,.,.,.,.,.,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],.,.,.,+,+,+,.,+,.,.,.,.,.,+,.,.,.,.,.,.,,,Spergula morisonii Boreau,+,.,.,.,.,,,Geranium lucidum L.,.,.,.,.,1,2,2,r,.,.,.,.
