,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10
,Tamus communis L.,.,.,.,1,.,.,1,.,.,1,.,.,.,1,,,,Rosa sempervirens L.,.,.,.,.,+,.,.,,,,,,,,Origanum virens Hoffmanns. & Link,+,.,+,+,+,1,+,2,.,+
,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira [sub],.,.,.,.,1,+,1,2,.,.,.,+,.,.,,,,Vincetoxicum nigrum (L.) Moench,.,.,+,.,+,.,.,,,,,,,,Epipactis helleborine (L.) Crantz [sub],.,.,.,.,.,.,.,+,.,+
,Cistus populifolius L.,.,.,.,.,.,.,.,.,1,+,1,.,+,.,,,,Cistus ladanifer L. [sub],.,.,+,+,+,+,.,,,,,,,,Stachys germanica L. [sub],.,+,1,+,1,.,+,+,+,+
,Cytisus striatus (Hill) Rothm. [sub],.,.,.,.,.,+,.,.,2,.,2,.,+,.,,,,Thymus mastichina L.,.,.,+,.,.,.,.,,,,,,,,Silene patula Desf.,+,.,.,+,.,.,.,+,+,.
,Clinopodium vulgare L. subsp. arundanum (Boiss.) Nyman [sub],.,1,1,.,+,.,.,.,.,.,.,1,.,1,,,,Dorycnopsis gerardi (L.) Boiss. [sub],+,+,.,.,.,.,.,,,,,,,,Carex depressa Link subsp. depressa [sub],.,+,.,1,.,+,.,+,+,+
,Luzula forsteri (Sm.) DC. in Lam. & DC.,.,.,.,.,.,.,.,+,.,1,+,.,1,.,,,,Pteridium aquilinum (L.) Kuhn in Kerst.,1,1,.,.,.,.,.,,,,,,,,Smilax aspera L. [sub],1,+,+,1,+,.,1,.,1,+
,Erica scoparia L.,.,.,.,.,.,.,.,.,+,1,.,+,.,+,,,,Cytisus striatus (Hill) Rothm. [sub],+,+,.,.,.,.,.,,,,,,,,Sanguisorba hybrida (L.) Font Quer [sub],+,.,+,.,+,.,.,.,.,+
,Lonicera etrusca G. Santi,.,.,.,.,.,.,.,.,1,.,.,.,.,.,,,,Asplenium onopteris L.,+,+,.,.,.,.,.,,,,,,,,Melica minuta L. [sub],.,+,.,.,.,.,+,.,+,.
,Myrtus communis L.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,,Pterospartum tridentatum (L.) Willk. in Willk. & Lange [sub],+,+,.,.,.,.,.,,,,,,,,Salvia sclareoides Brot.,.,.,.,+,.,.,.,.,.,.
,Neotinea maculata (Desf.) Stearn,.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,,Cytisus scoparius (L.) Link subsp. scoparius [sub],.,.,1,+,.,.,.,,,,,,,,Calamintha nepeta (L.) Savi [sub],+,+,+,+,+,.,+,+,+,1
