,,1,2,3,4,5,6,7,8,9,10,,,,1,2,3,4,5,6,7,8,9,,,,1,2,3,4,5,6,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,1,,,,1,2,3,,,,1,,,,1,2,3,4,,,,1,2,3,,,,1,2,3,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,1,2,3,4,5,6,7,,,,1,2,,,,1,2,3,4
,Poa nemoralis L.,+,1,+,+,1,.,.,1,2,.,,,Melittis melissophyllum L.,.,.,1,.,+,.,.,.,.,,,Hieracium murorum L.,.,1,.,.,1,.,,,Ilex aquifolium L.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,,,Cytisus scoparius (L.) Link,1,,,Fragaria vesca L.,+,.,.,,,,,,,Hepatica nobilis Schreb.,+,.,.,2,,,Holcus mollis L.,2,1,.,,,Serratula tinctoria L. subsp. seoanei (Willk.) Lange,.,+,.,,,Erica vagans L.,.,.,.,.,.,.,.,.,1,+,1,.,,,Hieracium murorum L.,.,+,.,1,+,1,.,+,.,+,.,.,.,.,1,,,Arctostaphylos uva-ursi (L.) Spreng.,.,2,.,3,.,4,2,,,Pilosella officinarum F.W.Schultz & Sch. Bip. [sub],+,.,,,Prunus spinosa L.,+,.,.,.
,Avenella flexuosa (L.) Drejer [sub],2,(+),+,1,.,.,.,.,.,.,,,"Festuca heterophylla Lam. subsp. braun-blanquetii Fuente, Ortúñez & Ferrero Lom.",.,.,1,.,.,1,.,.,.,,,Lilium martagon L.,.,.,.,1,.,+,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,Fraxinus angustifolia Vahl,+,.,.,,,,,,,Schedonorus giganteus,+,.,.,+,,,Symphytum tuberosum L.,2,2,.,,,Melittis melissophyllum L.,1,.,.,,,Festuca heterophylla Lam.,2,1,1,+,1,2,+,1,.,2,.,+,,,Geranium robertianum L.,1,1,+,.,1,.,2,.,.,1,.,.,.,.,.,,,Potentilla montana Brot.,+,+,+,.,.,.,2,,,Potentilla montana Brot.,+,.,,,Acer campestre L.,(+),.,.,.
,Lathyrus linifolius (Reichard) Bässler [sub],1,(+),1,+,1,.,.,.,.,.,,,Anemone nemorosa L.,1,.,.,.,.,.,.,.,.,,,Corylus avellana L.,.,.,.,+,.,+,,,Erica arborea L.,3,1,2,2,1,1,3,3,2,+,1,2,2,2,3,2,1,.,+,.,,,,,,,Holcus lanatus L.,+,.,.,,,,,,,Sambucus nigra L.,+,.,.,+,,,Campanula rapunculus L.,2,2,.,,,Simethis mattiazzii (Vand.) G. López & Ch.E. Jarvis [sub],+,1,+,,,Festuca paniculata (L.) Schinz & Thell.,.,.,.,.,1,.,.,.,.,1,.,.,,,Acer monspessulanum L.,+,.,+,+,+,.,+,.,.,.,.,+,.,.,.,,,Pteridium aquilinum (L.) Kuhn in Kerst.,+,.,.,2,2,.,.,,,Pteridium aquilinum (L.) Kuhn in Kerst.,+,1,,,Viola hirta L.,3,.,.,.
,Rubus hirtus Waldst. & Kit. [sub],+,.,+,.,+,.,.,+,+,+,,,Lilium martagon L.,1,.,.,.,.,.,.,.,.,,,Campanula rapunculus L.,1,.,.,.,.,.,,,Pteridium aquilinum (L.) Kuhn in Kerst.,.,3,1,2,1,.,1,.,3,1,2,+,3,+,3,3,1,2,2,+,,,,,,,Hypochaeris radicata L. [sub],1,.,.,,,,,,,Quercus faginea Lam.,.,+,+,.,,,Lathyrus niger (L.) Bernh.,2,+,.,,,Pseudarrhenatherum longifolium (Thore) Rouy [sub],2,2,.,,,Fragaria vesca L.,.,.,.,+,.,.,+,.,.,.,.,.,,,Clinopodium vulgare L.,+,+,.,1,.,.,1,.,.,.,.,1,.,.,.,,,Stachys officinalis (L.) Trevis.,+,+,+,.,.,.,.,,,Scilla verna Huds.,+,.,,,Ligustrum vulgare L.,+,.,.,.
,Cytisus scoparius (L.) Link [sub],(+),.,.,+,.,.,.,.,.,.,,,Hypericum montanum L.,+,.,.,.,.,.,.,.,.,,,Primula veris L. subsp. columnae (Ten.) Maire & Petitm.,1,.,.,.,.,.,,,Melica uniflora Retz.,+,+,1,1,1,.,2,.,.,.,2,2,.,2,1,2,2,+,1,2,,,,,,,Jasione montana L.,+,.,.,,,,,,,Quercus petraea (Matt.) Liebl.,.,.,+,+,,,Stachys sylvatica L.,2,+,.,,,Asphodelus albus Mill.,+,.,.,,,Cruciata laevipes Opiz [sub],1,.,1,.,.,.,.,.,.,.,.,.,,,Viola hirta L.,.,+,1,1,+,.,2,.,.,.,.,.,.,.,.,,,Scilla verna Huds.,+,+,.,.,+,.,.,,,Juniperus communis L.,+,.,,,Tanacetum corymbosum (L.) Sch. Bip. [sub],+,.,.,.
,Festuca heterophylla Lam.,2,1,+,2,+,1,+,2,.,.,,,Brachypodium phoenicoides (L.) Roem. & Schult.,+,.,.,.,.,.,.,.,.,,,Symphytum tuberosum L.,+,.,.,.,.,.,,,Rubus gr. rubus [sub],.,2,1,1,1,+,2,.,2,+,.,2,2,3,.,1,4,.,1,.,,,,,,,Origanum vulgare L.,1,.,.,,,,,,,Crataegus monogyna Jacq.,1,1,2,1,,,Melittis melissophyllum L.,+,2,.,,,Cistus salviifolius L. [sub],+,.,.,,,Galium pumilum Murray subsp. pinetorum (Ehrend.) Vigo [sub],1,.,1,+,.,3,1,2,1,1,2,1,,,Silene nutans L.,2,1,1,1,.,.,.,.,.,.,.,1,.,.,.,,,Rubus ulmifolius Schott,.,.,.,+,+,.,+,,,Genista pilosa L.,.,+,,,Sorbus aria (L.) Crantz,.,2,.,.
,Hedera helix L.,+,+,+,4,.,.,.,.,1,1,,,Avenella flexuosa (L.) Drejer [sub],.,1,.,.,.,.,.,.,.,,,Melittis melissophyllum L.,+,.,.,.,.,.,,,Pulmonaria longifolia (Bast.) Boreau,+,1,1,1,1,.,+,+,1,.,1,1,.,.,.,+,.,.,.,+,,,,,,,Prunella laciniata (L.) L.,+,.,.,,,,,,,Prunus spinosa L.,2,2,+,1,,,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,2,.,2,,,Daboecia cantabrica (Huds.) K. Koch,.,2,.,,,Galium rotundifolium L.,.,.,+,+,.,.,2,+,.,.,.,.,,,Sorbus torminalis (L.) Crantz,.,.,.,+,.,+,.,.,.,.,.,1,.,.,.,,,Agrostis capillaris L.,.,.,.,.,.,2,2,,,Rubus gr. ulmifolius Schott [sub],.,+,,,Rosa sp.,.,+,.,.
,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],1,+,+,+,+,+,+,+,.,.,,,Euphorbia amygdaloides L.,.,1,.,.,.,.,.,.,.,,,Poa nemoralis L.,.,1,.,.,.,.,,,Juniperus communis L.,2,+,+,+,+,2,2,1,1,.,.,.,.,.,1,1,.,.,+,.,,,,,,,Rosa agrestis Savi,+,.,.,,,,,,,Clematis vitalba L.,1,1,+,+,,,Aquilegia vulgaris L.,+,.,2,,,Hedera helix L.,.,.,+,,,Cruciata glabra (L.) Ehrend. [sub],1,.,2,1,1,2,3,.,3,2,2,1,,,Cephalanthera rubra (L.) Rich.,.,.,2,1,.,.,.,.,.,.,.,.,.,.,.,,,Arenaria montana L.,.,.,+,.,.,1,.,,,,,,,,Primula veris L. subsp. columnae (Ten.) Maire & Petitm.,.,+,.,.
,Viola sylvestris Lam. [sub],+,+,.,+,.,.,+,+,.,+,,,Bromus ramosus Huds.,.,2,.,.,.,.,.,.,.,,,Aquilegia vulgaris L.,.,+,.,.,.,.,,,Crataegus monogyna Jacq.,+,+,.,+,+,.,+,.,.,+,1,1,+,1,.,.,+,.,.,.,,,,,,,Rosa micrantha Borrer ex Sm. in Sowerby,1,.,.,,,,,,,Rubus gr. ulmifolius Schott [sub],1,+,2,.,,,Cruciata glabra (L.) Ehrend.,.,2,1,,,,,,,,,Genista hispanica L. subsp. occidentalis Rouy [sub],.,.,.,.,.,.,.,+,.,+,+,.,,,Cephalanthera longifolia (L.) Fritsch,+,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,Juniperus communis L.,.,+,1,.,.,.,.,,,,,,,,Origanum vulgare L.,.,.,+,.
,Quercus rotundifolia Lam. [sub],(+),.,.,.,.,.,.,.,.,.,,,Ornithogalum pyrenaicum L.,.,+,.,.,.,.,.,.,.,,,Helleborus foetidus L.,.,.,.,.,1,.,,,Fragaria vesca L.,1,.,1,1,1,.,.,.,.,+,+,.,1,1,.,+,.,+,.,+,,,,,,,Rosa blondaeana Ripart ex Déségl. [sub],1,.,.,,,,,,,Geum urbanum L.,2,.,1,1,,,Veronica officinalis L.,.,+,2,,,,,,,,,Geranium sylvaticum L.,.,.,+,.,.,.,.,+,.,.,.,.,,,Primula veris L. subsp. veris [sub],+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,Conopodium majus (Gouan) Loret in Loret & Barrandon,+,.,+,.,.,.,.,,,,,,,A,Quercus pyrenaica Willd.,3,5,3,4
,Cephalanthera rubra (L.) Rich.,.,+,.,.,.,.,.,.,.,.,,,Veronica chamaedrys L.,.,.,1,.,.,.,.,.,.,,,Tanacetum corymbosum (L.) Sch. Bip.,.,.,.,.,.,+,,,Cytisus scoparius (L.) Link,+,+,1,1,+,2,.,.,.,2,.,+,2,1,.,.,.,.,.,.,,,,,,,Clinopodium vulgare L. [sub],1,.,.,,,,,,,Viola hirta L.,+,.,+,1,,,Primula veris L. subsp. columnae (Ten.) Maire & Petitm.,2,.,.,,,,,,,,,Geum sylvaticum Pourr.,.,.,1,+,2,.,.,1,+,.,.,.,,,Erica arborea L.,.,+,+,+,+,+,.,+,+,.,+,+,+,+,+,,,Anthoxanthum odoratum L.,.,.,.,.,.,.,2,,,,,,,a,Quercus pyrenaica Willd.,4,2,2,3
,Lathyrus niger (L.) Bernh.,.,1,.,.,.,.,.,.,.,.,,,Populus tremula L.,.,.,+,.,.,.,.,.,.,,,Cytisus scoparius (L.) Link,+,+,+,.,.,+,,,Erica vagans L.,1,.,2,1,1,1,2,2,2,.,.,.,.,.,.,+,.,+,.,.,,,,,,,Sedum forsterianum Sm. in Sowerby [sub],+,.,.,,,,,,,Vicia cracca L.,+,.,+,+,,,Polypodium cambricum L.,2,.,.,,,,,,,,,Herniaria latifolia Lapeyr.,.,.,.,.,.,.,.,1,.,.,.,.,,,Fragaria vesca L.,1,1,+,.,1,+,1,1,.,1,.,.,+,.,1,,,Pilosella gr. officinarum F.W.Schultz & Sch. Bip. [sub],+,.,.,.,.,.,.,,,,,,,,Fragaria vesca L.,+,2,+,2
,Lonicera xylosteum L.,.,+,+,.,.,.,.,.,.,.,,,Helleborus foetidus L.,.,.,.,.,.,.,1,.,.,,,Galium aparine L. subsp. spurium (L.) Hartm. [sub],1,1,2,.,.,.,,,Geranium robertianum L.,+,1,.,.,1,.,.,.,.,+,2,2,1,2,.,.,2,.,.,+,,,,,,,Torilis arvensis (Huds.) Link,2,.,.,,,,,,,Salix atrocinerea Brot.,+,.,+,+,,,Vaccinium myrtillus L.,2,.,.,,,,,,,,,Hieracium murorum L.,+,1,.,1,+,1,2,2,.,+,.,.,,,Genista florida L. [sub],1,+,.,+,+,+,+,.,.,+,.,+,.,+,+,,,Brachypodium pinnatum (L.) P. Beauv. subsp. rupestre (Host) Schübl. & G.Martens [sub],+,.,.,.,.,.,.,,,,,,,,Teucrium scorodonia L.,2,2,2,2
,Melica uniflora Retz.,.,1,.,.,.,.,.,.,2,1,,,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,.,.,.,.,.,.,+,.,.,,,Brachypodium phoenicoides (L.) Roem. & Schult.,1,1,1,.,.,.,,,Helleborus viridis L. subsp. occidentalis (Reut.) Schiffn. [sub],.,.,.,.,+,.,+,.,.,.,+,+,+,1,.,+,.,+,1,1,,,,,,,Trifolium arvense L.,+,.,.,,,,,,,Urtica dioica L.,+,.,+,+,,,Lapsana communis L.,+,.,.,,,,,,,,,Hypericum pulchrum L.,.,.,+,.,.,1,.,+,1,.,.,.,,,Rosa arvensis Huds.,2,1,1,1,1,1,2,2,2,1,.,.,+,.,.,,,Ranunculus tuberosus Lapeyr. [sub],+,.,.,.,.,.,.,,,,,,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,+,+,+,.
,Origanum vulgare L.,.,+,.,.,.,.,.,.,.,.,,,Lavandula pedunculata Cav. [sub],.,.,.,.,.,.,+,.,.,,,Sedum forsterianum Sm. in Sowerby [sub],1,.,1,+,.,.,,,Prunus avium L.,.,+,1,+,+,.,.,.,+,.,1,.,+,1,.,.,.,+,.,.,,,,,,,Agrostis capillaris L.,.,+,.,,,,,,,Populus nigra L.,.,+,+,+,,,Euphorbia dulcis L.,+,.,.,,,,,,,,,Hypochaeris maculata L. [sub],.,.,.,.,.,.,.,.,.,+,.,.,,,Galium pumilum Murray subsp. pinetorum (Ehrend.) Vigo [sub],.,1,+,.,1,1,1,.,1,.,1,.,1,1,.,,,Serratula tinctoria L.,.,.,+,.,.,.,.,,,,,,,,Melampyrum pratense L.,+,2,.,4
,Poa pratensis L.,.,+,.,+,2,.,+,.,.,1,,,Agrimonia eupatoria L.,.,.,.,.,.,.,+,.,.,,,Trisetum flavescens (L.) P. Beauv.,1,.,1,.,.,2,,,Tamus communis L.,+,.,.,+,1,.,.,1,.,1,2,.,1,3,.,.,.,.,.,+,,,,,,,Helictochloa marginata (Lowe) Romero Zarco [sub],.,1,.,,,,,,,Crocus nudiflorus Sm.,.,+,+,+,,,Luzula sylvatica (Huds.) Gaudin subsp. henriquesii (Degen) P.Silva,.,.,1,,,,,,,,,Ilex aquifolium L.,.,.,.,.,.,+,.,.,.,.,.,.,,,Hedera helix L.,1,1,1,1,1,+,1,.,.,2,.,+,.,.,.,,,Listera ovata (L.) R.Br.,.,.,+,.,.,.,.,,,,,,,,Lonicera periclymenum L.,.,2,2,2
,Prunus avium L.,.,+,.,.,.,.,.,.,.,.,,,Thapsia villosa L.,.,.,.,.,.,.,.,+,.,,,Prunella grandiflora (L.) Scholler,.,1,.,.,1,1,,,Ligustrum vulgare L.,+,.,+,.,+,+,.,.,.,.,+,.,1,1,.,+,.,.,.,+,,,,,,,Cytisus scoparius (L.) Link,.,2,.,,,,,,,Heracleum sphondylium L.,+,1,.,.,,,Sorbus aria (L.) Crantz,.,.,2,,,,,,,,,Lathyrus linifolius (Reichard) Bässler [sub],.,.,.,.,1,1,.,.,1,1,2,1,,,Rubia peregrina L.,2,+,1,2,2,+,1,.,.,.,.,1,.,.,.,,,Orchis mascula (L.) L.,.,.,+,.,.,.,.,,,,,,,,Rubus sp.,+,+,.,1
,Rosa arvensis Huds.,.,+,+,+,+,.,.,.,+,1,,,Eryngium campestre L.,.,.,.,.,.,.,.,+,.,,,Succisa pratensis Moench,1,1,.,.,.,.,,,Brachypodium sylvaticum (Huds.) P. Beauv.,1,2,1,.,.,.,1,.,.,.,.,.,.,2,.,1,.,+,+,+,,,,,,,Erica australis L. [sub],.,+,.,,,,,,,Rosa pimpinellifolia L.,+,1,.,.,,,Fragaria vesca L.,.,.,2,,,,,,,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,1,+,1,1,1,2,2,.,1,3,+,.,,,Anthoxanthum odoratum L.,1,+,+,+,1,.,.,+,1,1,.,.,.,.,.,,,Ilex aquifolium L.,.,.,+,.,.,.,.,,,,,,,,Galium verum L.,2,+,.,2
,Rubia peregrina L.,.,+,+,.,.,.,.,.,.,.,,,Peucedanum gallicum Latourr.,.,.,.,.,.,.,.,.,1,,,Lathyrus pratensis L.,+,.,1,.,.,.,,,Anthoxanthum odoratum L. [sub],.,1,.,1,.,+,.,1,.,2,+,1,.,+,.,.,.,.,.,.,,,,,,,Festuca longiglumis,.,2,.,,,,,,,Rosa canina L.,+,.,+,.,,,Hypericum pulchrum L.,.,.,2,,,,,,,,,Melampyrum pratense L.,.,.,1,.,1,1,3,.,2,1,1,2,,,Polypodium vulgare L.,1,1,.,.,1,.,.,+,+,+,.,.,.,.,+,,,Hepatica nobilis Schreb.,.,.,+,.,.,.,.,,,,,,,,Veronica chamaedrys L.,2,.,2,.
,Tamus communis L.,.,+,.,.,.,.,.,.,.,.,,,Lithodora diffusa (Lag.) I. M. Johnston,(+),+,+,2,2,1,2,1,1,,,Quercus rotundifolia Lam.,+,.,.,+,.,.,,,Vaccinium myrtillus L.,+,2,.,2,+,.,.,1,.,.,.,.,.,.,2,4,.,.,+,.,,,,,,,Galium pumilum Murray subsp. pinetorum (Ehrend.) Vigo [sub],.,1,.,,,,,,,Lonicera xylosteum L.,+,.,.,+,,,Rosa pimpinellifolia L.,.,.,2,,,,,,,,,Melica uniflora Retz.,1,.,.,+,.,.,.,2,.,.,.,.,,,Crataegus monogyna Jacq.,+,+,.,+,+,.,1,.,.,.,+,.,.,.,.,,,Euphorbia amygdaloides L.,.,.,.,.,+,.,.,,,,,,,,Anthoxanthum odoratum L.,.,2,2,2
,Veronica chamaedrys L.,.,+,.,+,+,+,+,+,.,(+),,,Chamaespartium sagittale (L.) P.E. Gibbs,.,.,.,.,1,.,.,3,.,,,Lithodora diffusa (Lag.) I. M. Johnston,+,.,.,.,.,2,,,Potentilla sterilis (L.) Garcke,.,.,.,1,1,.,.,.,.,.,+,.,.,1,.,+,.,+,+,+,,,,,,,Helleborus viridis L. subsp. occidentalis (Reut.) Schiffn. [sub],.,+,.,,,,,,,Hypericum hirsutum L.,+,.,.,+,,,Narcissus triandrus L.,.,.,+,,,,,,,,,Mycelis muralis (L.) Dumort.,+,1,+,.,.,.,.,+,.,.,.,.,,,Rosa canina L.,.,.,.,.,.,+,+,+,.,.,+,.,+,.,+,,,Veronica officinalis L.,.,.,.,.,+,.,.,,,,,,,,Erica arborea L.,.,2,+,3
,Crataegus monogyna Jacq.,.,+,+,+,+,.,.,.,+,+,,,"Quercus pauciradiata Penas, Llamas, Pérez Morales & Acedo",+,+,.,.,.,.,.,.,.,,,Juniperus communis L. subsp. hemisphaerica (C. Presl) Nyman [sub],.,2,+,.,.,.,,,Cornus sanguinea L.,+,1,1,.,.,.,.,+,+,.,.,.,.,1,.,.,.,+,.,.,,,,,,,Lathyrus linifolius (Reichard) Bässler,.,+,.,,,,,,,Rosa gr. micrantha Borrer ex Sm. in Sowerby [sub],+,.,.,+,,,Geum sylvaticum Pourr.,.,.,+,,,,,,,,,Origanum vulgare L.,.,+,.,+,.,.,.,.,.,.,.,.,,,Erica vagans L.,.,.,.,.,.,.,.,+,2,.,3,.,1,1,2,,,Melampyrum pratense L.,.,.,.,.,+,.,.,,,,,,,,Avenella flexuosa (L.) Drejer [sub],.,2,+,.
m,Peltigera rufescens,.,+,.,.,.,.,.,.,.,.,,,Thymelaea ruizii Loscos,.,.,.,.,.,2,3,.,.,,,Paeonia officinalis L. subsp. microcarpa (Boiss. & Reut.) Nyman [sub],.,.,.,.,2,1,,,Daboecia cantabrica (Huds.) K. Koch,.,.,+,.,+,1,+,2,.,.,.,.,.,1,.,.,.,.,.,.,,,,,,,Physospermum cornubiense (L.) DC.,.,1,.,,,,,,,Dactylis glomerata L.,+,.,.,+,,,Erica arborea L.,2,2,3,,,,,,,,,Phleum pratense L.,.,.,.,.,.,.,.,.,.,.,+,+,,,Juniperus communis L.,.,+,.,+,.,.,.,.,+,.,+,.,.,.,+,,,Lonicera periclymenum L. [sub],.,.,.,.,2,.,.,,,,,,,,Frangula alnus Mill.,.,+,+,.
,Ribes alpinum L.,.,(+),+,.,.,.,.,.,1,.,,,Clinopodium vulgare L.,1,1,1,1,+,1,+,+,1,,,Erica vagans L.,.,.,+,.,.,.,,,Galium rotundifolium L.,+,.,+,.,.,.,.,1,1,.,+,+,.,.,.,.,.,.,.,.,,,,,,,Primula veris L. subsp. columnae (Ten.) Maire & Petitm. [sub],.,1,.,,,,,,,Genista hispanica L. subsp. occidentalis Rouy [sub],.,+,+,.,,,Cytisus scoparius (L.) Link,2,2,2,,,,,,,,,Physospermum cornubiense (L.) DC.,.,.,.,.,.,1,+,1,.,.,+,2,,,Arctostaphylos uva-ursi (L.) Spreng. [sub],.,.,.,.,.,.,.,+,+,+,1,+,.,.,.,,,Erythronium gr. dens-canis L. [sub],.,.,.,.,2,.,.,,,,,,,,Hypericum pulchrum L.,.,2,+,.
,Hieracium sabaudum L. [sub],.,(+),+,.,.,.,.,.,.,.,,,Cruciata glabra (L.) Ehrend.,+,+,+,2,1,1,2,1,+,,,Quercus faginea Lam.,.,.,.,3,.,.,,,Brachypodium pinnatum (L.) P. Beauv. subsp. rupestre (Host) Schübl. & G.Martens [sub],.,.,.,.,1,2,2,2,3,.,.,.,.,.,.,+,.,.,.,.,,,,,,,Silene nutans L.,.,+,.,,,,,,,Pteridium aquilinum (L.) Kuhn in Kerst.,.,+,+,.,,,Lithodora diffusa (Lag.) I. M. Johnston,1,2,2,,,,,,,,,Plantago lanceolata L.,+,.,+,.,.,.,.,+,.,.,.,.,,,Heracleum sphondylium L.,.,.,.,+,.,+,.,+,.,.,+,.,+,.,.,,,Anemone nemorosa L.,.,.,.,.,2,.,.,,,,,,,,Veronica officinalis L.,.,1,+,.
,Fragaria vesca L.,.,.,+,+,+,.,.,.,.,+,,,Crataegus monogyna Jacq.,1,1,+,.,+,+,+,+,1,,,Genista micrantha Gómez Ortega,.,.,.,.,1,.,,,Lonicera xylosteum L.,.,.,.,.,+,.,.,+,+,.,2,.,1,.,.,.,.,.,.,.,,,,,,,Trisetum flavescens (L.) P. Beauv.,.,1,.,,,,,,,Potentilla sterilis (L.) Garcke,.,.,+,+,,,Pteridium aquilinum (L.) Kuhn in Kerst.,2,2,2,,,,,,,,,Poa nemoralis L.,3,1,2,2,2,1,3,.,+,1,.,+,,,Avenella flexuosa (L.) Drejer [sub],.,.,+,+,2,.,.,3,.,.,.,+,.,.,.,,,Silene nutans L.,.,.,.,.,.,+,.,,,,,,,,Holcus mollis L.,.,.,(+),2
,Ilex aquifolium L.,.,.,+,.,.,.,.,.,.,.,,,Cytisus scoparius (L.) Link,.,+,+,+,.,1,.,+,+,,,Helictochloa marginata (Lowe) Romero Zarco [sub],.,.,.,.,.,2,,,Prunus spinosa L.,.,.,.,.,1,+,.,.,.,1,.,.,+,+,.,.,.,.,.,.,,,,,,,Veronica chamaedrys L.,.,+,.,,,,,,,Melica uniflora Retz.,1,.,.,.,,,Helictochloa marginata (Lowe) Romero Zarco [sub],2,1,2,,,,,,,,,Potentilla montana Brot.,3,3,2,3,2,2,3,3,3,1,3,2,,,Ribes alpinum L.,1,.,1,.,1,.,.,.,.,+,.,.,+,.,.,,,Quercus ilex L.,.,.,.,.,.,2,.,,,,,,,m,Camptothecium lutescens,2,2,.,.
,Prunus spinosa L.,.,.,+,.,.,.,.,.,2,+,,,Prunus spinosa L.,1,1,.,.,+,.,.,1,+,,,Geum sylvaticum Pourr.,.,.,.,.,.,1,,,Fraxinus excelsior L.,+,+,+,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,Ceratocapnos claviculata (L.) Lidén,.,.,1,,,,,,,Lamium galeobdolon (L.) L.,1,.,.,.,,,Erica australis L. [sub],3,2,.,,,,,,,,,Potentilla sterilis (L.) Garcke,.,1,+,2,.,.,.,2,.,.,.,.,,,Cruciata glabra (L.) Ehrend. [sub],+,.,.,.,+,1,.,.,1,+,.,.,+,.,.,,,Geranium sanguineum L.,.,.,.,.,.,.,+,,,,,,,,Festuca rubra L.,2,.,.,+
,Sorbus aria (L.) Crantz,.,.,+,.,.,.,.,.,.,.,,,Malus sylvestris (L.) Mill.,+,+,.,.,+,.,.,+,+,,,Inula salicina L. subsp. aspera (Poir.) Hayek,.,.,.,.,.,+,,,Rosa canina L.,.,.,.,.,.,+,.,.,+,.,1,.,2,.,.,.,.,.,.,.,,,,,,,Fagus sylvatica L.,.,.,+,,,,,,,Acer pseudoplatanus L.,+,.,.,.,,,Erica vagans L.,2,2,.,,,,,,,,,Primula veris L. subsp. veris [sub],1,.,.,1,.,.,.,1,2,1,+,1,,,Tamus communis L.,1,.,+,1,.,.,.,.,.,.,.,+,.,.,.,,,Rubia peregrina L.,.,.,.,.,.,.,+,,,,,,,,Hedera helix L.,+,.,.,.
,Veronica officinalis L.,.,.,+,.,(+),+,+,1,.,.,,,Trisetum flavescens (L.) P. Beauv.,1,+,.,.,.,.,+,1,+,,,,,,,,,,,,Galium aparine L.,.,1,.,.,.,.,.,.,.,.,+,.,.,2,.,.,+,.,.,.,,,,,,,Geranium lucidum L.,.,.,+,,,,,,,Quercus faginea Lam.,.,+,.,.,,,Centaurea nigra L.,1,2,.,,,,,,,,,Prunella grandiflora (L.) Scholler subsp. pyrenaica (Gren. & Godron) A. Bolòs [sub],+,.,2,.,1,2,.,2,.,.,.,.,,,Hepatica nobilis Schreb.,1,1,.,.,+,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,¿ Leontodon hispidus L. [sub],.,+,+,.
,Sorbus torminalis (L.) Crantz,.,.,+,.,.,.,.,.,.,.,,,Festuca nigrescens Lam. subsp. microphylla (St.-Yves) Markgr.-Dann.,.,+,2,3,.,.,+,1,.,,,,,,,,,,,,Polystichum setiferum (Forssk.) Woyn.,+,.,.,.,+,.,.,.,.,.,.,.,.,1,.,.,.,.,.,+,,,,,,,Lapsana communis L.,.,.,+,,,,,,,Ulmus minor Mill.,.,.,+,.,,,Lathyrus latifolius L.,2,2,.,,,,,,,,,Prunus spinosa L.,.,.,.,.,.,.,.,.,.,+,.,+,,,Frangula alnus Mill.,1,.,.,.,.,.,.,.,.,1,.,.,1,.,.,,,,,,,,,,,,,,,,,m,Dicranum scoparium,.,3,.,4
,Corylus avellana L.,.,.,+,.,.,.,.,.,.,+,,,Anthoxanthum odoratum L.,.,.,+,2,.,1,+,+,.,,,,,,,,,,,,Ruscus aculeatus L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,1,1,+,,,,,,,Lonicera gr. periclymenum L. [sub],.,.,1,,,,,,,Tilia platyphyllos Scop.,.,.,+,.,,,Trifolium ochroleucon Huds.,2,+,.,,,,,,,,,Pteridium aquilinum (L.) Kuhn in Kerst.,2,3,1,2,3,2,3,3,.,.,.,.,,,Genista hispanica L. subsp. occidentalis Rouy [sub],.,.,.,.,.,.,.,.,+,.,1,.,.,+,.,,,,,,,,,,,,,,,,,m,Hypnum cupressiforme,.,2,.,3
,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl,.,.,+,.,.,.,.,.,.,.,,,Helictochloa marginata (Lowe) Romero Zarco [sub],.,.,.,2,1,+,1,1,.,,,,,,,,,,,,Asplenium adiantum-nigrum L.,+,.,.,.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,,,,,,,Melica uniflora Retz.,.,.,2,,,,,,,Carex sylvatica Huds.,.,.,.,+,,,Rumex acetosella L.,2,+,.,,,,,,,,,Pulmonaria longifolia (Bast.) Boreau,2,1,1,1,1,1,1,2,2,2,2,3,,,Corylus avellana L.,.,.,+,+,+,+,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,m,Rhytidiadelphus triquetrus,.,3,.,3
