,,1,2,3,4,5,6,7,8,9,10,,,,1,2,3,4,5,6,7,8,9,,,,1,2,3,4,5,6,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,1,,,,1,2,3,,,,1,,,,1,2,3,4,,,,1,2,3,,,,1,2,3,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,1,2,3,4,5,6,7,,,,1,2,,,,1,2,3,4
,Moehringia pentandra J. Gay,+,+,.,.,.,.,.,.,.,.,,,Potentilla sterilis (L.) Garcke,.,+,.,1,.,1,1,.,1,,,Brachypodium sylvaticum (Huds.) P. Beauv.,2,2,3,.,.,3,,,Melampyrum pratense L.,.,.,.,1,1,.,.,.,+,+,1,2,+,2,.,.,.,.,.,.,,,Ranunculus tuberosus Lapeyr.,1,,,Potentilla sterilis (L.) Garcke,+,1,.,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],+,,,Stellaria holostea L.,2,.,+,+,,,Viola sylvestris Lam. subsp. sylvestris [sub],2,2,2,,,Holcus mollis L.,.,.,2,,,Brachypodium sylvaticum (Huds.) P. Beauv.,3,2,3,2,3,3,2,3,3,1,.,.,,,Poa nemoralis L.,3,2,3,2,2,2,3,3,2,3,2,2,2,2,.,,,Hieracium murorum L.,+,.,+,.,.,.,+,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],+,.,,,Fagus sylvatica L. [sub],.,(+),.,.
,Holcus mollis L.,1,.,.,1,.,1,+,2,.,1,,,Vicia sepium L.,.,+,.,.,1,.,2,+,+,,,Trifolium medium L. [sub],1,1,1,.,.,2,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,+,.,+,.,+,+,.,.,.,.,+,1,.,1,.,.,.,.,.,.,,,Prunella grandiflora (L.) Scholler,2,,,Prunus spinosa L.,+,.,1,,,Hypericum pulchrum L.,1,,,Euonymus europaeus L.,1,.,1,1,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],2,2,2,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,.,.,+,,,Calluna vulgaris (L.) Hull,.,.,.,.,.,.,.,.,.,1,+,+,,,Teucrium scorodonia L.,3,.,2,3,1,2,2,2,2,1,.,1,1,1,1,,,Crataegus monogyna Jacq.,+,.,+,.,.,.,.,,,Poa nemoralis L.,+,.,,,Viola sylvestris Lam. [sub],.,.,2,.
,Quercus petraea (Matt.) Liebl.,5,5,5,.,.,.,.,.,.,.,,,Astragalus glycyphyllos L.,1,.,2,.,1,.,.,2,.,,,Fragaria vesca L.,1,1,1,.,.,1,,,Stellaria holostea L.,.,+,.,+,.,.,.,+,.,.,1,+,.,1,.,.,2,.,.,.,,,Quercus Xnumantina Ceballos & C.Vicioso,+,,,Rubus sp.,+,.,2,,,Danthonia decumbens (L.) DC. in Lam. & DC. subsp. decumbens [sub],+,,,Helleborus viridis L. subsp. occidentalis (Reut.) Schiffn.,+,.,1,+,,,Crataegus monogyna Jacq.,2,2,2,,,Viola sylvestris Lam. subsp. sylvestris [sub],+,.,.,,,Campanula rapunculus L.,.,.,.,.,.,.,.,.,+,.,+,1,,,Sedum forsterianum Sm. in Sowerby,1,+,+,+,+,+,+,+,+,+,+,1,+,.,.,,,Poa nemoralis L.,+,+,.,.,.,.,.,,,Sorbus aria (L.) Crantz,.,+,,,Galium rotundifolium L.,.,.,2,.
,Rosa sp.,+,.,.,.,.,.,.,.,+,+,,,Lathyrus niger (L.) Bernh.,.,.,1,.,.,1,.,1,1,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],1,.,1,1,.,.,,,Viola gr. sylvestris Lam. [sub],+,.,1,+,.,.,.,.,.,+,+,+,.,.,.,.,.,.,.,1,,,Pteridium aquilinum (L.) Kuhn in Kerst.,2,,,Erica arborea L.,.,2,2,,,Stachys officinalis (L.) Trevis.,+,,,Viola gr. sylvestris Lam. [sub],+,.,+,+,,,Rosa canina L.,2,2,2,,,Castanea sativa Mill.,.,.,2,,,Cephalanthera rubra (L.) Rich.,+,.,.,.,.,.,.,+,.,.,.,.,,,Lonicera periclymenum L.,2,.,1,1,2,2,2,2,2,.,1,.,2,+,+,,,Sorbus aria (L.) Crantz,.,.,.,+,+,.,.,,,Erica vagans L.,4,1,,,Crataegus monogyna Jacq.,+,1,2,+
,Erica arborea L.,+,.,+,.,.,.,.,.,.,.,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],.,.,.,1,+,.,1,+,.,,,Lathyrus linifolius (Reichard) Bässler [sub],1,.,1,.,.,1,,,Stachys officinalis (L.) Trevis.,.,.,.,+,+,.,2,.,.,.,.,.,.,.,+,2,.,1,1,.,,,Stachys officinalis (L.) Trevis.,1,,,Pteridium aquilinum (L.) Kuhn in Kerst.,.,3,1,,,Calluna vulgaris (L.) Hull,1,,,Fraxinus excelsior L.,.,1,2,1,,,Veronica chamaedrys L.,2,+,+,,,Pteridium aquilinum (L.) Kuhn in Kerst.,2,2,1,,,Clinopodium vulgare L.,1,1,2,2,2,2,1,2,1,1,2,1,,,Lathyrus linifolius (Reichard) Bässler [sub],1,2,1,1,3,1,.,1,+,1,.,+,.,1,.,,,Erica cinerea L.,2,2,.,2,2,2,2,,,Calluna vulgaris (L.) Hull,1,3,,,Hepatica nobilis Schreb. [sub],2,1,(+),.
m,Dicranum scoparium,+,.,+,.,.,.,.,.,.,.,,,Luzula forsteri (Sm.) DC. subsp. forsteri [sub],.,.,.,.,1,.,+,1,+,,,Lathyrus niger (L.) Bernh.,.,1,1,1,.,.,,,Hieracium murorum L.,.,.,.,+,+,+,.,.,.,+,+,+,.,.,.,.,.,.,.,.,,,Crataegus monogyna Jacq.,1,,,Acer monspessulanum L.,+,.,.,,,Ulex gallii Planch.,1,,,Tamus communis L. [sub],+,.,+,.,,,Ajuga pyramidalis L.,+,+,2,,,Euphorbia dulcis L.,+,+,+,,,Conopodium pyrenaeum (Loisel.) Miégev. [sub],.,.,.,.,1,.,.,.,.,1,.,.,,,Hypericum pulchrum L.,+,+,1,.,1,.,+,1,2,1,1,+,1,1,.,,,Erica vagans L.,4,3,2,2,3,.,.,,,Erica cinerea L.,1,2,,,Poa nemoralis L.,2,.,3,2
m,Hypnum cupressiforme,3,2,3,.,.,.,.,1,.,.,,,Mercurialis perennis L.,2,+,.,.,+,.,.,.,.,,,Anemone nemorosa L.,.,1,1,.,1,.,,,Lathyrus linifolius (Reichard) Bässler,.,.,.,.,.,.,.,.,.,.,+,+,+,+,.,1,.,.,+,.,,,Prunus spinosa L.,3,,,Andryala integrifolia L.,+,.,.,,,Polygala vulgaris L.,+,,,Pulmonaria longifolia (Bast.) Boreau,+,.,+,.,,,Lonicera periclymenum L.,2,2,.,,,Ilex aquifolium L.,2,2,3,,,Crataegus monogyna Jacq.,.,+,.,+,+,.,.,+,.,+,.,1,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],1,1,1,2,1,.,.,1,1,1,+,2,.,.,.,,,Calluna vulgaris (L.) Hull,1,2,.,2,2,.,1,,,Asphodelus albus Mill.,2,1,,,Corylus avellana L.,.,+,.,.
,Galium pumilum Murray,+,.,.,+,.,+,1,.,+,.,,,Quercus petraea (Matt.) Liebl.,+,1,.,.,.,.,.,.,.,,,Sorbus aria (L.) Crantz,+,+,.,.,.,.,,,Hypericum pulchrum L.,+,.,+,.,.,+,.,.,.,.,.,.,.,+,.,2,.,.,.,.,,,Galium aparine L. subsp. spurium (L.) Hartm. [sub],1,,,Brachypodium sylvaticum (Huds.) P. Beauv.,2,.,.,,,Jasione montana L.,+,,,Stachys sylvatica L.,1,.,.,1,,,Poa nemoralis L.,1,1,.,,,Rubus ulmifolius Schott,+,2,2,,,Dactylis glomerata L.,1,.,.,+,1,.,.,2,.,.,1,1,,,Sorbus aria (L.) Crantz,+,+,.,+,+,+,.,+,.,+,.,+,.,.,+,,,Genista pilosa L.,+,.,.,+,+,2,.,,,Arctostaphylos uva-ursi (L.) Spreng. [sub],1,2,,,Helleborus foetidus L.,2,.,.,.
,Vicia tenuifolia Roth,(+),.,.,.,.,.,.,.,.,.,,,Holcus mollis L. subsp. reuteri (Boiss.) Tutin,1,.,.,1,.,.,.,.,.,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],1,.,1,.,.,.,,,Acer campestre L.,.,+,.,.,.,.,.,.,.,.,1,.,.,1,.,.,.,.,.,+,,,Prunus mahaleb L.,1,,,Campanula rapunculus L.,+,.,.,,,Daboecia cantabrica (Huds.) K. Koch,+,,,Prunus avium L.,1,.,.,1,,,Helleborus foetidus L.,2,2,.,,,Frangula alnus Mill.,.,2,+,,,Erica australis L. [sub],.,.,.,.,.,+,.,.,.,.,.,.,,,Fagus sylvatica L.,+,+,+,.,+,+,.,1,.,1,.,.,.,.,+,,,Genista anglica L.,.,+,.,.,.,.,.,,,Pinus sylvestris L.,+,+,,,Potentilla micrantha Ramond ex DC. in Lam. & DC.,2,.,.,.
,Carex sp.,+,.,.,.,.,.,2,.,.,.,,,Physospermum cornubiense (L.) DC.,1,.,.,.,+,.,.,.,.,,,Helleborus viridis L. subsp. occidentalis (Reut.) Schiffn. [sub],.,1,.,1,.,.,,,Holcus mollis L.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,,,"Rubus vigoi R. Roselló, Peris & Stübing",1,,,Cynosurus echinatus L.,1,.,.,,,,,,,Iris foetidissima L. [sub],1,.,.,+,,,Prunella grandiflora (L.) Scholler,2,2,.,,,Euphorbia amygdaloides L.,.,.,1,,,Erica arborea L.,.,.,.,+,1,.,1,1,.,.,.,.,,,Brachypodium sylvaticum (Huds.) P. Beauv.,2,+,+,+,.,1,2,.,.,.,.,.,.,.,1,,,Asphodelus albus Mill.,1,1,2,2,2,2,2,,,Genista anglica L.,+,.,,,Rosa sp.,+,.,.,.
,Teucrium scorodonia L.,+,.,+,+,(+),.,+,.,+,.,,,Melica uniflora Retz.,.,1,2,.,.,.,.,.,.,,,Centaurea nigra L. subsp. carpetana (Boiss. & Reut.) Nyman [sub],.,1,.,.,1,.,,,Sanicula europaea L.,.,.,.,.,.,.,.,.,.,.,2,.,.,+,.,.,.,.,.,.,,,Rosa rubiginosa L.,2,,,Digitalis purpurea L.,+,.,.,,,,,,,Arum cylindraceum Gasp.,+,.,.,+,,,Crepis lampsanoides (Gouan) Tausch,2,1,.,,,Lonicera periclymenum L.,.,.,+,,,Erica cinerea L.,.,.,1,+,.,+,2,.,.,.,.,.,,,Vicia sepium L.,1,1,1,+,1,.,2,1,.,.,.,.,.,.,.,,,Pinus sylvestris L.,4,+,2,+,1,3,2,,,Stachys officinalis (L.) Trevis.,+,.,,,Rosa sp.,+,.,.,.
