,,1,2,3,4,5,6,,,,1,,,,1,2,3,4,5,6,7,,,,,,
,Lithodora prostrata (Loisel.) Griseb. subsp. lusitanica (Samp.) Valdés. [sub],.,+,.,.,.,.,,,,,,,Cistus crispus L.,.,+,.,.,.,.,+,,,Rubia peregrina L. [sub],1,.,.
,Margotia gummifera (Desf.) Lange in Willk. & Lange [sub],.,+,.,.,.,.,,,,,,,Lavandula pedunculata Cav. subsp. ambigua Mnzs. [sub],.,.,.,.,+,.,1,,,Daphne gnidium L.,.,+,.
,Cytisus striatus (Hill) Rothm.,.,.,1,.,.,.,,,,,,,Pterospartum tridentatum (L.) Willk. in Willk. & Lange [sub],.,.,.,.,+,+,.,,,Lonicera implexa Aiton,.,.,.
,Silene latifolia Poir.,.,.,+,.,.,.,,,,,,,Tuberaria lignosa (Sweet) Samp.,+,.,.,.,+,.,.,,,Rhamnus alaternus L.,.,.,.
,Cistus psilosepalus Sweet,.,.,+,.,.,.,,,,,,,Andryala integrifolia L.,.,+,.,.,.,.,+,,,Smilax aspera L.,.,.,.
,Halimium calycinum (L.) K. Koch,.,.,.,+,.,.,,,,,,,Euphorbia exigua L.,.,.,+,.,.,.,.,,,Asparagus aphyllus L.,+,+,.
,Pinus pinea L.,.,.,.,2,.,.,,,,,,,Orchis mascula (L.) L.,.,.,+,.,.,.,.,,,Arisarum simorrhinum Durieu [sub],.,.,.
,Asphodelus ramosus L.,.,.,.,.,.,+,,,,,,,Cytinus hypocistis (L.) L. subsp. macranthus Wettst. [sub],.,.,.,+,.,.,.,,,Phillyrea angustifolia L.,1,+,1
,,,,,,,,,,,,,,Magydaris panicifolia,.,.,.,+,.,.,.,,,Asparagus acutifolius L.,.,.,.
,,,,,,,,,,,,,,Asphodelus aestivus Brot.,.,.,.,.,+,.,.,,,Jasminum fruticans L.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Arbutus unedo L.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Selaginella denticulata (L.) Spring,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Teucrium fruticans L.,+,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Anemone palmata L.,.,+,.
,,,,,,,,,,,,,,,,,,,,,,,,Osyris alba L.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Phillyrea latifolia L. [sub],.,.,.
