,,1,2,3,4,5,6,7,8,9,10
,Taeniatherum caput-medusae (L.) Nevski [sub],.,.,+,+,.,+,.,+,+,+
,Scilla autumnalis L.,+,.,.,+,+,.,+,+,+,.
,Leucojum autumnale L.,.,+,.,+,+,.,+,.,+,.
,Brachypodium distachyon (L.) P. Beauv.,+,.,+,+,+,+,.,+,+,.
,Rumex acetosella L.,+,.,+,+,.,+,+,+,+,+
,Pulicaria paludosa Link [sub],.,+,.,.,+,+,+,.,.,.
,Melica ciliata L. subsp. magnolii (Gren. & Godr.) Husnot [sub],.,+,.,.,+,.,.,.,+,.
,Gladiolus reuteri Boiss.,+,.,.,+,.,+,.,.,+,.
,Trifolium glomeratum L.,+,.,+,+,+,+,.,+,+,.
,Aira caryophyllea L.,.,+,.,+,.,.,.,+,+,+
,Molineriella minuta (L.) Rouy [sub],+,.,+,.,+,.,+,+,1,.
,Anemone palmata L.,.,.,.,+,.,+,+,+,.,+
,Bellis annua L.,+,.,+,+,+,+,+,+,+,.
,Dactylis glomerata L.,+,+,.,.,.,+,+,+,1,.
,Narcissus serotinus Loefl. ex L.,.,+,.,.,.,.,.,.,+,.
,Chaetonychia cymosa (L.) Sweet [sub],.,.,.,.,.,.,.,+,+,.
,Hymenocarpos cornicina (L.) Vis. [sub],.,+,.,.,.,.,.,.,+,.
,Gaudinia fragilis (L.) P. Beauv.,+,.,.,.,.,+,.,.,+,.
,Aristolochia pistolochia L.,.,+,.,.,+,.,.,+,.,.
,Ornithogalum broteroi M. Laínz [sub],.,.,.,.,.,.,.,.,+,+
