,,1,2,3,4,5,6,7,8,9,,,,1,2,3,4,5,6,7,8,9,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,1,2,3,4,5,6,,,,1,2,3,4,,,,1,2,3,,,,1,2,3,4,5,6,,,,1,2,3,4,5,6,7,8,9,10,,,,1,2,3,4,5,6,7,8,9,10,11,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,1,2,3,4,5,6,7,8,9,10,11
,Teucrium fruticans L.,.,.,.,.,1,.,.,.,.,,,Asparagus acutifolius L.,.,.,.,.,1,.,.,.,.,,,Rosa canina L.,+,+,.,.,1,+,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Cytisus multiflorus (L'Hér.) Sweet,+,+,.,.,+,.,,,Myrtus communis L.,.,.,.,.,2,3,2,.,.,.,,,Asplenium onopteris L.,.,.,+,.,.,1,.,1,1,.,.,,a,Crataegus monogyna Jacq.,.,.,.,.,.,.,.,.,2,.,.,2,,,Dianthus lusitanus Brot.,.,+,.,.,.,.,.,.,.,.,.
,Arisarum simorrhinum Durieu,.,.,.,.,2,.,.,.,.,,,Arisarum simorrhinum Durieu,.,.,.,.,1,.,.,.,.,,,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira [sub],+,.,.,.,.,.,1,+,.,+,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Ulex minor Roth,.,.,3,1,.,.,,,Plantago lanceolata L.,1,.,.,+,.,.,.,.,.,.,,,Vincetoxicum nigrum (L.) Moench,.,.,.,.,.,+,.,+,+,+,.,,h,Cynosurus echinatus L.,1,r,.,.,.,.,.,.,.,.,.,.,,,Erica arborea L.,.,1,.,.,.,.,.,.,.,.,.
,Asparagus acutifolius L.,.,.,.,.,1,.,.,.,.,,,Teucrium fruticans L.,.,.,.,.,1,.,.,.,.,,,Cistus populifolius L.,.,1,+,1,.,.,1,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Cytisus striatus (Hill) Rothm. [sub],.,.,+,.,.,1,,,Epipactis lusitanica Tyteca,+,+,.,.,.,.,.,.,.,.,,,Quercus broteroi (Cout.) Rivas-Martínez,+,+,.,.,.,.,.,.,.,.,.,,h,Cynosurus effusus Schrad. [sub],r,.,r,.,.,.,.,.,.,.,.,.,,,Erica umbellata Loefl. ex L.,.,1,.,.,.,.,.,.,.,.,.
,Phillyrea angustifolia L.,.,.,.,.,.,+,.,.,.,,,Phillyrea angustifolia L.,.,.,.,.,.,+,.,.,.,,,Cynosurus echinatus L.,.,.,.,.,1,1,+,1,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman,.,.,+,.,.,1,,,Cytisus scoparius (L.) Link,.,.,3,.,.,.,.,.,.,2,,,Quercus suber L.,1,1,2,.,.,.,.,.,.,.,.,,h,Cytinus hypocistis (L.) L.,.,.,.,.,.,.,.,.,.,.,r,.,,,Geranium lucidum L.,.,+,.,.,.,.,.,.,.,.,.
,Cytisus scoparius (L.) Link,+,.,+,2,2,1,2,.,.,,,Cytisus scoparius (L.) Link,+,.,+,1,1,1,1,.,.,,,Pterospartum tridentatum (L.) Willk. in Willk. & Lange subsp. lasianthum (Spach) Talavera & Gibbs [sub],.,.,.,.,.,.,2,+,.,+,+,.,,,,,,,,,,,,,,,,,,,,,,,,,Digitalis purpurea L. subsp. purpurea,.,.,.,1,.,+,,,Cytinus hypocistis (L.) L.,.,1,.,.,.,.,.,.,1,.,,,Lonicera implexa Aiton,.,.,.,+,+,+,1,1,.,+,.,,a,Cytisus scoparius (L.) Link,.,.,.,.,.,.,.,.,.,.,.,r,,,Geranium purpureum Vill. [sub],.,1,.,.,.,.,.,.,.,.,.
,Cytisus striatus (Hill) Rothm.,.,.,.,1,+,.,.,.,.,,,Cytisus striatus (Hill) Rothm.,.,.,.,1,+,.,.,.,.,,,Hedera helix L.,.,.,.,1,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Geranium purpureum Vill.,.,+,.,.,1,.,,,Pteridium aquilinum (L.) Kuhn in Kerst.,.,.,.,.,1,.,.,.,.,1,,,Viburnum tinus L.,.,.,+,+,.,+,1,1,.,.,+,,a,Cytisus striatus (Hill) Rothm.,.,.,.,.,.,.,.,.,(+),.,r,.,,,Halimium umbellatum (L.) Spach subsp. viscosum (Willk.) O. Bolòs & Vigo,.,+,.,.,.,.,.,.,.,.,.
,Genista florida L.,.,.,.,1,.,.,2,.,.,,,Genista florida L.,.,.,.,1,.,.,1,.,.,,,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,.,.,.,+,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Conopodium majus (Gouan) Loret in Loret & Barrandon subsp. marizianum (Samp.) López Udias & Mateo,.,+,.,.,.,+,,,Scrophularia scorodonia L.,.,.,.,.,.,.,1,.,1,.,,,Asparagus acutifolius L.,2,2,1,1,1,1,.,.,.,.,.,,h,Dactylis glomerata L.,.,.,.,.,.,.,.,.,r,.,.,.,,,Holcus lanatus L.,.,1,.,.,.,.,.,.,.,.,.
,Cistus psilosepalus Sweet,+,.,.,1,.,1,1,.,+,,,Cistus psilosepalus Sweet,+,.,.,1,.,1,1,.,+,,,Allium massaessylum Batt. & Trab.,.,.,.,.,.,+,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Erica cinerea L.,.,.,+,+,.,.,,,Ruscus aculeatus L.,2,.,.,.,.,.,.,.,.,.,,,Phillyrea angustifolia L.,1,1,.,.,.,+,.,.,.,.,1,,a,Daphne gnidium L.,.,.,r,.,.,.,+,.,1,(+),r,r,,,Hypochaeris radicata L.,.,1,.,.,.,.,.,.,.,.,.
,Lavandula pedunculata Cav. [sub],.,.,+,1,+,.,2,2,1,,,Lavandula pedunculata Cav. [sub],.,.,+,1,+,.,1,2,1,,,Thapsia nitida Lacaita,.,.,.,.,.,.,.,.,.,.,.,1,,,,,,,,,,,,,,,,,,,,,,,,,Pseudarrhenatherum longifolium (Thore) Rouy,.,.,.,+,.,+,,,Pyrus bourgaeana Decne.,1,.,.,.,.,.,.,.,.,.,,,Osyris alba L.,1,2,1,1,.,.,+,.,+,1,.,,h,Digitalis purpurea L.,.,.,.,.,.,.,.,.,.,.,.,r,,,Leucanthemopsis flaveola (Hoffmanns. & Link) Heywood [sub],.,1,.,.,.,.,.,.,.,.,.
,Urginea fugax (Moris) Steinh. [sub],.,.,.,+,.,+,.,1,1,,,Urginea fugax (Moris) Steinh. [sub],.,.,.,+,.,+,.,1,1,,,Sanguisorba hybrida (L.) Font Quer,.,.,.,.,.,.,.,.,.,.,.,1,,,,,,,,,,,,,,,,,,,,,,,,,Asphodelus lusitanicus Cout. [sub],.,.,.,3,.,.,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,1,.,.,.,.,.,.,.,.,.,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],+,.,.,+,.,+,.,+,.,.,.,,h,Dipcadi serotinum (L.) Medik.,.,.,.,.,.,.,.,.,+,.,.,.,,,Linaria nivea Boiss. & Reut.,.,+,.,.,.,.,.,.,.,.,.
,Asphodelus aestivus Brot.,1,.,.,.,1,.,2,.,.,,,Asphodelus aestivus Brot.,1,.,.,.,1,.,1,.,.,,,Pistacia terebinthus L.,.,+,.,+,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Pinus pinaster Aiton,.,.,2,.,.,.,,,Arisarum simorrhinum Durieu [sub],1,.,.,.,.,.,.,.,.,.,,,Pteridium aquilinum (L.) Kuhn in Kerst.,.,.,1,2,1,1,2,.,+,.,2,,h,Elaeoselinum foetidum (L.) Boiss.,.,.,.,.,.,.,.,.,.,.,.,r,,,Quercus rotundifolia Lam.,.,2,.,.,.,.,.,.,.,.,.
,Cistus salviifolius L. [sub],.,.,+,.,.,.,.,2,1,,,Cistus salviifolius L. [sub],.,.,+,.,.,.,.,2,1,,,Paeonia broteri Boiss. & Reut. [sub],.,.,.,.,.,.,.,.,.,.,+,1,,,,,,,,,,,,,,,,,,,,,,,,,Calluna vulgaris (L.) Hull,.,.,1,.,.,.,,,Genista triacanthos Brot.,.,2,.,.,.,.,.,.,.,.,,,Aristolochia paucinervis Pomel,.,.,.,1,+,.,+,+,1,.,+,,a,Erica arborea L.,.,r,(+),.,.,+,(+),.,.,.,.,.,,,Sedum brevifolium DC.,.,+,.,.,.,.,.,.,.,.,.
,Adenocarpus anisochilus Boiss.,.,.,.,1,.,+,.,.,.,,,Adenocarpus anisochilus Boiss.,.,.,.,1,.,+,.,.,.,,,Asparagus acutifolius L.,.,.,.,.,.,.,.,.,.,.,.,+,,,,,,,,,,,,,,,,,,,,,,,,,Fraxinus angustifolia Vahl subsp. angustifolia,1,.,.,.,.,.,,,,,,,,,,,,,,,,Cytisus scoparius (L.) Link,.,.,.,1,.,+,3,.,.,.,1,,a,Erica scoparia L.,.,.,r,.,.,.,.,.,.,.,r,.,,,Sedum forsterianum Sm. in Sowerby,.,1,.,.,.,.,.,.,.,.,.
,Cistus ladanifer L.,.,.,.,.,+,.,.,.,1,,,Cistus ladanifer L.,.,.,.,.,+,.,.,.,1,,,Pteridium aquilinum (L.) Kuhn in Kerst.,1,.,+,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Ulmus minor Mill.,.,.,.,.,.,1,,,,,,,,,,,,,,,,Pinus pinaster Aiton,.,.,.,1,.,+,3,.,.,.,3,,h,Erophaca baetica (L.) Boiss.,.,.,.,.,.,+,.,.,.,r,.,.,,,Stellaria media (L.) Vill.,.,+,.,.,.,.,.,.,.,.,.
,Cytisus multiflorus (L'Hér.) Sweet,.,.,.,.,1,.,.,2,+,,,Cytisus multiflorus (L'Hér.) Sweet,.,.,.,.,1,.,.,1,+,,,Adenocarpus telonensis (Loisel.) DC. in Lam. & DC.,1,.,.,1,1,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Agrostis stolonifera L.,.,.,.,+,.,.,,,,,,,,,,,,,,,,Cistus psilosepalus Sweet,.,.,+,.,+,.,.,1,+,.,2,,h,"Euphorbia paniculata Desf. subsp. monchiquensis (Franco & P. Silva) Vicens, Molero & C. Blanché [sub]",.,.,.,.,.,.,.,.,.,.,(+),.,,,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,.,+,.,.,.,.,.,.,.,.,.
,Erica australis L.,.,.,.,.,.,.,.,2,1,,,Erica australis L.,.,.,.,.,.,.,.,2,1,,,Lavandula pedunculata Cav. [sub],1,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Anthoxanthum amarum Brot.,.,.,+,.,.,.,,,,,,,,,,,,,,,,Holcus lanatus L.,.,.,.,.,.,+,+,.,.,+,+,,h,Festuca elegans Boiss.,1,.,.,.,.,.,.,.,.,.,.,.,,,Andryala integrifolia L.,.,.,+,.,.,.,.,.,.,.,.
,Calluna vulgaris (L.) Hull,.,.,.,.,.,.,.,2,.,,,Calluna vulgaris (L.) Hull,.,.,.,.,.,.,.,1,.,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],.,+,.,+,.,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Arrhenatherum album (Vahl) W. D. Clayton,.,.,+,.,.,.,,,,,,,,,,,,,,,,Ficus carica L.,+,+,.,+,.,.,.,.,.,.,.,,h,Gagea nevadensis Boiss. [sub],.,.,.,.,+,.,.,.,.,.,.,.,,,Helictochloa marginata (Lowe) Romero Zarco [sub],.,.,+,.,.,.,.,.,.,.,.
,Helichrysum italicum (Roth) G. Don in Loudon subsp. serotinum (Boiss.) P. Fourn.,.,.,.,+,.,.,.,1,+,,,Helichrysum italicum (Roth) G. Don in Loudon subsp. serotinum (Boiss.) P. Fourn. [sub],.,.,.,+,.,.,.,1,+,,,Limodorum trabutianum Batt.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens,.,.,.,.,+,.,,,,,,,,,,,,,,,,Dactylis glomerata L.,.,.,.,.,.,+,.,.,.,1,+,,a,Genista hirsuta Vahl,.,.,.,.,.,.,.,.,.,+,.,.,,,Carlina corymbosa L.,.,.,1,.,.,.,.,.,.,.,.
,Asphodelus albus Mill.,.,.,1,.,.,2,.,.,.,,,Asphodelus albus Mill.,.,.,1,.,.,2,.,.,.,,,Vincetoxicum nigrum (L.) Moench,.,.,.,+,.,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Arum italicum Mill. subsp. neglectum (Towns.) Prime,.,.,.,.,.,+,,,,,,,,,,,,,,,,Bryonia dioica Jacq.,.,.,+,+,.,.,.,.,.,.,.,,h,Geranium dissectum L.,.,.,.,.,+,.,.,.,.,.,.,.,,,Digitalis purpurea L.,.,.,1,.,.,.,.,.,.,.,.
,Lotus corniculatus L. subsp. carpetanus (Lacaita) Rivas Mart. [sub],.,.,+,.,.,.,.,1,.,,,Lotus corniculatus L. subsp. carpetanus (Lacaita) Rivas Mart. [sub],.,.,+,.,.,.,.,1,.,,,Acer monspessulanum L.,.,.,+,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Helictochloa albinervis (Boiss.) Romero Zarco subsp. gaditana (Romero Zarco) Romero Zarco [sub],.,.,+,.,.,.,,,,,,,,,,,,,,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],.,.,.,.,.,.,.,.,.,1,1,,h,Geranium lucidum L.,r,.,.,.,.,.,.,.,.,.,.,.,,,Jasione montana L.,.,.,+,.,.,.,.,.,.,.,.
,Thymus mastichina L.,.,.,.,.,.,.,.,1,1,,,Thymus mastichina L.,.,.,.,.,.,.,.,1,1,,,Doronicum plantagineum L.,.,.,+,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Cistus ladanifer L. subsp. ladanifer [sub],+,.,.,.,.,.,,,,,,,,,,,,,,,,Erica arborea L.,.,.,.,.,.,.,1,2,.,.,+,,h,Geranium purpureum Vill.,r,.,r,+,.,.,.,.,.,.,.,r,,,Urginea fugax (Moris) Steinh. [sub],.,.,.,+,.,.,.,.,.,.,.
,Clinopodium vulgare L.,.,1,1,1,.,1,.,.,.,,,Clinopodium vulgare L.,.,1,1,1,.,1,.,.,.,,,Pimpinella villosa Schousb.,.,.,.,1,.,.,.,1,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Cistus salviifolius L.,+,.,.,.,.,.,,,,,,,,,,,,,,,,Adenocarpus complicatus (L.) J. Gay in Durieu,.,.,.,.,+,.,.,.,+,.,.,,h,Geum sylvaticum Pourr.,.,.,.,.,.,.,.,.,r,.,.,.,,,Senecio lividus L.,.,.,.,.,1,.,.,.,.,.,.
,Origanum virens Hoffmanns. & Link,.,1,1,1,2,.,.,1,+,,,Origanum virens Hoffmanns. & Link,.,1,1,1,+,.,.,1,+,,,Eucaliptus camaldulensis,.,.,.,2,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Cytisus grandiflorus (Brot.) DC. subsp. grandiflorus,+,.,.,.,.,.,,,,,,,,,,,,,,,,Carex muricata L. subsp. pairaei (F. Schultz) Asch. & Graebn. [sub],.,.,.,.,+,.,.,.,1,.,.,,h,Holcus lanatus L.,.,.,.,.,.,.,.,.,.,.,.,r,,,Lithodora prostrata (Loisel.) Griseb. subsp. lusitanica (Samp.) Valdés.,.,.,.,.,1,.,.,.,.,.,.
,Teucrium scorodonia L.,.,1,.,1,2,1,.,.,.,,,Teucrium scorodonia L.,.,1,.,1,1,1,.,.,.,,,Hypericum perforatum L.,.,.,.,.,+,.,.,+,.,.,+,.,,,,,,,,,,,,,,,,,,,,,,,,,Echium rosulatum Lange,.,.,.,.,.,+,,,,,,,,,,,,,,,,Scrophularia scorodonia L.,.,.,.,.,.,.,.,.,+,.,+,,h,Holcus annuus C.A. Mey subsp. setiglumis (Boiss. & Reut.) M. Seq. & Castrov. [sub],.,.,.,.,.,.,+,.,r,.,.,.,,,Adenocarpus anisochilus Boiss.,.,.,.,.,.,+,.,.,.,.,.
,Brachypodium sylvaticum (Huds.) P. Beauv.,.,1,1,2,.,1,.,.,.,,,Brachypodium sylvaticum (Huds.) P. Beauv.,.,1,1,1,.,1,.,.,.,,,Helichrysum stoechas (L.) Moench,.,.,.,.,.,+,.,1,.,.,+,.,,,,,,,,,,,,,,,,,,,,,,,,,Galium mollugo L. subsp. mollugo,.,.,.,.,.,+,,,,,,,,,,,,,,,,Lavandula pedunculata Cav. [sub],.,.,.,.,.,+,.,.,.,.,+,,h,Hypericum perforatum L.,.,.,.,.,.,.,.,.,.,r,.,r,,,Andryala integrifolia L.,.,.,.,.,.,+,.,.,.,.,.
,Lychnis coronaria (L.) Desr.,.,.,.,2,.,+,.,.,.,,,Lychnis coronaria (L.) Desr.,.,.,.,1,.,+,.,.,.,,,Lonicera etrusca G. Santi,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Galium pumilum Murray subsp. papillosum (Lapeyr.) O. Bolòs [sub],.,.,.,+,.,.,,,,,,,,,,,,,,,,Leucanthemum vulgare Lam.,.,.,.,.,.,1,1,.,.,.,.,,a,Juniperus oxycedrus L.,r,+,r,.,+,+,r,.,.,.,.,.,,,Arbutus unedo L.,.,.,.,.,.,1,.,.,.,.,.
,Lathyrus latifolius L.,.,.,1,1,1,.,.,.,.,,,Lathyrus latifolius L.,.,.,1,1,1,.,.,.,.,,,Genista triacanthos Brot.,.,.,.,.,.,.,1,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Genista falcata Brot.,+,.,.,.,.,.,,,,,,,,,,,,,,,,Solidago virgaurea L.,.,.,.,.,.,+,+,.,.,.,.,,a,Lonicera implexa Aiton,+,.,(+),.,.,.,.,.,r,r,1,.,,,Centranthus calcitrapae (L.) Dufr.,.,.,.,.,.,+,.,.,.,.,.
,Lathyrus niger (L.) Bernh.,.,1,1,.,.,.,.,.,.,,,Lathyrus niger (L.) Bernh.,.,1,1,.,.,.,.,.,.,,,Polygala microphylla L.,.,.,.,.,.,+,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Hypericum perforatum L. subsp. perforatum,.,.,.,+,.,.,,,,,,,,,,,,,,,,Centaurea nigra L. subsp. carpetana (Boiss. & Reut.) Nyman [sub],.,.,.,.,.,+,+,.,.,.,.,,h,Moehringia pentandra J. Gay,r,.,.,.,.,.,.,.,.,.,.,.,,,Laurus nobilis L.,.,.,.,.,.,1,.,.,.,.,.
,Silene latifolia Poir. [sub],.,.,1,1,1,1,.,.,.,,,Silene latifolia Poir. [sub],.,.,1,1,1,1,.,.,.,,,Geranium rotundifolium L.,.,.,.,.,.,+,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Lavandula pedunculata Cav. [sub],+,.,.,.,.,.,,,,,,,,,,,,,,,,Antirrhinum graniticum Rothm.,+,+,.,.,.,.,.,.,.,.,.,,h,Myosotis ramosissima Rochel in Schult.,r,.,.,.,.,.,.,.,.,.,.,.,,,Lonicera implexa Aiton,.,.,.,.,.,1,.,.,.,.,.
,Silene nutans L.,.,1,1,.,.,.,.,.,.,,,Silene nutans L.,.,1,1,.,.,.,.,.,.,,,Lathyrus latifolius L.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Lotus corniculatus L. subsp. carpetanus (Lacaita) Rivas Mart.,.,.,.,+,.,.,,,,,,,,,,,,,,,,Ferula communis L.,+,+,.,.,.,.,.,.,.,.,.,,h,Origanum virens Hoffmanns. & Link,.,.,.,.,.,.,.,.,r,r,r,r,,,Osyris alba L.,.,.,.,.,.,1,.,.,.,.,.
,Galium mollugo L. subsp. erectum (Huds.) Syme [sub],.,.,1,1,1,.,.,.,.,,,Galium mollugo L. subsp. erectum (Huds.) Syme [sub],.,.,1,1,1,.,.,.,.,,,Vicia tenuifolia Roth,.,.,.,.,.,.,1,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Malva tournefortiana L.,.,.,.,.,.,+,,,,,,,,,,,,,,,,Cistus ladanifer L. [sub],.,.,.,.,.,.,.,.,.,1,1,,h,Ornithopus compressus L.,.,.,.,.,+,.,.,.,.,.,.,.,,,Scrophularia scorodonia L.,.,.,.,.,.,+,.,.,.,.,.
,Leucanthemum vulgare Lam. subsp. pallens (J.Gay) Briq. & Cavill. [sub],.,1,1,1,.,.,.,.,.,,,Leucanthemum vulgare Lam. subsp. pallens (J.Gay) Briq. & Cavill. [sub],.,1,1,1,.,.,.,.,.,,,Carlina racemosa L.,.,.,.,.,.,.,+,+,.,.,+,.,,,,,,,,,,,,,,,,,,,,,,,,,Ornithogalum pyrenaicum L.,+,.,.,.,.,.,,,,,,,,,,,,,,,,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens [sub],.,.,.,.,.,.,.,+,.,.,+,,a,Osyris alba L.,.,.,.,.,.,.,.,.,.,r,.,.,,,Ulex minor Roth,.,.,.,.,.,+,.,.,.,.,.
,Calamintha nepeta (L.) Savi subsp. nepeta [sub],.,.,.,.,.,1,.,1,.,,,Calamintha nepeta (L.) Savi subsp. nepeta [sub],.,.,.,.,.,1,.,1,.,,,Quercus Xneooirei_X_numantina,.,.,.,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Polypodium cambricum L. subsp. cambricum,.,+,.,.,.,.,,,,,,,,,,,,,,,,Cytisus multiflorus (L'Hér.) Sweet,.,.,.,.,.,.,.,.,.,+,+,,h,Paeonia broteri Boiss. & Reut. [sub],r,(+),1,+,+,.,1,.,1,r,r,(+),,,Vicia disperma DC.,.,.,.,.,.,+,.,.,.,.,.
,Solidago virgaurea L.,.,1,.,1,.,.,.,.,.,,,Solidago virgaurea L.,.,1,.,1,.,.,.,.,.,,,Malva tournefortiana L.,.,.,.,.,.,.,.,.,1,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Rosa canina L.,.,+,.,.,.,+,,,,,,,,,,,,,,,,Achnatherum bromoides (L.) P. Beauv. [sub],.,.,.,.,.,+,.,.,.,+,.,,a,Phillyrea angustifolia L.,.,.,r,.,.,.,r,+,r,2,r,.,,,Helichrysum stoechas (L.) Moench,.,.,.,.,.,.,+,.,.,.,.
,Melittis melissophyllum L.,1,1,.,.,.,.,1,.,.,,,Melittis melissophyllum L.,1,1,.,.,.,.,1,.,.,,,Ornithogalum umbellatum L.,.,.,.,.,.,.,.,.,.,.,.,+,,,,,,,,,,,,,,,,,,,,,,,,,Salix atrocinerea Brot.,.,.,.,.,.,+,,,,,,,,,,,,,,,,Bituminaria bituminosa (L.) C.H. Stirt. [sub],.,.,.,.,.,.,.,+,.,.,+,,a,Phillyrea latifolia L.,.,.,.,(+),.,.,(+),.,.,.,.,r,,,Adenocarpus complicatus (L.) J. Gay in Durieu,.,.,.,.,.,.,.,1,.,.,.
,Astragalus glycyphyllos L.,.,1,+,.,.,.,.,.,.,,,Astragalus glycyphyllos L.,.,1,+,.,.,.,.,.,.,,,Adenocarpus complicatus (L.) J. Gay in Durieu,.,.,.,.,.,.,.,.,.,.,.,1,,,,,,,,,,,,,,,,,,,,,,,,,Silene latifolia Poir.,.,.,.,.,.,+,,,,,,,,,,,,,,,,Prunus spinosa L.,.,+,.,.,.,.,.,.,.,.,.,,a,Phlomis purpurea L.,.,.,.,.,.,.,.,.,.,.,r,r,,,Arbutus unedo L.,.,.,.,.,.,.,.,1,.,.,.
,Rumex acetosa L.,.,1,.,.,.,.,.,.,.,,,Rumex acetosa L.,.,1,.,.,.,.,.,.,.,,,Silene aellenii Sennen [sub],.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Silene vulgaris (Moench) Garcke subsp. vulgaris,.,+,.,.,.,.,,,,,,,,,,,,,,,,Celtis australis L.,.,.,.,.,.,+,.,.,.,.,.,,a,Pistacia terebinthus L.,.,.,.,.,.,+,(+),.,.,1,.,.,,,Galium mollugo L.,.,.,.,.,.,.,.,3,.,.,.
,Vicia tenuifolia Roth,.,.,1,.,.,.,.,.,.,,,Vicia tenuifolia Roth,.,.,1,.,.,.,.,.,.,,,Gladiolus communis L. [sub],.,.,.,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Thapsia villosa L.,.,.,.,.,+,.,,,,,,,,,,,,,,,,Linaria triornithophora (L.) Willd.,.,.,.,.,.,.,+,.,.,.,.,,h,Polygonatum odoratum (Mill.) Druce,.,.,.,.,.,.,.,.,r,.,.,.,,,Helichrysum stoechas (L.) Moench,.,.,.,.,.,.,.,+,.,.,.
,Arabis stenocarpa Boiss. & Reut.,.,.,2,.,.,.,.,.,.,,,Tanacetum corymbosum (L.) Sch. Bip.,.,.,1,.,.,.,.,.,.,,,Campanula rapunculus L.,.,.,.,.,.,.,.,.,.,.,.,+,,,,,,,,,,,,,,,,,,,,,,,,,Ulex europaeus L. subsp. latebracteatus (Mariz) Rothm.,.,.,.,+,.,.,,,,,,,,,,,,,,,,Astragalus glycyphyllos L.,.,.,.,.,.,.,+,.,.,.,.,,h,Pteridium aquilinum (L.) Kuhn in Kerst.,.,.,.,.,.,.,.,.,.,r,1,.,,,Holcus setiglumis Boiss. & Reut. subsp. setiglumis [sub],.,.,.,.,.,.,.,+,.,.,.
,Galium scabrum L.,.,.,1,.,.,.,.,.,.,,,Trifolium ochroleucon Huds.,.,.,1,.,.,.,.,.,.,,,Orchis morio L. subsp. champagneuxii (Barnéoud) E.G. Camus [sub],.,.,.,.,.,.,.,.,.,.,.,+,,,,,,,,,,,,,,,,,,,,,,,,,Urginea fugax (Moris) Steinh. [sub],.,.,.,.,.,+,,,,,,,,,,,,,,,,Hypericum montanum L.,.,.,.,.,.,.,+,.,.,.,.,,a,Pyrus bourgaeana Decne.,.,.,.,.,.,.,.,.,.,.,.,1,,,Hypericum perforatum L.,.,.,.,.,.,.,.,+,.,.,.
,Knautia arvensis (L.) Coulter,.,.,1,.,.,.,.,.,.,,,Allium massaessylum Batt. & Trab. [sub],.,.,1,.,.,.,.,.,.,,,Vicia disperma DC.,.,.,.,.,.,.,.,+,.,.,1,.,,,,,,,,,,,,,,,,,,,,,,,,,Vicia cracca L. subsp. incana (Gouan) Rouy [sub],.,.,.,+,.,.,,,,,,,,,,,,,,,,Hieracium murorum L.,.,.,.,.,.,.,1,.,.,.,.,,A,Quercus faginea Lam.,.,.,.,.,.,.,.,.,2,2,.,.,,,Malva tournefortiana L.,.,.,.,.,.,.,.,+,.,.,.
,Bupleurum falcatum L.,.,.,1,.,.,.,.,.,.,,,Helictochloa marginata (Lowe) Romero Zarco [sub],.,.,+,.,.,.,.,.,.,,,Ferula communis L.,.,.,.,.,.,.,.,.,.,.,.,1,,,,,,,,,,,,,,,,,,,,,,,,,Vinca difformis Pourr. [sub],.,.,.,.,.,+,,,,,,,,,,,,,,,,Vicia orobus DC. in Lam. & DC.,.,.,.,.,.,.,.,1,.,.,.,,A,Quercus faginea Lam. subsp. broteroi (Cout.) A. Camus,1,3,3,(+),.,.,(+),(+),.,.,.,.,,,Origanum virens Hoffmanns. & Link,.,.,.,.,.,.,.,+,.,.,.
