,,1,2,3,4,5,6,7,8,9,,,,1,2,3,4,5,6,7,8,9,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,1,2,3,4,5,6,,,,1,2,3,4,,,,1,2,3,,,,1,2,3,4,5,6,,,,1,2,3,4,5,6,7,8,9,10,,,,1,2,3,4,5,6,7,8,9,10,11,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,1,2,3,4,5,6,7,8,9,10,11
,Quercus robur L.,1,.,.,.,.,.,.,.,.,,,Quercus robur L.,1,.,.,.,.,.,.,.,.,,,Daphne gnidium L.,1,+,+,.,1,1,2,1,.,.,2,1,,,Quercus faginea Lam.,1,.,.,.,2,3,,,Quercus suber L.,.,1,1,1,,,Cytisus scoparius (L.) Link,2,+,2,,,Quercus suber L.,2,+,.,.,2,.,,,Calamintha nepeta (L.) Savi [sub],2,2,1,1,.,1,.,1,2,1,,,Vicia tenuifolia Roth,.,.,.,.,+,.,+,+,+,.,.,,h,Asphodelus ramosus L.,.,.,.,.,.,.,.,.,.,.,1,.,,,Cistus psilosepalus Sweet,.,.,1,.,+,2,1,.,1,1,+
,Rubus plicatus Weihe & Nees [sub],+,.,.,.,.,.,.,.,.,,,Ilex aquifolium L.,1,.,.,.,.,.,.,.,.,,,Quercus suber L.,+,1,1,+,.,.,.,3,2,2,3,2,,,Phillyrea angustifolia L.,1,.,1,.,1,.,,,Viburnum tinus L.,+,.,+,.,,,Phillyrea angustifolia L.,1,1,1,,,Crataegus monogyna Jacq. [sub],2,+,.,.,.,1,,,Holcus mollis L.,2,1,2,1,1,1,2,.,.,2,,,Melittis melissophyllum L.,.,.,.,.,.,.,1,+,1,.,1,,h,Asphodelus sp.,.,.,.,.,.,.,.,.,.,.,.,r,,,Cistus ladanifer L. [sub],.,1,1,2,2,+,1,.,.,.,.
,Fraxinus angustifolia Vahl,+,.,.,.,.,.,.,.,.,,,Sambucus nigra L.,1,.,.,.,.,.,.,.,.,,,Asplenium onopteris L.,+,1,+,+,1,1,1,.,+,.,.,.,,,Juniperus oxycedrus L.,1,.,1,+,.,.,,,Carex distachya Desf.,.,.,+,1,,,Cistus populifolius L.,1,1,+,,a,Quercus pyrenaica Willd.,.,3,1,.,.,.,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],2,2,2,2,.,.,1,.,3,2,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,.,.,.,.,.,.,.,1,1,+,1,,h,Asplenium onopteris L.,r,.,.,.,.,.,.,.,.,.,.,.,,,Rubus ulmifolius Schott,2,.,.,.,.,4,1,1,1,.,2
,Hedera helix L.,1,.,.,.,.,.,.,.,.,,,Hedera helix L.,1,.,.,.,.,.,.,.,.,,,Carex distachya Desf.,.,1,1,+,1,+,1,.,.,+,.,.,,,Pistacia terebinthus L.,.,+,2,.,1,.,,,Cistus salviifolius L. [sub],.,1,1,.,,,Daphne gnidium L.,1,+,+,,,Erica arborea L. [sub],.,.,.,3,+,.,,,Daphne gnidium L.,1,1,.,2,.,+,1,1,.,2,,,Fraxinus angustifolia Vahl,+,.,.,.,1,.,.,.,.,.,.,,h,Asterolinon linum-stellatum (L.) Duby in A. DC.,.,.,.,.,+,.,.,.,.,.,.,.,,,Cistus salviifolius L.,3,.,.,.,.,1,.,3,+,.,1
,Sambucus nigra L.,2,.,.,.,.,.,.,.,.,,,Fraxinus angustifolia Vahl,+,.,.,.,.,.,.,.,.,,,Ruscus aculeatus L.,+,1,+,1,.,.,+,.,.,.,.,1,,,Campanula rapunculus L.,.,+,.,1,.,+,,,Ulex borgiae Rivas Mart.,.,+,+,.,,,Lonicera implexa Aiton,+,1,+,,,Aristolochia paucinervis Pomel,.,2,.,.,.,+,,,Conopodium marianicum,1,1,2,3,.,.,.,2,2,1,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],.,.,.,.,1,.,+,.,.,.,.,,h,Bellis sylvestris Cirillo,.,.,.,.,+,.,.,.,.,.,.,.,,,Lavandula pedunculata Cav. [sub],.,.,+,1,1,.,+,.,.,.,.
,Ilex aquifolium L.,2,.,.,.,.,.,.,.,.,,,Rubus plicatus Weihe & Nees [sub],+,.,.,.,.,.,.,.,.,,,Viburnum tinus L.,.,1,1,1,.,+,1,.,+,+,.,.,,,Clinopodium vulgare L.,.,+,1,.,1,.,,,Lavandula stoechas L.,.,+,+,.,,,Campanula rapunculus L.,+,1,+,,,Hedera hibernica (G. Kirchn.) Bean,.,.,.,+,2,.,,,Clinopodium vulgare L. subsp. arundanum (Boiss.) Nyman [sub],1,.,1,.,1,1,.,1,2,2,,,Melica uniflora Retz.,.,.,.,.,.,.,1,.,3,.,+,,h,Bituminaria bituminosa (L.) C.H. Stirt.,.,.,.,.,.,.,.,.,.,.,.,r,,,Crataegus monogyna Jacq.,.,.,.,.,.,1,+,1,.,.,+
,Acer monspessulanum L. [sub],.,+,.,.,.,.,.,.,.,,,Acer monspessulanum L.,.,+,.,.,.,.,.,.,.,,,Quercus rotundifolia Lam.,.,.,.,.,.,+,.,1,1,.,2,.,,,Vincetoxicum nigrum (L.) Moench,.,2,.,.,+,1,,,Calluna vulgaris (L.) Hull,.,+,+,.,,,Viburnum tinus L.,1,+,.,,,Asplenium onopteris L.,.,.,.,+,1,.,,,Aristolochia paucinervis Pomel,.,+,.,+,+,+,1,1,2,.,,,Geranium sanguineum L.,.,.,.,+,.,.,+,+,.,.,.,,h,Brachypodium sylvaticum (Huds.) P. Beauv.,.,.,.,.,.,.,.,.,r,.,.,.,,,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira,.,.,.,1,1,.,+,.,.,.,.
,Holcus mollis L.,.,1,.,.,.,.,.,.,.,,,Holcus mollis L.,.,1,.,.,.,.,.,.,.,,,Genista tournefortii Spach,.,+,+,.,+,1,.,.,.,.,+,1,,,Viburnum tinus L.,2,.,.,2,.,.,,,Holcus lanatus L.,.,+,.,+,,,Cistus ladanifer L. [sub],1,+,.,,,Arenaria montana L. subsp. montana,.,+,.,+,.,.,,,Rubia peregrina L.,2,2,.,.,1,1,.,.,2,1,,,Galium scabrum L.,.,.,.,.,.,.,1,.,1,1,2,,h,Campanula lusitanica L. in Loefl.,r,.,.,.,.,.,.,.,.,.,.,r,,,Asplenium onopteris L.,.,1,.,.,.,1,.,.,.,.,+
,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,.,.,1,.,.,.,.,.,.,,,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,.,.,1,.,.,.,.,.,.,,,Brachypodium sylvaticum (Huds.) P. Beauv.,1,1,1,1,1,1,1,.,+,.,1,+,,,Erophaca baetica (L.) Boiss. [sub],.,.,1,1,.,.,,,Helictochloa albinervis (Boiss.) Romero Zarco [sub],.,+,+,.,,,Hyacinthoides hispanica (Mill.) Rothm.,1,.,1,,,Osyris alba L.,.,.,.,.,3,.,,,Quercus coccifera L.,2,3,2,2,.,2,.,.,.,2,,,Geum sylvaticum Pourr.,.,.,.,.,.,.,1,.,2,.,1,,h,Campanula rapunculus L.,r,.,.,.,.,.,.,.,.,.,.,.,,,Castanea sativa Mill.,.,.,.,.,.,+,.,.,1,2,.
,Arbutus unedo L.,+,.,1,1,.,3,+,.,.,,,Arbutus unedo L.,+,.,1,1,.,2,+,.,.,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],1,1,1,+,1,1,1,2,+,.,2,1,,,Digitalis mariana Boiss.,.,2,.,1,.,.,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],.,.,+,+,,,Asphodelus albus Mill.,+,.,+,,,Polygonatum odoratum (Mill.) Druce,.,2,.,.,.,.,,,Geranium purpureum Vill.,1,1,2,.,.,1,.,1,2,.,,,Physospermum cornubiense (L.) DC.,.,.,.,.,.,.,1,2,.,.,1,,h,Cardamine hirsuta L.,.,.,.,+,+,.,.,.,.,.,.,.,,,Cytisus grandiflorus (Brot.) DC.,.,.,.,.,.,1,.,.,.,1,2
