Taxonomia atual,1,2,3
Armeria pungens (Link) Hoffmanns. & Link,,,
Armeria rouyana Daveau,,,
Armeria transmontana (Samp.) Lawr.,Armeria transmontana (Samp.) G.H.M. Lawr.,,
Arnoseris minima (L.) Schweigg. & Körte,,,
Arrhenatherum album (Vahl) Clayton,Arrhenatherum album (Vahl) W. D. Clayton,,
Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl,,,
Arrhenatherum elatius subsp. baeticum Romero Zarco,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. baeticum Romero Zarco,,
Arrhenatherum elatius subsp. bulbosum (Willd.) Schübl. & G.Martens,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens,,
Arrhenatherum sp.,,,
Artemisia campestris subsp. campestris,Artemisia campestris L. subsp. glutinosa (J. Gay ex DC.) Batt. in Batt. & Trab.,,
Arum cylindraceum Gasp.,,,
Arum italicum Mill.,Arum italicum subsp. italicum,Arum italicum Mill. subsp. italicum,Arum gr. italicum Mill.
Arum italicum subsp. neglectum (F.Towns.) Prime,Arum italicum Mill. subsp. neglectum (Towns.) Prime,,
Arum maculatum L.,,,
Arundo donax L.,,,
Asparagus acutifolius L.,,,
Asparagus albus L.,,,
Asparagus aphyllus L.,,,
Asparagus horridus L.,Asparagus horridus L. fil.,,
Asperula cynanchica L.,,,
Asperula hirsuta Desf.,,,
Asphodelus aestivus Brot.,,,
Asphodelus albus Mill.,Asphodelus albus subsp. albus,,
Asphodelus albus subsp. villarsii (Verl. ex Jord.) I.Richardson & Smythies,Asphodelus albus Mill. subsp. villarsii (Verl. ex Billot) I.Richardson & Smythies,,
Asphodelus fistulosus L.,,,
Asphodelus lusitanicus Cout.,Asplenium trichomanes L. subsp. trichomanes,,
Asphodelus macrocarpus Parl.,,,
Asphodelus ramosus L.,,,
Asphodelus sp.,,,
Asplenium adiantum-nigrum L.,Asplenium adiantum-nigrum subsp. adiantum-nigrum,Asplenium adiantum-nigrum L. subsp. adiantum-nigrum,
Asplenium ceterach L.,,,
"Asplenium obovatum subsp. billotii (F.W.Schultz) O.Bolòs, Vigo, Masalles & Ninot",Asplenium billotii F.W. Schultz,,
Asplenium onopteris L.,,,
Asplenium ruta-muraria L.,,,
Asplenium scolopendrium L.,,,
Asplenium trichomanes L.,,,
Asplenium trichomanes subsp. quadrivalens D.E.Mey.,Asplenium trichomanes L. subsp. quadrivalens D.E. Mey.,,
Asplenium trichomanes subsp. trichomanes,Asplenium trichomanes L. subsp. trichomanes,,
Asteriscus aquaticus (L.) Less.,,,
Astragalus glycyphyllos L.,,,
Astrantia major L.,,,
Athyrium filix-femina (L.) Roth,,,
Atriplex prostrata Boucher ex DC,Atriplex prostrata Boucher ex DC. in Lam. & DC.,,
Avena sterilis L.,,,
Avena sterilis subsp. ludoviciana (Durieu) Gillet & Magne,Avena sterilis L. subsp. ludoviciana (Durieu) Gillet & Magne,,
Avenella flexuosa (L.) Drejer,,,
Avenella flexuosa subsp. stricta (Willk. & Lange) Veldkamp,Avenella stricta,,
Avenochloa filifolia subsp. cantabrica,,,
Avenula stenophylla,,,
"Bartramia pomiformis Hedwig, 1801",,Bartramia pomiformis,
Bellardia trixago (L.) All.,Bartsia trixago L.,,
Bellardia viscosa (L.) Fisch. & C.A.Mey.,Parentucellia viscosa (L.) Caruel in Parl.,,
Bellis annua L.,,,
Bellis perennis L.,,,
Bellis sylvestris Cirillo,,,
Bellis sylvestris subsp. pappulosa (Boiss. & Reut. ex DC.) Coste,,Bellis sylvestris subsp. pappulosa,
Berberis vulgaris L.,,,
Beta maritima L.,,,
Betonica officinalis L.,Stachys officinalis (L.) Trevis.,,
Betonica officinalis var. algeriensis (de Noé) Ball,Stachys officinalis subsp. algerensis,,
Betula pubescens Ehrh.,,,
Biarum arundanum Boiss. & Reut.,,,
Biarum tenuifolium (L.) Schott,,,
Biscutella laevigata L. subsp. stenophylla (L.M. Dufour) Vigo,,,
Biscutella laevigata L.,,Biscutella gr. laevigata L.,
Bituminaria bituminosa (L.) C.H.Stirt.,,,
Blackstonia perfoliata (L.) Huds.,,,
Blackstonia perfoliata subsp. perfoliata (L.) Huds.,Blackstonia perfoliata (L.) Huds. subsp. perfoliata,,
Blechnum spicant (L.) Roth,Blechnum spicant (L.) Roth,Blechnum spicant subsp. spicant var. f_spicant,
Brachypodium distachyon (L.) P.Beauv.,,,
Brachypodium phoenicoides (L.) Roem. & Schult.,,,
Brachypodium pinnatum (L.) P. Beauv.,Brachypodium pinnatum subsp. rupestre (Host) Schübl. & G.Martens,,
Brachypodium retusum (Pers.) P. Beauv.,,,
Brachypodium sylvaticum (Huds.) P. Beauv.,"Brachypodium sylvaticum subsp. sylvaticum (Huds.) P.Beauv., 1812",Brachypodium sylvaticum subsp. sylvaticum,
"Brachythecium rivulare W.P.Schimper, 1853",Brachythecium rivulare,,
Brachythecium sp.,,,
Briza maxima L.,,,
Briza media L.,,,
Briza minor L.,,,
Bromus diandrus Roth,,,
Bromus erectus Huds.,,,
Bromus hordeaceus L.  subsp. hordeaceus ,Bromus hordeaceus L. subsp. hordeaceus,,
Bromus madritensis L.,,,
Bromus ramosus Huds.,,,
Bromus sterilis L.,,,
Bryoerythrophyllum recurvirostrum (Hedw.) P.C.Chen,Erythrophyllum rubellum,,
Bryonia dioica Jacq.,,,
Bryopsida sp.,,,
Bunium bulbocastanum L.,,,
Bupleurum acutifolium Boiss.,,,
Bupleurum falcatum L.,,,
Bupleurum fruticescens Loefl. ex L.,,,
Bupleurum fruticosum L.,,,
Bupleurum rigidum L.,,,
Bupleurum rigidum subsp. paniculatum (Brot.) H.Wolff,Bupleurum rigidum L. subsp. paniculatum (Brot.) H. Wolff in Engl.,Bupleurum puniculatum,
Bupleurum sp.,,,
Calendula arvensis L.,,,
