Taxonomia atual,1,2,3
Echium lusitanicum L.,,,
Echium rosulatum Lange,,,
Elaeoselinum foetidum (L.) Boiss.,Elaeoselinum phoetidum,Eleaeoselinum foetidum,
Ephedra fragilis Desf.,,,
Epilobium lanceolatum Sebast. & Mauri,,,
Epilobium montanum L.,,,
Epilobium obscurum Schreb.,,,
Epipactis atrorubens (Hoffm.) Besser,,,
Epipactis helleborine (L.) Crantz,,,
Epipactis lusitanica D.Tyteca,Epipactis lusitanica Tyteca,,
Epipactis tremolsii Pau,,,
Equisetum telmateia Ehrh.,,,
Erica arborea L.,,,
Erica australis L.,,,
Erica ciliaris L.,,,
Erica cinerea L.,,,
Erica erigena R. Ross,,,
Erica lusitanica Rudolphi,,,
Erica major,,,
Erica scoparia L.,Erica scoparia L. subsp. scoparia,,
Erica sp.,,,
Erica tetralix L.,,,
Erica umbellata L.,Erica umbellata Loefl. ex L.,,
Erica vagans L.,,,
Erigeron canadensis L.,Conyza canadensis (L.) Cronquist,,
"Erodium cicutarium subsp. cicutarium (L.) L'Hér., 1789",Erodium cicutarium (L.) L'Her. in Aiton subsp. bipinnatum (Desf.) Tourlet,,
Erodium sp.,,,
Erophaca baetica (L.) Boiss.,,,
Erophaca baetica subsp. baetica,Erophaca baetica (L.) Boiss. subsp. baetica,,
Erucastrum virgatum subsp. baeticum (Boiss.) Gómez-Campo,Erucastrum virgatum C. Presl subsp. baeticum (Boiss.) Gómez Campo,,
Eryngium campestre L.,,,
Eryngium dilatatum Lam.,,,
Eryngium duriaei Gay ex Boiss.,Eryngium duriaei J. Gay ex Boiss.,,
Eryngium tenue Lam.,,,
Erysimum linifolium (Pers.) J.Gay,Erysimum linifolium (Pourr. ex Pers.) J. Gay,,
Erysimum nevadense Reut.,,,
Erythronium dens-canis L.,Erythronium gr. dens-canis L.,,
Eucalyptus camaldulensis Denham,Eucaliptus camaldulensis,,
Euonymus europaeus L.,,,
Eupatorium cannabinum L.,Eupatorium cannabinum L. subsp. cannabinum,,
Euphorbia amygdaloides L.,Euphorbia amygdaloides L. subsp. amygdaloides,,
Euphorbia angulata Jacq.,,,
Euphorbia boetica Boiss.,,,
Euphorbia characias L.,,,
Euphorbia dulcis L.,,,
Euphorbia exigua L.,,,
Euphorbia hyberna L.,,,
Euphorbia nicaeensis All.,Euphorbia nicaeensis All. subsp. nicaeensis,,
Euphorbia oxyphylla Boiss.,,,
"Euphorbia paniculata subsp. monchiquensis (Franco & P.Silva) Vicens, Molero & C.Blanché",,"Euphorbia paniculata Desf. subsp. monchiquensis (Franco & P. Silva) Vicens, Molero & C. Blanché",
Euphorbia portlandica L.,,,
Euphorbia pterococca Brot.,,,
Euphorbia segetalis L.,,,
Euphorbia sp.,,,
Euphorbia transtagana Boiss.,,,
Fagus sylvatica L.,,,
Ferula communis L.,,,
Ferula communis L.,Ferula communis L. subsp. communis,,
Ferula communis subsp. catalaunica (Pau) Sánchez-Cux. & M.Bernal,,Ferula communis L. subsp. catalaunica (Pau ex C. Vicioso) Sánchez Cuxart & Bernal,
Ferula tingitana L.,,,
Festuca ambigua Le Gall,Vulpia ciliata Dumort.,,
Festuca ampla Hack.,,,
Festuca bromoides L.,Vulpia myuros (L.) C.C. Gmel. subsp. sciuroides (Roth) Rouy,,
Festuca delicatula Lag.,Festuca delicatula,,
Festuca durandoi subsp. livida,,,
Festuca elegans Boiss.,,,
Festuca heterophylla Lam.,"Festuca heterophylla Lam. subsp. braun-blanquetii Fuente, Ortúñez & Ferrero Lom.",,
Festuca iberica (Hack.) K.Richt.,,,
Festuca lachenalii (C.C.Gmel.) Spenn.,Micropyrum tenellum (L.) Link,,
Festuca longiglumis S.L.Lu,Festuca longiglumis,,
Festuca myuros L.,Vulpia myuros (L.) C.C. Gmel.,,
Festuca nigrescens Lam.,Festuca nigrescens Lam. subsp. microphylla (St.-Yves) Markgr.-Dann.,,
Festuca ovina L.,,,
Festuca rothmaleri (Litard.) Markgr.-Dann.,,,
Festuca rubra L.,Festuca rubra L. subsp. pruinosa (Hack.) Piper,,
Festuca rubra L.,,Festuca gr. rubra L.,
Festuca sp.,,,
Festuca summilusitana Franco & Rocha Afonso,,,
"Ficaria verna subsp. verna Huds., 1762",Ranunculus ficaria L. subsp. ficaria,,
Ficus carica L.,,,
Filago lutescens Jord.,,,
Filago carpetana (Lange) Chrtek & Holub,Evax carpetana Lange,,
Filipendula ulmaria (L.) Maxim.,,,
Filipendula vulgaris Moench,,,
"Fissidens taxifolius Hedwig, 1801",Fissidens taxifolius,,
Flueggea tinctoria (L.) G.L.Webster,Securinega buxifolia Müll. Arg.,,
Foeniculum vulgare Mill.,,,
Fragaria vesca L.,,,
Fragaria vesca subsp. vesca,,Fragaria vesca L. subsp. vesca,
Frangula alnus Mill.,Fraxinus gr. angustifolia Vahl,Fraxinus angustifolia Vahl subsp. angustifolia,
Fraxinus angustifolia Vahl,,,
Fraxinus angustifolia subsp. oxycarpa (M.Bieb. ex Willd.) Franco & Rocha Afonso,Fraxinus angustifolia Vahl subsp. oxycarpa (Willd.) Franco & Rocha Afonso,,
Fraxinus excelsior L.,,,
Fritillaria lusitanica Wikstr.,,,
Fumaria officinalis L.,,,
Fumaria reuteri Boiss.,,,
Gagea nevadensis Boiss.,,,
Galactites tomentosa Moench,,,
Galeopsis angustifolia Ehrh. ex Hoffm.,Galeopsis ladanum L. subsp. angustifolia (Hoffm.) Celak,,
Galium album subsp. album,,Galium album Mill. subsp. album,
Galium aparine L.,,,
Galium aparine L.,Galium aparine L. subsp. aparine,,
Galium broterianum Boiss. & Reut.,,,
Galium divaricatum Pourr. ex Lam.,,,
Galium estebanii Sennen,,,
Galium estebanii Sennen,Galium pumilum Murray subsp. pinetorum (Ehrend.) Vigo,,
Galium lucidum subsp. fruticescens (Cav.) O.Bolòs & Vigo,,Galium lucidum All. subsp. fruticescens (Cav.) O. Bolòs & Vigo,
Galium lucidum subsp. fruticescens (Cav.) O.Bolòs & Vigo,Galium frutescens,Galium lucidum All. subsp. fruticescens (Cav.) O. Bolòs & Vigo,
Galium lucidum subsp. lucidum,,Galium lucidum All. subsp. lucidum,
Galium mollugo L.,Galium mollugo subsp. erectum (Huds.) Briq.,,
Galium mollugo L.,,Galium gr. mollugo L.,
Galium mollugo subsp. mollugo,,Galium mollugo L. subsp. mollugo,
Galium murale (L.) All.,,,
Galium odoratum (L.) Scop.,,,
Galium papillosum subsp. helodes (Hoffmanns. & Link) Malag. ex Ortega Oliv. & Devesa,Galium helodes Hoffmanns. & Link,,
Galium papillosum subsp. papillosum,Galium gr. rivulare Boiss. & Reut.,Galium papillosum subsp. papillosum var. hirsu,Galium rivulare Boiss. & Reut.
Galium parisiense L.,,,
"Galium parisiense var. parisiense L., 1753",Galium parisiense L. subsp. parisiense,,
Galium pumilum Murray,,Galium pumilum Murray subsp. papillosum (Lapeyr.) O. Bolòs,
Galium rotundifolium L.,,,
Galium saxatile L.,,,
Galium scabrum L.,,,
Galium sp.,,,
Galium spurium L.,,Galium aparine subsp. aparine var. aparine,
Galium spurium L.,,Galium aparine subsp. spurium var. vaillantii,
Galium spurium L.,Galium aparine L. subsp. spurium (L.) Hartm.,,
Galium verum L.,,,
Gastridium ventricosum (Gouan) Schinz & Thell.,,,
Gaudinia fragilis (L.) P. Beauv.,,,
Genista ancistrocarpa Spach,,,
Genista anglica L.,,,
Genista carpetana Leresche ex Lange,Genista carpetana Lange,,
Genista falcata Brot.,,,
Genista florida L.,,,
Genista haenseleri Boiss.,,,
Genista hirsuta subsp. hirsuta,Genista hirsuta Vahl subsp. hirsuta,,
Genista hirsuta Vahl,,,
Genista hispanica subsp. occidentalis Rouy,Genista hispanica L. subsp. occidentalis Rouy,,
Genista hystrix Lange,,,
Genista micrantha Ortega,Genista micrantha Gómez Ortega,,
Genista pilosa L.,,,
Genista polyanthos R. Roem. ex Willk.,,,
Genista polygalaefolia DC.,Genista polygalaefolia,,
Genista sagittalis L.,Chamaespartium sagittale (L.) P.E. Gibbs,,
Genista scorpius (L.) DC.,Genista scorpius (L.) DC. in Lam. & DC.,,
Genista spartioides Spach,,,
Genista tinctoria L.,,,
Genista tournefortii Spach,Genista toumefortii,,
Genista triacanthos Brot.,,,
Genista tridens (Cav.) DC.,,,
Genista tridentata L.,Chamaespartium tridenlatum,,
Genista tridentata L.,Pterospartum tridentatum (L.) Willk. in Willk. & Lange,,
Genista umbellata (L'Hér.) Poir.,Genista umbellata (L'Hér.) Dum. Cours.,,
Gennaria diphylla (Link) Parl.,,,
Gennaria diphylla (Link) Parl.,Genaria diphylla,,
Geranium columbinum L.,,,
Geranium dissectum L.,,,
Geranium lucidum L.,,,
Geranium molle L.,,,
Geranium purpureum Vill.,,,
Geranium pusillum L.,Geranium pusillum Burm. f.,,
Geranium pyrenaicum Burm. fil.,,,
Geranium robertianum L.,,,
Geranium rotundifolium L.,,,
Geranium sanguineum L.,,,
Geranium sp.,,,
Geranium sylvaticum L.,,,
Geum hispidum Fr.,,,
Geum sylvaticum Pourr.,,,
Geum urbanum L.,,,
Gladiolus ×byzantinus Mill.,Gladiolus communis subsp. byzantinus (Mill.) Douin,,
Gladiolus communis L.,,,
Gladiolus communis L.,Gladiolus reuteri Boiss.,,
Gladiolus italicus Mill.,,,
Gladiolus sp.,,,
Glandora diffusa (Lag.) D.C.Thomas,Lithodora diffusa (Lag.) I. M. Johnston,Lithodora diffusa (Lag.) I. M. Johnston subsp. diffusa,
Glandora prostrata (Loisel.) D.C.Thomas,Lithodora prostrata (Loisel.) Griseb.,Lithodora prostrata (Loisel.) Griseb. subsp. prostrata,Lithodora diffusa=prostrata
Glandora prostrata subsp. lusitanica (Samp.) D.C.Thomas,,Glandora prostata subsp. lusitanica,
Glandora prostrata subsp. lusitanica (Samp.) D.C.Thomas,Lithodora prostrata (Loisel.) Griseb. subsp. lusitanica (Samp.) Valdés.,,
Halimione portulacoides (L.) Aellen,,,
Halimium atriplicifolium (Lam.) Spach,,,
Halimium calycinum (L.) K. Koch,,,
Halimium halimifolium (L.) Willk.,Halimium halimifolium (L.) Willk. in Willk. & Lange,,
Halimium halimifolium (L.) Willk.,Halimium halimifolium (L.) Willk. in Willk. & Lange subsp. multiflorum (Salzm. ex Dunal) Maire in Jahand. & Maire,,
Halimium lasianthum (Lam.) Spach,,,
Halimium lasianthum subsp. alyssoides (Lam.) Greuter,,Halimium lasianthum (Lam.) Spach subsp. alyssoides (Lam.) Greuter,
Halimium ocymoides (Lam.) Willk.,Halimium ocymoides (Lam.) Willk. in Willk. & Lange,,
Halimium umbellatum (L.) Spach,,,
Halimium umbellatum subsp. viscosum (Willk.) O.Bolòs & Vigo,,Halimium umbellatum (L.) Spach subsp. viscosum (Willk.) O. Bolòs & Vigo,
Hedera canariensis Willd.,,,
Hedera helix L.,,,
Hedera hibernica Poit.,Hedera hibernica (G. Kirchn.) Bean,,
Hedera iberica (McAll.) Ackerf. & J.Wen,Hedera maderensis K. Koch ex A. Rutherf. subsp. iberica McAllister,,
Hedera maderensis K. Koch ex A. Rutherf.,,,
Helianthemum apenninum subsp. croceum (Desf.) G.López,Helianthemum croceum (Desf.) Pers.,,
Helianthemum nummularium (L.) Mill.,,,
Helianthemum salicifolium (L.) Mill.,,,
Helianthemum violaceum (Cav.) Pers.,,,
Helichrysum foetidum (L.) Cass.,,,
Helichrysum italicum (Roth) G. Don in Loudon subsp. serotinum (Boiss.) P. Fourn.,,,
Helichrysum stoechas (L.) Moench,,,
Helichrysum stoechas subsp. stoechas,,Helichrysum stoechas (L.) Moench subsp. stoechas,
Helictochloa albinervis (Boiss.) Romero Zarco,,,
Helictochloa hackelii (Henriq.) Romero Zarco,Avenula hackelii (Henriq.) Holub,,
Helictochloa marginata (Lowe) Romero Zarco,,,
Helictochloa marginata (Lowe) Romero Zarco,Avenula hackelii subsp. stenophylla (Franco) Franco,Avenula hackelli subsp. stenophylla,
Helictochloa marginata (Lowe) Romero Zarco,Helictochloa albinervis (Boiss.) Romero Zarco subsp. gaditana (Romero Zarco) Romero Zarco,,
Helictotrichon pubescens subsp. pubescens,,,
Helictotrichon pubescens subsp. pubescens,Avenula pubescens subsp. pubescens (Huds.) Dumort.,Avenula pubescens (Huds.) Dumort. subsp. pubescens,
Helleborus foetidus L.,,,
Helleborus viridis subsp. occidentalis (Reut.) Schiffn.,,Helleborus viridis L. subsp. occidentalis (Reut.) Schiffn.,
Helminthotheca comosa (Boiss.) Holub,,,
Helminthotheca echioides (L) Holub,Picris echioides L.,,
Helminthotheca spinosa (DC.) Talavera & Tremetsberger,Picris gr. spinifera Franco,,
Helminthotheca spinosa (DC.) Talavera & Tremetsberger,Picris spinifera Franco,,
Hepatica nobilis Schreb.,,,
Heracleum sphondylium L.,Heracleum sphondylium L. subsp. granatense (Boiss.) Briq.,,
Herniaria latifolia Lapeyr.,,,
Hieracium bourgaei Boiss.,,,
Hieracium glaucinum Jord.,,,
Hieracium glaucinum subsp. recensitum (Jord. ex Boreau) Gottschl.,Hieracium recensitum Boreau s.l.,,
Hieracium lachenalii subsp. cruentifolium (Dahlst. & Lübeck ex Dahlst.) Zahn,Hieracium vulgatum Fr.,,
Hieracium lachenalii Suter,Hieracium lachenalii Suter s.l.,,
Hieracium maculatum Sm.,,,
Hieracium maculatum Sm.,,Hieracium gr. maculatum Sm.,
Hieracium mixtum Lapeyr. ex Froel.,Hieracium gr. mixtum Froel.,,
Hieracium mixtum Lapeyr. ex Froel.,Hieracium mixtum Froel.,,
Hieracium murorum L.,,,
Hieracium murorum L.,,Hieracium gr. murorum L.,
Hieracium praecox subsp. bounophyllum,,,
Hieracium sabaudum L.,,,
Hieracium sabaudum subsp. obliquum (Jord.) Zahn,Hieracium sabaudum subsp. obliquum,,
Hieracium schmidtii Tausch,,Hieracium gr. schmidtii Tausch,
Hieracium smithii Elfstr.,,Hieracium smidtii,
Hieracium sp.,,,
Hieracium umbellatum L.,,,
Hieracium umbellatum L.,,Hieracium gr. umbellatum L.,
Himantoglossum hircinum (L.) Spreng.,,,
Himantoglossum robertianum (Loisel.) P.Delforge,Barlia robertiana (Loisel.) Greuter,,
Hippocrepis salzmannii Boiss. & Reut.,,,
Holcus annuus Salzm. ex C.A.Mey.,Holcus annuus C.A. Mey,,
Holcus annuus subsp. setiglumis (Boiss. & Reut.) M.Seq. & Castrov.,Holcus annuus C.A. Mey subsp. setiglumis (Boiss. & Reut.) M. Seq. & Castrov.,,
Holcus annuus subsp. setiglumis (Boiss. & Reut.) M.Seq. & Castrov.,Holcus annuus C.A. Mey subsp. setiglumis (Boiss. & Reut.) M. Seq. & Castrov. ,,
Holcus lanatus L.,,,
Holcus mollis L.,Holcus mollis L. subsp. reuteri (Boiss.) Tutin,Holcus mollis L. subsp. mollis,
Holcus setiglumis Boiss. & Reut. subsp. setiglumis,,,
"Homalothecium sericeum W.P.Schimper, 1851",Homalothecium sericeum,,
Homalothecium sp.,,,
Hyacinthoides hispanica (Mill.) Rothm.,,,
Hyacinthoides italica (L.) Rothm.,,,
Hyacinthoides non-scripta (L.) Chouard ex Rothm.,,,
Hyacinthoides paivae S. Ortiz & J. Rodríguez-Oubiña,,,
Hyacinthoides sp.,,,
"Hylocomium splendens W.P.Schimper, 1852",Hylocomium splendens,,
Hyparrhenia hirta (L.) Stapf,Hyparrhenia hirta (L.) Stapf in Prain,Hyparrhenia hirta (L.) Stapf in Prain subsp. pubescens (Vis.) Paunero,
Hypericum androsaemum L.,,,
Hypericum hirsutum L.,,,
Hypericum humifusum L.,,,
Hypericum linariifolium Vahl,,,
Hypericum linariifolium Vahl,,,
Hypericum linariifolium Vahl,¬Hypericum linearifolium,,
Hypericum montanum L.,,,
Hypericum perfoliatum L.,,,
Hypericum perforatum L.,Hypericum perforatum L. subsp. angustifolium (DC.) A. Fröhl.,,
Hypericum pulchrum L.,,,
Hypericum tomentosum L.,,,
Hypericum undulatum Schousb. ex Willd.,,,
"Hypnum cupressiforme Hedwig, 1801",Hypnum cupressiforme,,
"Hypnum cupressiforme Hedwig, 1801",Stereodon cupressiforme,,
Hypochaeris glabra L.,,,
Hypochaeris radicata L.,,,
Iberis ciliata subsp. welwitschii (Boiss.) Moreno,Iberis ciliata All. subsp. welwitschii (Boiss.) Moreno,,
Iberis linifolia L.,,,
Iberis microcarpa (Franco & P.Silva) Rivas Mart.,Iberis procumbens Lange subsp. microcarpa Franco & P. Silva,,
Iberis pectinata Boiss.,Iberis pectinata Boiss. & Reut. in Boiss.,,
Ilex aquifolium L.,,,
Inula salicina L.,,,
Inula salicina L. subsp. aspera (Poir.) Hayek,,,
Iris foetidissima L.,,,
Iris jacquinii (Schrank),Iris latifolia (Mill.) Voss,,
Iris pseudacorus L.,,,
Iris xiphium L.,,,
Isatis tinctoria L.,Isatis tinctoria L. subsp. tinctoria,,
Jacobaea vulgaris Gaertn.,Senecio jacobaea L.,,
Jasione crispa subsp. sessiliflora (Boiss. & Reut.) Tutin,Jasione sessiliflora Boiss. & Reut.,,
Jasione montana L.,,,
Jasione montana subsp. montana,Jasione montana L. subsp. montana,,
Juglans regia L.,,,
Juncus acutiflorus Ehrh. ex Hoffm.,,,
Juncus effusus L.,,,
Juncus inflexus L.,,,
Juncus squarrosus L.,,,
Juniperus communis L.,Juniperus communis L. subsp. hemisphaerica (C. Presl) Nyman,,
Juniperus navicularis Gand.,,,
Juniperus oxycedrus L.,Juniperus oxycedrus L. subsp. oxycedrus,,
Juniperus oxycedrus subsp. badia (H.Gay) Debeaux,,Juniperus oxycedrus L. subsp. badia (H. Gay) Debeaux,
Juniperus phoenicea L.,,,
Juniperus phoenicea subsp. turbinata (Guss.) Nyman,,Juniperus phoenicea L. subsp. turbinata (Guss.) Nyman,
Jurinea humilis (Desf.) DC.,,,
Klasea algarbiensis (Cantó) Cantó,,Serratula algarbiensis,
Klasea algarbiensis (Cantó) Cantó,Serratula monardii var. algarbiensis,,
Klasea boetica subsp. alcalae (Coss.) Cantó & Rivas Mart.,,Serratula aristata,
Klasea boetica subsp. lusitanica (Cantó) Cantó & Rivas Mart.,Serratula acanthocoma,,
Klasea boetica subsp. lusitanica (Cantó) Cantó & Rivas Mart.,Serratula alcalae Coss.,,
Klasea boetica subsp. lusitanica (Cantó) Cantó & Rivas Mart.,Serratula baetica Boiss. ex DC. subsp. lusitanica Cantó,,
Klasea flavescens subsp. leucantha (Cav.) Cantó & Rivas Mart.,Serratula flavescens (L.) Poir. subsp. leucantha (Cav.) Cantó & Costa,,
Klasea pinnatifida (Cav.) Talavera,Klasea pinnatifida (Cav.) Cass.,,
Knautia arvensis (L.) Coult.,Knautia arvensis (L.) Coulter,,
Koeleria crassipes Lange,,,
Koeleria vallesiana (Honck.) Gaudin,,,
Lactuca saligna L.,,,
Lactuca viminea (L.) J.Presl & C.Presl,Lactuca viminea (L.) J. Presl & C. Presl subsp. viminea,,
Lactuca viminea (L.) J.Presl & C.Presl,Lactuca gr. viminea (L.) J. Presl & C. Presl,,
Lactuca viminea subsp. chondrilliflora (Jord. ex Boreau) Bonnier,Lactuca viminea (L.) J. Presl & C. Presl subsp. chondrilliflora (Boreau) Bonnier,,
Lamium galeobdolon (L.) L.,,,
Lamium maculatum (L.) L.,Lamium maculatum L.,,
Lamium purpureum L.,,,
Lapiedra martinezii Lag.,,,
Lapsana communis L.,,,
Laserpitium latifolium L.,,,
Lathyrus angulatus L.,,,
Lathyrus aphaca L.,,,
Lathyrus clymenum L.,,,
Lathyrus hirsutus L.,,,
Lathyrus latifolius L.,,,
Lathyrus linifolius (Reichard) Bässler,,,
Lathyrus niger (L.) Bernh.,,,
Lathyrus pratensis L.,,,
Lathyrus setifolius L.,,,
Lathyrus sphaericus Retz.,,,
Lathyrus sylvestris L.,Lathyrus sylvaticus,,
Lathyrus tingitanus L.,,,
Launaea fragilis (Asso) Pau,,,
Laurus nobilis L.,,,
"Lavandula ×alportelensis P.Silva, Fontes & Myre",Lavandula Xalportelensis,,
Lavandula pedunculata (Mill.) Cav.,Lavandula pedunculata Cav.,Lavandula pedunculata Cav. subsp. ambigua Mnzs.,
Lavandula pedunculata subsp. sampaiana (Rozeira) Franco,Lavandula sampaoiana,,
Lavandula stoechas L.,,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira,
Lavandula stoechas L.,,Lavandula stoechas L. subsp. stoechas,
Lavandula stoechas L.,,,
Lavandula stoechas subsp. luisieri (Rozeira) Rozeira,Lavandula luizieri,,
Lavandula viridis L'Hér.,,,
Legousia falcata (Ten.) Fritsch ex Janch.,Legouzia castellana,,
Legousia hybrida (L.) Delarbre,,,
Leontodon hispidus L.,,,
Leopoldia comosa (L.) Parl.,Muscari comosum (L.) Mill.,,
Lepidophorum repandum (L.) DC.,,,
"Leptobryum pyriforme Wilson, 1855",Leptobryum pyriforme,,
Leucanthemopsis flaveola (Hoffmanns. & Link) Heywood,,,
Leucanthemopsis pallida (Mill.) Heywood,,,
Leucanthemum crassifolium (Lange) Willk.,Leucanthemum vulgare Lam. subsp. crassifolium (Lange) Rouy,,
Leucanthemum pallens (J.Gay ex Perreym.) DC.,Leucanthemum vulgare Lam. subsp. pallens (J.Gay) Briq. & Cavill.,,
Leucanthemum pseudosylvaticum (Vogt) Vogt & Oberpr.,Leucanthemum ircutianum subsp. pseudosylvaticum Vogt,Leucanthemum ircutianum DC. subsp. pseudosylvalticum Vogt,Leucanthemum pseudosylvaticum
Leucanthemum sylvaticum (Hoffmanns. & Link) Nyman,Leucanthemum vulgare Lam. subsp. silvaticum (Hoffmanns. & Link) Nyman,,
Leucanthemum vulgare Lam.,,,
Ligustrum vulgare L.,,,
Lilium martagon L.,,,
Limodorum abortivum (L.) Sw.,,,
Limodorum trabutianum Batt.,,,
Linaria aeruginea (Gouan) Cav.,,,
Linaria amethystea (Vent.) Hoffmanns. & Link,,,
Linaria nivea Boiss. & Reut.,,,
Linaria saxatilis (L.) Chaz.,,,
Linaria spartea (L.) Willd.,,,
Linaria triornithophora (L.) Willd.,,,
Linum bienne Mill.,,,
Linum narbonense L.,,,
Linum strictum L.,,,
Linum tenue Desf.,,,
Lobelia urens L.,,,
Lobularia maritima (L.) Desv.,,,
Logfia gallica (L.) Dumort.,Logfia gallica (L.) Coss. & Germ.,,
Logfia minima (Sm.) Dumort.,,,
Lolium giganteum (L.) Darbysh.,Schedonorus giganteus,,
Lonicera etrusca Santi,Lonicera etrusca G. Santi,,
Lonicera implexa Aiton,Lonicera implexa Aiton,,
Lonicera periclymenum L.,,,
Lonicera periclymenum L.,,Lonicera gr. periclymenum L.,
Lonicera periclymenum subsp. hispanica (Boiss. & Reut.) Nyman,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman,
Lonicera xylosteum L.,,,
Lotus carpetanus Lacaita,Lotus corniculatus L. subsp. carpetanus (Lacaita) Rivas Mart.,,
Lotus castellanus Boiss. & Reut.,,,
Lotus corniculatus L.,,,
Lotus dorycnium L.,Dorycnium pentaphyllum Scop.,,
Lotus parviflorus Desf.,,,
Lotus pedunculatus Cav.,,,
Lupinus angustifolius L.,,,
Luzula campestris (L.) DC.,,,
Luzula forsteri (Sm.) DC.,Luzula forsteri (Sm.) DC. subsp. forsteri,,
Luzula forsteri (Sm.) DC.,Luzula gr. forsteri (Sm.) DC. in Lam. & DC.,,
Luzula forsteri (Sm.) DC.,Luzula forsteri (Sm.) DC. in Lam. & DC.,,
Luzula forsteri (Sm.) DC.,Luzula forsteri (Sm.) DC. subsp. baetica P. Monts.,,
Luzula forsteri (Sm.) DC.,Luzula forsteri (Sm.) DC. subsp. cantabrica P. Monts.,,
Luzula lactea (Link) E.Mey.,,,
Luzula multiflora subsp. multiflora,,Luzula multiflora (Retz.) Lej. subsp. multiflora,
Luzula sylvatica subsp. henriquesii (Degen) P.Silva,,Luzula sylvatica (Huds.) Gaudin subsp. henriquesii (Degen) P.Silva,
Lycopus europaeus L.,,,
Lysimachia linum-stellatum L.,Asterolinon linum-stellatum (L.) Duby in A. DC.,,
Lysimachia nemorum L.,,,
Lythrum junceum Banks & Sol.,Lythrum junceum Banks & Sol. in Russell,,
Lythrum salicaria L.,,,
Macrochloa tenacissima (L.) Kunth,,,
Magydaris panacifolia (Vahl) Lange,Magydaris panicifolia,,
Magydaris panacifolia (Vahl) Lange,Magydaris panacifolia (Vahl) Lange in Willk. & Lange,,
Malus sylvestris Mill.,Malus sylvestris (L.) Mill.,,
"Malus sylvestris subsp. sylvestris (L.) Mill., 1768",Pyrus malis var. sylvestris,,
Malva cretica subsp. althaeoides (Cav.) Bég.,Malva cretica Cav. subsp. althaeoides (Cav.) Dalby,,
Malva hispanica L.,,,
Malva moschata L.,,,
"Malva oblongifolia (Boiss.) Soldano, Banfi & Galasso",Lavatera oblongifolia Boiss.,,
Malva olbia (L.) Alef.,Lavatera olbia L.,,
Malva sp.,,,
Malva sylvestris L.,,,
Malva tournefortiana L.,,,
Marcus-Kochia triloba (L.) Al-Shehbaz,Malcolmia gracilima,,
Marrubium vulgare L.,,,
Medicago arabica (L.) Huds.,,,
Medicago lupulina L.,,,
Melampyrum pratense L.,,,
Melampyrum sylvaticum L.,,,
Melica ciliata L.,,,
Melica ciliata L.,Melica ciliata L. subsp. magnolii (Gren. & Godr.) Husnot,,
Melica minuta L.,,,
Melica uniflora Retz.,,,
Melittis melissophyllum L.,Melittis melisophyllum,,
Mentha pulegium L.,,,
Mentha suaveolens Ehrh.,,,
Mercurialis annua L.,,,
Mercurialis annua L.,Mercurialis annua L. subsp. ambigua (L. fil.) Arcang.,,
Mercurialis perennis L.,,,
Micranthes clusii subsp. lepismigena (Planellas) Gornall,Saxifraga lepismigena Planellas,,
Micromeria graeca (L.) Benth. ex Rchb.,Micromeria graeca (L.) Rchb.,,
Misopates orontium (L.) Raf.,,,
"Mnium hornum Hedwig, 1801",Mnium hornum,,
Moehringia pentandra Gay,Moehringia pentandra J. Gay,,
Molineriella laevis (Brot.) Rouy,,,
Molineriella minuta (L.) Rouy,,,
Moraea sisyrinchium (L.) Ker Gawl.,Gynandriris sisyrinchium (L.) Parl.,,
Mousses sp.,,,
Murbeckiella sousae Rothm.,,,
Mycelis muralis (L.) Dumort.,,,
Myosotis arvensis (L.) Hill,Myosotis arvensis (L.) Hill subsp. arvensis,,
Myosotis decumbens subsp. teresiana (Sennen) Grau,Myosotis decumbens Host subsp. teresiana (Sennen) Grau,,
Myosotis discolor Pers.,Myosotis discolor Pers. in L.,,
Myosotis ramosissima Rochel,Myosotis ramosissima Rochel in Schult.,,
Myosotis secunda A. Murray,,,
Myosotis stolonifera (DC.) J.Gay ex Leresche & Levier,Myosotis stolonifera subsp. stolonifera,,
Myrtus communis L.,,,
Narcissus albicans (Haw.) Spreng.,Narcissus tingitanus Fdz. Casas,,
Narcissus calcicola Mendonça,,,
Narcissus cuneiflorus (Salisb. ex Haw.) Link,Narcissus asturiensis (Jord.) Pugsley,,
Narcissus flavus Lag.,Narcissus fernandesii G. Pedro,,
Narcissus pallidiflorus Pugsley,Narcissus palidulus,,
Narcissus papyraceus Ker. Gawl.,,,
Narcissus serotinus L.,Narcissus serotinus Loefl. ex L.,,
Narcissus triandrus L.,Narcissus triandrus L. subsp. triandrus,,
Narcissus triandrus L.,,,
Narcissus triandrus L.,Narcissus triandrus subsp. cernuus,,
Narcissus triandrus subsp. pallidulus (Graells) Rivas Goday,Narcissus triandrus L. subsp. pallidulus (Graells) D.A.Webb,,
Nardus stricta L.,,,
Neoschischkinia pourretii (Willd.) Valdés & H. Scholz,,,
Neoschischkinia truncatula (Parl.) Valdés & H.Scholz,,,
Neotinea conica (Willd.) R.M.Bateman,Orchis tridentata Scop. subsp. conica Willd.,,
